Gloss	Nihali	Etymology	Page
butcher – (cattle)	kasay	Hindi	
to steal	kasto-be		
to be silent	kaṭam		
to silence (someone)	kaṭamkam-be		
horse gram (unsplit)	kaṭhan	Hindi	
horse gram (split)	kaṭhandaːḍi		
beautiful	katharnaːk		
haircut (short)	kaṭhin		*
blacksmith	kaṭhita		
armpit	kaṭhla	Korku	
tortoise	kathom (ṭ)	Korku	
catechu	kattha	Hindi	
sickle – big type	katti	IA/Dr.	
blue-necked bird (nilakanth नीलकंठ)	kaṭṭha		
to embrace	kaṭu-be	Korku	
tile(s)	kawlu		
crow	kawra	Korku/Hindi	
mango – unripe	kawra		
what (is there?)	kay-kay		
scissor	kaysi	Hindi	
moss	kãwũr		
glass	kaːc	Hindi	
to taste bitter	kaːgo		
mother’s younger sister’s husband	kaːka	Hindi	
paper	kaːkaḍo	Hindi	
father’s younger brother’s wife	kaːki	Hindi	
cucumber	kaːkri	Hindi	
tinning of brass vessels	kaːlso-ka	Hindi	*
work	kaːmo	Hindi	
fly; mosquito, a type, found in forests (in rainy season)	kaːn		
onion	kaːnde	Hindi	
tuber (a root)	kaːndo	Hindi?	
fly, n (big size – green colour)	kaːnḍro		
cotton	kaːpso	Hindi	
anklet, wristlet	kaːra	Korku/Hindi?	
match-stick	kaːri dandra		
match-box	kaːri	khoka	
insect like cockroach, which can fly	kaːri roroyc		
saw (n.)	kaːrṭo	Hindi?	
a god in forest	kaːrya deːwta	IA?	
elder brother’s wife	kaːryom		
a balance (weighing)	kaːṭa		
bamboo shoot	kaːṭe		
an organ in living being (kidney of a lamb?)	kaːṭu		
flesh	kaːw		
to say, repeat	kaːyni-be		
lizard	kekhem(e)re	Korku	*
to cook	kela-be		
female calf (cow’s)	kelli		
less, a little, a few	kemṭi, kemti	IA/Hindi	
to reduce (e.g. price)	kemṭi-ki	Hindi	
iron frying pan	kere(y)	Korku	
to scratch (back, e.g.)	kersi-be	Korku	
to dry, evaporate	keṭṭo		
to extinguish fire	ketto- (ṭṭ)		
louse	keːpe		
banana	keːre	Hindi	
plantation – banana	keːre baːri		
powder of chana dal	keːri		
tree, a kind	keːsa aːḍḍo	Hindi	
to cut with sickle	kha(ː)nḍo-be		
messenger	khabor maːnso	Hindi	
to itch, scratch	khaju-	Hindi	
mortar – for pounding	khalbatta	Hindi	
shoulder	khanḍa	Hindi	
to carry on shoulder	khanḍa-	Hindi	
floor	khara	Korku/Hindi?	
empty	kharaːṭi		
to clean floor with cow dung	khara saroːb-be		*
to clear one’s throat	kharkhormany (anim.)		
herd, family, lot of people	kharu		
blacksmith	khaṭi		
butcher (sheep, goat, fowl, etc.)	khaṭki	Hindi/Kannada	
family	khaṭla		
wooden swing	khaṭli		
wooden frame (for carrying the dead)	khatre		
word(s)	khaṭṭa	IA	
fertilizer	khat	Hindi	
to water remaining in pits of river beds	khawnḍor		
shoe	khawre(y)		
eggs of lice	khawrya		
sour	khaːṭa	Hindi	
to get itching sensation (body)	khaːju	Hindi?	
empty	khaːli	Hindi	
salty	khaːraː	Hindi?	
to drive (cart), to drive away cattle	kheda-be (ḍ)	IA	
while	khenṭo	Korku	*
to drag, pull	kheriː-		
to pull out, drag	kheri-kam(a)-be		
threshing floor	kheryan	Korku	
field (land)	kheːto	Hindi	
to get angry	khijnail		
(iron)	khila	Hindi	
pulley, water wheel	khilaːri		
chips of wood	khincra		
anger	khiːjo	Korku	
lines	khiːr	Hindi?	
to fix (an agarbatti on the ground)	khobaːki		
thumb	khoḍḍu akhanḍa		
stem (of a plant), stump	khoḍe		
area behind the	knee	khoḍo-khoḍo	
plant (e.g. banana)	khor		
to remove, extract	khor		
valley	khora	Hindi?	
scabies	khorju	Hindi	
sickle – to remove grass	khorpi	IA	
very, very much	khoːb(o)/khoːp	IA	
(intensifier) bamboo door	khuḍu, koːḍo		*
to stop (rain)	khullahump		
(on a bull’s back)	khunḍul		
elbow	khunu	IA	
leg, foot	khuri	Korku	
toes	khuri akhanḍa		
big toe	khuri khoḍḍu akhanḍa		
ankle	khuri minḍi jiki(t)		
sole of foot	khuri minjar		
top (front) of foot	khuri tephrej		
peg, stump	khutra, khuːṭa	Korku	
to roast (mahua flower in preparation of liquor)	khuyũ	Korku	
to play, enjoy	khyaːl-kambe		
window	kiḍaki/kherki	Hindi	
chisel	kikra		
price	kimmat	Hindi	
wheat, kneaded flour	kinko		
rich	kirsan		
to winnow	kita-be		
cartridge	kiṭhil		
fuel, charcoal, jackal	ko(l)lya		
hunchback (person)	kobbuy		*
pigeon	kobḍhur	Korku	
bend (not straight)	koca		
to walk, go	koca-be		
cuckoo	kohal	Hindi	
a bird	koher		
fowl, hen	kokhor		
ant	kokoyñ		
cock	komba	Korku	
early morning	komba daray		
from	kon		
hoe	koplya		
concentrate (of e.g. liquor)	kora(ji)		
to keep	kor-be		
purse	koṭhor, kotra	IA	
intestines	koṭor		
to beat, pound	koṭṭo-be (tt)		
to pluck (mango, etc.)	koyni-be		
to bring	koː-be		
snake	koːgo		
discarded skin of snake	koːgo hoːli		
discarded skin of snake	koːgo onol		
(old word) venom of snake	koːgon jeher		*
single-stringed musical instrument	koːke		
womb	koːko	Korku?	
woman, wife	koːl		
dog – female	koːlnaːy	Dr.	
women (pl.)	koːl-ṭa		
room	koːne	Hindi?	
to take away/out	koːr-be		
eardrum	krej		
heavy, to improve (health)	kubaːy		
hunchback	kubḍya		
walking stick	kubri lakṛi	Hindi	
to whisper	kucu-mucu maːnḍi-be		
pickaxe – single sided	kudari	Hindi/Dr.?	
hair	kuguso		
lock	kul(u)po	IA	
potter(s)	kumbhaːr-ta	IA	
key (of a lock)	kunji	IA	
cloth, lady’s	kupra	Hindi	
unripe	kura		
chair	kurci	Hindi	*
to shout	kurey-be		
ear ornament for men	kuruko		
boulder	kurup		
bin for grain storing	kuṭhi	Hindi	
fruit of a tree gives itching sensation by rubbing	kutru		
water well	kũy, kũhi	Hindi	
fruit of mahua tree	kuːca		
tomorrow	kyaːm(p)		
long	lamba	Hindi	
to burn	lampṭa-	Korku	
a god (for a day during Holi festival)	langka		
cripple	langra	Hindi	
to kneel (on ground), to brood	lapa-jere-be		
to crawl (on belly)	lapa-jere-kini		
to bend	lapuyt-be		
to bend (something)	lapuyt-kama-be		
coconut	laren		
rolling pin	laṭni		
sweet potato	latru		
good cloth	lattha-kapra	Korku	*
to kick	laṭṭo-be	Hindi	
to get tired	lawaːypan-		
metal	lawṭi	Korku	
line in middle of the tongue	layrikhil		
you (pl.)	laː		
rope (made of fiber)	laːḍen do(ː)ra	Hindi	
tongue	laːñ	Korku	
skirt – long one	laːnga	Korku?	
drainage	laːngi		
to burn	laːw-be		
row (like – one row)	lehen		
one hand/palm (finger together)	lenger		
an insect (found in forests)	leñyar		
female servant (of a queen)	lewnḍi		
to draw water (from a well)	leːnju-be		
sharp	lici-lici		
to write	likhaṭini-be	Hindi	
to auction	lilaːmi-	Hindi	
to call (someone by hand)	liwiiron; lokhanḍo	Hindi	*
to stir with a spoon, to mash into pulp	lokhoḍ-		
to press (mango, etc. – to take out the juice)	lopoṭkam-be		
to knead (flour)	loːkha-be	Korku	
incense	lubaːn	Hindi	
smooth (e.g. cloth)	lumosor (kupra)		
garlic	lusun	Hindi	
to give	ma-	Korku	
soot	maccho		
but, even	maka		
cockroach	makḍi	Hindi	
bael tree	malkaːn		
seed of bael fruit	malkaːnbiːjo		
frog	manabhaːdo		
we (pl.)	maney		
crocodile	mangaːr	Hindi/Marathi	
people belonging to drummer group	mangrya		
people	man-ta (ṭ)		
difficult(y)	marṭhay		
burial ground	masanti	IA?	*
good, fine	masta/o	Hindi?	
good (water)	masto joppo		
nice/delicious (preparation)	masto-masto		
lentils	masur	Hindi	
to be intoxicated, get dizzy	mata-be	IA/Dr.?	
vote	maṭṭo	Hindi?	
to be silent	mawn-jere-be	Hindi	
footprint	mawri		
to track (trail of a wild animal)	mawri aːra-be		
mother’s younger sister, stepmother	mawsi	Hindi	
type of bee found in forest	maytko-ṭa		
owner, god	maːlik	Hindi	
mother’s brother	maːma	Hindi/Korku	
mother’s brother’s wife	maːmi	Hindi/Korku	
honesty	maːn	IA	
word, language, to speak	maːnḍi(-be)	Korku	
rain	maːnḍo		
liver	maːndom (ḍ)		
costly	maːnga	Hindi	*
mole	maːso		
thigh	maːto (ṭ)		
horse	maːw		
mother	maːy	Korku?	
mahua (tree/flower)	maːyko		
anthill	mecher		
sheep	menḍa	Hindi	
tooth	menge		
gum of tooth	menge kaːw		
to make to play	mer(o)kama:-be		
near	mera	Korku	
a green vegetable	methi	Hindi	
plain (land)	meyndaːn	Hindi	
sting of bee	meːkha		
to play	meːra		
god, son of Ravana (Meghanand)	meːygo		
barber	mhaːli, maːli	Hindi	
a long dry fish	micini		
to meet	milaṭin-	Hindi	
where	min, minga		
evening, night	minḍi		
ankle joint	minḍi jiki(t)		*
owl	minḍi kaplij		
somewhere	mingaː-ka		
inside, between	minjaːr, mijaːr		
finger – middle	minjaːr akhanḍa		
when	miran		
chilly	mirca	Hindi	
central pole of threshing floor	miryaːn		
which thing	mi-samaːn		
machine	misan	English > Hindi	
how much	mi-yan		
a unit of length between thumb and the little finger	miːṭu		
elbow	mokhne ‘knee-(cup)’		
krait (snake – small, poisonous)	momo		
heel	monḍa		
jasmine flower	mongora	Hindi	
tattooer (one who puts the tattoo)	mongya		
female genitalia	morako		
bundle of peacock feathers	morsa		*
pestle	mosor	IA	
footprint (while walking)	mowri		
triangle	moːḍdhaːri		
dirty	moːngo		
thorn	moːr		
three	moːṭho	Dravidian	
day after tomorrow, three days	moːṭhodin		
moustache	mucha (s)	Hindi	
wedding necklace of black beads	mucku	Korku	
a measure of two arms length	mukha		
trunk (of a tree); stick	munḍa		
first child	munḍaːl paːlso		
ring	munḍi	Korku	
groundnut	mungosengo		
mongoose	munguso		
cock’s comb	muri		
firewood bundle	murigaṭṭha		
small variety of mosquito	murktij		
radish	muːra	Hindi	*
fist	muːṭhi	Korku/Hindi?	
face	mwaːr, muhaːr, mohar	Korku/Hindi?	
to feed	myarkam-be		
to take	na	Korku	
bathing/washing place	nahni	Hindi	
to lick	naka-be	Dr.?	
nail (of finger)	nakkho	Hindi	
son	nana	Dr.?	
sons, boys, children	nana-ṭa		
plough	nangaːr	Hindi	
cobra	nango		
who	nani		
someone	nanika, naninka		
whom	nanin		
whose (book)	nanin (pustok)		
someone or other/anyone	nanin-ka-bi		
anything	nankagto		
why	nan-ki		
mother-in-law	napyom		
soft	narom	Hindi	*
nurse	narsakoːl	Hindi	
nose ring	nathni	Hindi?	
snub-nosed	naṭṭa		
nose ring	naṭṭho	Hindi?	
nine	naw	Hindi	
new	nawa	Hindi	
new skin (e.g. as of a snake)	nawhaːji		
bridegroom	nawra		
breakfast	nayri		
you two	naːko		
four	naːlk(h)o	Dr.	
what	naːn		
Adam’s apple/throat	naːra		
trachea (windpipe)	naːra ponga		
nerve, vein	naːri, naːsa	IA	
another	naːri-ka		
umbilical cord	naːrikaːṭo		
nerve, blood vessel	naːsa		
nose thread (for cattle)	naːtha	IA?	
beam	naːṭo		
dog	naːy	Dr.	
an animal similar to hedgehog	naːyar-saːyar		*
thou (you, singular)	ne		
to wear (dhoti – men)	nesna-be		
bride	newri	Korku	
scorpion	neygo		
sting of scorpion	neygon cuṭiñ		
ash	neːto, nieṭo		
lemon	nimbu	Hindi	
white ant	nindir		
to enter	nitto-be (ṭṭ)		
wild cow	niːl	Hindi?	
green	niːla	Hindi	
grass – green	niːla boːy		
neem tree	niːmbo aːḍḍo	Hindi	
to remove (weed)	niːnḍo-be		
how	nu, nawki, nusaːn		
why	nuwa(ː)y		
to lift	ocal-be (a > o)	Marathi?	
to carry a load	oja-be	Hindi?	
light	ojor		
plough	okhar	Hindi	
to put, save, keep	okki-be		
hiccough	okuṛ-		*
what matter?	okun		
snake’s outer skin	ola		
to make wet	olaː-kamaː-		
cooked pulse	olaːn		
to be wet	olaːy		
fungus, to develop fungus	olki		
rat	onḍor	Marathi	
stripes (as on tiger)	onol		
yet to daybreak	opon		
air	ora	Korku	
duststorm	ora dhunḍi		
millet	oro	Korku	
jowar roti	oro sokra		
to apply (something on face, etc.)	orpo		
to return (from a place, point)	orta-be, wortaː-		
wall	oṛaw		
to boil (water)	oson-	IA	
to boil (tr.)	osonkamaː-be		
dwarf	othra	Korku	
end part of lady’s garment used temporarily to keep some odd things	oṭṭhya		*
to pullout	otti-be (ṭṭ)		
son’s wife, younger brother’s wife	owaːri		
to beg	oyni		
beggar	oyni-re		
buffalo	oːḍow/oḍaw		
mortar – paddy pounding	oːhan		
carpenter	oːri		
medicine	oːs	Hindi?	
square (used for worship)	oːṭa		
chin	oːṭha	Korku	
platform around a tree	oːtla		
wall and floor meeting point (= corner)	oːṭo		
guest	pa(ː)hun	Marathi	
to lift up	pacol-be		
to kill	paḍa-be		
roof	padre		
turban	pagri	Hindi	*
welcome (guests)	pahuncaːri	Hindi?	
arm (upper)	pakhra		
armpit	pakhraːko khoḍḍokhoḍḍo		
peacock	pakin (f)		
definite, good	pakka	Hindi	
body	pakor		
plot	palaːt	English > Hindi	
fan	pankha	Hindi	
knitted bamboo	para		
river	paraːy		
screen	parda	Hindi	
to press/iron (cloth)	pareskam-be		
family	pariwar	Hindi	
cot	parkom		
cotton	parti	Dr.	
behind, previous	pasla		
leg – rear	pasla khuri		
last year	pasla saːl		
behind – far behind	paslang		
to dry (intr.), wither	pataːr		
grass – dry (straw)	pataːr(i) boːy		*
dry	pataːri		
to dry in the sun	pataːr-kamaːy		
kite – (paper)	patan(g)		
a thorny bush	pataṭi		
thin (smooth)	pateːr (ṭ), paːtier		
to dilute	pateːr- (ṭ)		
footpath	paydal ḍãːy	Hindi	
tail	paːgo		
flute – a type	paːhuy	Hindi	
wing (bird’s)	paːkha	Hindi	
to stress oneself	paːkhoːr haṭu		
bone	paːkṭo		
main beam used in building house	paːl		
leaf (of tree)	paːla	Korku/Hindi?	
lamb (sheep/goat)	paːlso (menḍa-, seri-)		
betel leaf	paːn	Hindi	
plantation – betel	paːn ṭaːnḍa	Hindi	
white	paːnḍer	Hindi	
to fall (something)	paːnḍi-be		
to lift leg, cross over	paːnḍo-be		
all	paːr	Hindi/Mar.?	*
crowbar	paːr	Dr.	
cotton	paːraṭi	Dr.?	
eagle (bird)	paːrdya		
striped leopard	paːsona tembrya		
next year	paːṭ(o)saːl		
old, elder	paːtha (ṭ)	Dr.	
to come	paːṭo		
flute – a kind	paːwi		
step	paːyri	Hindi	
five	pãːsõ	Hindi	
head	pe(ː)ñ		
to abduct, elope	pejak-kamaː-		
to run	pejko-be		
shin of leg, calf of the leg	pendri	Hindi/Marathi?	
saliva	pephrya		
to sit	peṭe-be		
to tear (intr.)	peṭek		
to tear something	petekkamaː- (ṭ)		
to make to sit	peṭekkamaː-be		
torn pants	peṭko corna		
anklet	petti	IA/Dr.?	
to squeeze, wring	peṭṭo-be		*
yellow (ripe) banana	pewri keːre	Hindi	
pila rang	pewriji	Hindi	
anklet	peyjom		
to conceal (intr.)	peyko		
to conceal (something)	peyko kama		
silently	peyko-peyko		
to conceal oneself (hide)	peyku jere(y)		
a dish prepared using millets	peːjo	Korku	
parrot (bird)	peːpo, peapo		
beam – long one	pha(ː)ṭa	Hindi	
spade (to remove weed)	pha(ː)wra	Hindi?	
bunch (cluster)	phani	Hindi	
to divide (property)	pharikamaːy		
a trap (for mouse)	phaṭ(a)ka		
slipper – female only	phaṭaːkri cappal	Hindi	
gate	phaṭko	Hindi	
knife – vegetable	phaːwsi		
to blow nose	phẽkam-be		
morning	phejer	Korku/Hindi	
ground nut	phellya biːjo		
vine	phendra		*
to remove, open, clean	pher-be		
to come to heat (animal)	pherni-ka		
foam	pheːso		
mild, wild (?)	phika		
to settle a payment	phittakamaːy		
to bear fruits	phorouter		
covering of seed	photre		
to splash (water)	phuḍu-phuḍu		
to swell (as seed)	phulaṭine		
finger joint	phuli,/bakko-phuli		
darkness	phuṭkaːre		
flower	phuːl	Hindi	
spleen	piya		
to jump	pinḍa-be		
star	piphinjor	Korku	
girls, daughters	piratta		
daughter, girl	pirjo	Korku	
fallow land	pirto-jaga	Hindi/IA	
money lender	piːcuːṭa, picuhela	IA?	
joint(s), ankle bone	piːṛi		
jacket	po(ː)lka	Korku	
soot	popoːri		*
Pora festival	poːra tiwaːr	Hindi	
bucket	poːra, pawra		
bird	poe; pyu		
pelvis	pollu		
to come to an end; to end	polor		
hole	popa	Korku	
to become a hole	popa-be		
to make a hole	popa-kam-be		
black	popor		
lungs (a part in the heart)	popsa	Hindi	
to rear (cattle)	posi-	Hindi	
sack	pota (ṭ)	Hindi	
to knuckle	poṭekkamaː-be		
bag – plastic	potṛi	Hindi/IA	
to suffer from cholera	poːpeːr		
belly	poːpo	Korku	
crimson-breasted barbet/coppersmith (bird)	pukpuk		
full moon	puñu	Hindi	
father’s sister	puphu	Korku?	
all, total	pura	Korku	*
to complete	pura-be	IA	
orphan (man)	puri manso	Korku	
orphan (girl)	puri pirjo		
to send, persuade	puri-be		
book	pustok	Hindi	
to escape from pursuit, miss	pusuy		
cracks in the foot	puṭaːy		
measles, chicken pox	puṭhkiri		
to wipe away/out	puːco-be	Hindi	
to worship	puːjo-be	Hindi	
bridge	puːl	Hindi	
father’s younger sister	puːphu	Korku?	
orphan	puːri	Korku	
petal(s)	puːrti-puːrti		
good	puːr, puar		
to come	pya		
cold	rabaːn	Korku	
cold water	rabaːn joppo		
to cool (something)	rabaːnkamaː-be		
juice	raccho	Hindi?	
line	rakkil	Hindi	
carpenter’s plane	ranḍa	IA	*
to cook (vegetables)	ranḍa-be		
stains (e.g. on tooth)	rangi	IA	
to dye (put colour)	rango-kamaːy		
to blink	raphid-be		
time of death, to die	rawon-bi		
a wild thorny bush	raymunya		
honey	raːcco		
to wait for	raːkhom-be		
prostitute	raːnḍ, raːnḍi		
widow	raːnḍo	IA	
widower	raːnḍwa	Korku	
blade – shaving	raːpi		
red	raːṭa	Korku	
whole night	raːtoguːso		
parrot – big variety	raːw̃ã		
to mix with water, make a paste	rekki-be		
clear (good) water	reṭhe joppo		
tight	reweḍḍi	Korku	
churning rod	rey		
without any reason, unnecessary	rikaːm	Hindi?	
empty	rita	Korku/IA	*
to stop	rokaṭiñkam-be	Korku	
to cook (by frying)	romki-be		
daily	roːjo	Hindi	
pit (for planting)	roːpo		
rupee	rupya	Hindi	
six	saha	Hindi/Marathi	
true	sacco	Hindi	
whole (night)	sadra (minḍi)		
a type of thorn	sagaːka		
engagement (for marriage)	sagay	Hindi	
good, real, true	saja-(ka)	Hindi	
to open up	sakit		
sugar	sakrya	Hindi	
to scrape off	sala-be	Korku	
a kind of lizard	salla		
quietly	saltul		
relation	samanda	Hindi?	
an animal of horse type – in wild	samboːr	Hindi	
leg – front	samma khuri		
front (in)	samma-(ki)	Hindi?	
year after next	sammaki paːṭoka saːl		*
clean/neat place	sapaːyjaga	IA	
to clean	sapaːykam-be		
ladle – flat type	saraːy	IA	
to rot	saratin		
length between a man’s extended arms	sare moːtho bakko		
vertical	sarka ubaː		
to straighten	sarka		
to clean (floor with cow dung), polish	saroː-be		
plain land (suitable for cultivation)	sawaːn		
a tree	sawri aːḍḍo		
step wife	sawti	Korku?	
shadow, shade	sayin	Korku sayli	
bicycle	saykal	Hindi	
soap	saːbu	Hindi	
wife’s sister’s husband	saːḍ(u)bhaw	Korku/Hindi?	
leaf – big	saːkom	Korku	
year	saːl	Hindi	
bark (of a tree), skin (of vegetables)	saːli	Hindi?	
man – old/aged	saːna	Korku	*
joints	saːnḍa	IA	
back part (of e.g. house)	saːnḍi	Korku	
to swell (as when beaten)	saːri		
breath	saːsõ	Hindi	
seven	saːto	Hindi	
yesterday	se		
to sneeze	seko(n)	IA	
to flow (water – slowly)	sele-sele		
reflection (of self)	selki		
to stretch (back)	seltaːn-jere-be		
rheum of nose	sembḍu	Hindi	
cow dung	sena	Korku	
mushroom grown in cow dung	senajhapon		
sharp; tree’s branch	senḍa		
finger – little	senḍa akhanḍa		
goat	seri	Marathi?	
to feed	seṭṭo kam(aː)-be		
apple	seːp	Hindi?	
a kind of grass	seːpya		
liquor	siḍu	Korku	
pubic hair	sika	Korku	*
hunt	sikaːr-	Hindi	
soil, clay, mud	sikal	Korku	
cigarette	sikrut	Hindi	
hawk (bird)	sikrya		
to slip (foot)	siliri		
to sew, stitch	sim-be		
mucus	simḍu	Hindi	
chicken dung	simic’	Korku?	
horn	singi	Hindi	
tailor	sipi	Hindi	
teak wood	sipna	Hindi	
rib cage	sipra		
blood vessel, vein	sira	IA	
only	sirap	Hindi	
lamb (young one of goat)	siripaːṭo		
dream	siwna	Hindi?	
to get a dream	siwn		
a wooden rod fixed to the yoke	siwol		
straight	siːda	Hindi	
to learn	siːko-be	Hindi	
cliff	siːl	Korku	*
to pierce (someone)	sobo-be	Korku	
to pierce (self), a thorn	sobo-jere(y)		
to think	socatini-be	Hindi	
to get wrinkled	soga-soga		
to wash (cloth)	sokko-be		
Indian bread, food	sokra	Korku	
to take care of someone	songo-be	Korku	
to pretend	songo-ḍhongo(ka)	Hindi	
together, friend	sopti (ṭ)	Korku	
even then	sorkaːn		
to become stale (food)	soroːḍi-	Hindi	
nature (one’s)	soːba		
to take care of a child temporarily	sroːngo		f
to absorb (like cloth)	suluṭ-	Korku	
to smoke	suluṭ-be	Hindi	
to understand	sumjo-be	Hindi	
pod of the beans	sunḍu		
box	sunduko (ḍ)	Hindi	
be silent	suñjerbe		
winnowing pan	supra		
garden lizard	suralij		
to go on exile	sutti-jere		*
midwife	suyni	Marathi?	
thread – a thicker variety	suːto	Hindi	
needle	sũːy	Hindi	
dog and bitch together	taggeṭhey naːy hiṭkel		
parasitic growth on tree	tabbu (ṭ)		
shoulder	tagli (ṭ)		
shoulder bone	tagli paːkṭo		
to be pregnant	tahaːri		
strength	takḍo	Hindi	
trouble	takliːpo	Hindi	
rainbow	tamko loḍeyc		
become stiff (as when one dies)	tangi		
cruelty	taraːso	Hindi	
hyena (an animal)	tarsya (ṭ)		
banana plant	tawra		
between two (persons/groups)	taːgo		
to divorce	taːgo bakaːn-be		
to woo (boy-girl)	taːgo bhulla-jere		
to embrace	taːgo ceki-jere		
quarrel between two groups	taːgo jagṛa-	Hindi	*
rice, paddy	taːndur	Marathi?	
palm tree	taːraːḍḍo	Hindi?	
to throw	taːr-be		
oil	tel	Hindi	
to press hard, get suffocated	tengki-jere		
to collapse (due to weakness)	terey		
temple (of face)	tewre	Korku	
sharp	teːjo	Hindi	
fat	teːm		
plate	tha(ː)ra	Hindi?	
again	tha(ː)ri		
to place (something)	thaːw		
cripple	thanḍa-thunḍa		
to slap	thapra-be		
clap	thapṭi		
moon	thenḍej	Korku	
lunar eclipse	thendejgiryaːni	IA	
to chatter	thenmaːnḍi-ka		
a little	thora	Hindi	
to weaken (health)	thorpe		
to spit	thuki-be	Hindi	*
a kind of drum	timki	Korku	
squint-eyed	tircha	Hindi	
to borrow	tirinchima		
third	tisra	Hindi	
afternoon	tisrapaːr	Hindi	
festival	tiwaːr	Hindi	
to carry (in hand)	tiw-be	Korku	
arrow	tiːr	Korku	
tur gram	toːri	Hindi	
pigeon pea (tur dal)	toːridaːli	Hindi	
knee-cup	tongre (ṭ)		
taste hot like pepper	tora		
fruit of mahua tree	tormbya		
squirrel	tuːr		
to eat, chew	tyeː-be (ṭ)		
wrist	ṭabbo		
weighing instrument	ṭagra		
to place on (e.g. a vessel on oven)	ṭaka-be		
challenge	ṭakkara		
to collide	ṭakkara-be	Hindi	
coitus	ṭakkhocu		
to shave off	ṭaklya-kam-be	Hindi	*
rhythm of the drum	ṭaːkli		
tobacco	ṭaːmko	Hindi	
shell (e.g. mango)	ṭaːpu		
vessel	ṭembya	Korku	
wife’s younger brother (brother-in-law)	ṭeyã	Korku	
tiger	ṭeːmbrya	Korku	
to deceive	ṭhagankama		
to taste (food)	ṭhawa-be		
forehead	ṭhekri	Korku	
wrinkle	ṭhikri golaːy		
to knit one’s brows	ṭhikri ṭoːl golaːy		
pillar	ṭhuni	Korku	
pickaxe – both sided	ṭikaːso	Hindi	
vessels one above another	ṭiphrinj	Korku	
to cook (rice)	ṭoka		
to kiss	ṭoki		
to stumble	ṭokoṭ-kamaː-be	Korku	
bamboo basket	ṭopla		
to glue, stick	ṭopti		
to get desire (for something) (as pregnant women)	ṭoṭo		*
to check (something)	ṭoya-be		
skin	ṭoːl		
wild area with thick vegetation	ṭoːpo		
to embrace	ṭu-be		
to ripen (fruit)	ṭugaṭ-		
we two	ṭyeːko		
straight	uba		
to make erect	ubaːkispinal		
cord	ubadaːnḍhi		
vertebral column	ubadaːnḍhi paːkṭo		
tall	uca	Hindi	
rough land	uca oṭhraː		
to pull, to rob, to massage	uḍi		
to open	ugaːr-be		
light (not darkness)	ujuri		
to tell lies, to exaggerate	ukra		
another day	ukumi-ka-din		*
to call (someone)	ulaso-be		
up side down, opposite	ulṭa	Hindi	
to fall	ulṭaː-	Hindi	
to cause to fall	ulṭa-kama-		
to measure	umaːn-be	Korku	
age	umbor	Hindi	
summer season	unara	Korku/Hindi?	
to stay, remain, live	ungaːy-be, hungaːy-be		
to wear (shirt)	uri-be		
towel	urmaːl	Hindi?	
to shake (body – vigorously)	urraːn-		
to rub, to brush	uruṭ-be (ḍ)	Korku	
front part of the house	usri	Korku	
pillow	usta		
husk	utaːr		
there	uṭka		
day before yesterday/day after tomorrow	utni		
movement in the belly	wal-wal		
marriage	warari		*
to lift up	waso(ː)l-, wosol-		
to float/swim	weːr-, ueːr-		
to keep, arrange	wokki-		
to have concern	yukhaṭine		
