No.	Chinese gloss	English gloss	Proto-Bai	Tuoluo (妥洛)	Gongxing (共兴)	Enqi (恩棋)	Ega (俄嘎)	Jinman (金满)	Jinxing (金星)	Dashi (大石)	Zhoucheng (周城)	Mazhelong (马者龙)	Page number
975	近	near	dʑen²	jen³³	dʑien²²	tɕi²²	(tsʰo⁵⁵)	(tsʰo⁵⁵)	tɕien³³	tɕien³³	tɕie³³	tɕen³³	192
976	寬	wide	qʰua⁴	qʰuo⁴²	qʰua²⁴	qʰua⁵⁵	qʰua⁴⁴	qʰua⁵⁵	kʰuɑ⁴⁴	kʰua⁴⁴	kʰua⁴⁴	kʰua⁴⁴	192
977	窄	narrow	træ⁴	tia⁴²	tsæ²⁴	tia⁵⁵	(so⁵⁵)tɛ⁴⁴	tʂɚ⁵⁵	tsa⁴⁴	tʂɚ³³	tsɛ⁴⁴	tsɚ⁴⁴	192
980	厚	thick	ɢɯ²	ʁɚ³³	ɢe²²	ɢɯ²²		qɯ̃⁴²	kẽ³³	kẽ³³	kɯ³³	kəɯ³³	192
982	深	deep	sʰreŋ¹	ʂɚ̃⁵⁵	ʂi⁵⁵	sɿ²⁴	sɛ⁵⁵	xõ⁵⁵	san⁵⁵	ʂʰɚ⁵⁵	si⁵⁵	sen⁵⁵	193
985	空	empty	qʰoŋ¹	qʰoŋ⁵⁵	qʰoŋ⁵⁵	qʰo²⁴	qʰõ⁵⁵	qʰõ⁵⁵	kʰṽ⁵⁵	kʰõ⁵⁵		koŋ⁵⁵	193
987	多	many	tjɯ¹	tɕiɯ⁵⁵	ti⁵⁵	ti²⁴	ti⁵⁵	ti⁵⁵	tɕi⁵⁵	tɕi³⁵	tɕi³⁵	ti⁵⁵	193
990	圓	round	ʁuen¹ᵇ	uen³⁵	uen¹²	ʁuᴇ²¹	kʰuɛ⁴⁴	ŋue²¹	uẽ²¹	uẽ³¹	ue²¹	ven²¹	193
994	平	smooth	bæŋ¹	baŋ³⁵	bæ¹²	bᴇ²¹	pa²¹	pã²¹	pan²¹	pɚ̃²¹	pɛ²¹	pɚ̃²¹	193
999	偏	slanting; learning	qʰuæ¹		qʰuæ⁵⁵	qʰuæ²⁴	qʰua⁵⁵	qʰue⁵⁵	[pʰiɛ⁵⁵]	[pʰiɚ⁵⁵]	[uɛ³⁵]	kʰuɚ⁵⁵	193
1002	豎	vertical, be standing	tuen¹	ɯe⁵⁵	tyen⁵⁵	tyᴇ²⁴	to⁵⁵tɕi²²	tyi⁵⁵	tuen⁵⁵	tuen³⁵	tue³⁵	(tsuen⁵⁵)	193
1003	直	straight	tuen¹	tue⁵⁵	tuen⁵⁵	tyᴇ²⁴	ti⁵⁵	tyi⁵⁵	tuen⁵⁵	tuen³⁵	miou⁴²	(tsuen⁵⁵)	193
1004	彎	curved; crooked; bent	kʰo⁴	kʰv⁴²	kʰao²⁴	kʰo⁵⁵	kʰu⁴⁴	kɯ⁵⁵	kʰv⁴⁴	[uen³⁵]	kʰv⁴⁴	kʰu⁵⁵	193
1005	黑	black	χɯ⁴	[xɚ⁴²]	χe²⁴	χɯ⁵⁵	xɯ⁴⁴	xɯ⁵⁵	xɯ⁴⁴	xɯ⁴⁴	xɯ⁴⁴	xɯ⁴⁴	193
1006	白	white	bæ⁴	ba⁴²	bæ²¹	pa²¹	pa⁴²	pa⁴²	pa⁴²	pɚ⁴²	pɛ⁴²	pʰɚ⁴²	193
1007	紅	red	tʰræ⁴	tʰa⁴²	tʰæ²⁴	tʰiæ⁵⁵	tɕʰa⁴⁴	ʈʰa⁵⁵	tsʰa⁴⁴	tʂʰɚ⁴⁴	tsʰɛ⁴⁴	[xoŋ³³]	193
1008	黃	yellow	ʁoŋ¹ᵇ	ŋoŋ³⁵	ʁaŋ¹²	ʁo²¹	ŋõ²¹	õ²¹	ṽ²¹	võ²¹	ŋv²¹	ɣoŋ²¹	193
1013	暗	dark	χɯ⁴	[xɚ⁴²]	χe²⁴		xɯ⁴⁴	a⁴²pa⁴²	(mian⁴²)	xɯ⁴⁴	(miɛ⁴²)	xɯ⁴⁴	193
1014	重	heavy	dzruŋ²	ʐvŋ³³	dzoŋ²²	dʐo²²	dʑo²²	dʑõ²²	tsṽ³³	tʂõ³³	tsv³³	tsõ²¹	193
1015	輕	light	tʰræn¹	tʰiaŋ⁵⁵	tsʰan⁵⁵	tʰiæ²⁴	tɕʰa⁵⁵	ʈʰã⁵⁵	tsʰan⁵⁵	tʂʰɚ̃⁵⁵	tsʰɛ⁵⁵	tsʰɚ⁵⁵	193
1018	早	early	tsu²	tɕyi³³	tɕy²²	tɕyi²²	tɕyi²²	tsyi²²	tsu³³	tsu³³	tsu³³	tsu³³	193
1019	遲;晩了	late	mɛ²	mɛ³³	men²²	mᴇ²²	mɛ²²	me²²	me³³	me³³	me³³	mɛ³³	193
1020	尖;鋒利	sharp	ji³	ji²¹	ʑi⁴²	ȵi⁴³	ȵi⁴⁴	ji⁴²	ji³¹	ji²¹	ji³¹	tɕiəɯ⁴²	193
1023	渾濁	muddy; turbid	dzruŋ⁴	ʐv⁴²	dzao²¹	tɕio²¹	tɕiu²¹	tɕiu²¹	tsṽ⁴²	tso⁴²	tsɯ⁴²	tsʰv⁴²	193
1028	乾	dry	qaŋ¹	qɔŋ⁵⁵	qaŋ⁵⁵	qa²⁴	qo⁵⁵	qã⁵⁵	kɑ̃⁵⁵	kã³⁵	ka³⁵	kaŋ⁵⁵	193
1031	稀(粥)	watery/thin (porridge)	tsʰjæn¹	tɕʰiaŋ⁵⁵	tsʰan⁵⁵	tɕʰiæ²⁴			tɕʰian⁵⁵	tɕʰiɚ̃⁵⁵	tɕʰiɛ⁵⁵	tɕʰɚ̃⁵⁵	193
1035	軟	soft	pʰæ¹	pʰa⁵⁵	pʰæ⁵⁵	pʰæ²⁴	pʰa⁵⁵	pʰa⁵⁵	pʰa⁵⁵	pʰɚ⁵⁵	pʰɛ⁵⁵	pʰɚ⁵⁵	194
1045	對	correct; right	hɔ¹	hɔ⁵⁵	ho¹²	χo²⁴	xo⁵⁵	(kv⁴²)	xou⁵⁵	xou³⁵	xo³⁵	xo⁵⁵	194
1047	真	real	tsreŋ¹	tʂɚ̃⁵⁵	tʂẽ¹²	tsɿ²⁴	tsɛ⁵⁵	tʂɚ̃⁵⁵	tsan⁵⁵	tʂɚ̃³⁵	tsi³⁵	tsen⁵⁵	194
1048	假	fraud	tɕa³	tɕɔ²¹		(tɕia⁵⁵a⁴³tsi²⁴)	tɕa⁴²	(a⁴²tʂɚ̃⁵⁵)	tɕiɑ³¹	tɕia³¹	tɕa³¹	tɕa²¹	194
1050	新	new	sʰjen¹	ɕien⁵⁵	ɕien⁵⁵	si²⁴	sɛ⁵⁵	sẽ⁵⁵	ɕien⁵⁵	ɕʰien⁵⁵	ɕi³⁵	ɕen⁵⁵	194
1051	舊	used, old	gɯ̃³	geŋ²¹	gɯ⁴²	gɯ⁴³	gɯ⁴²	gɯ̃⁴²			kɯ³¹	kəɯ²¹	194
1052	好	good	dræn¹	diaŋ³⁵	dzan¹²	diæ²¹	xo⁵⁵	xo²²	xu³³	xu³³	xu³³	xə³³	194
1053	壞	bad (things)	que³(ᵃ)	quɛ²¹	quɛ⁴²	quᴇ⁴³	quɛ⁴²	que⁴²	kua⁴⁴	kue⁴²		kuɛ⁴⁴	194
1057	嫩(植物)	tender young (plant)	njeŋ¹ᵇ	jẽ³⁵	ȵe¹²	ȵiə²¹	ȵi²¹	ȵi²¹	jẽ²¹	ʑẽ²¹	(tɕʰiɛ³³)	ȵiəɯ²¹	194
1062	熱	hot	nje⁴	jen⁴²	ȵi²⁴	ȵi⁵⁵	ȵi⁴⁴	ȵi⁴⁴	jẽ⁴⁴	jen⁴⁴	ȵie⁴⁴	ȵiɛ⁴⁴	194
1063	冷	cold	kɯ¹(thing); gæ¹(weather, feeling)	kɯ⁵⁵	ga¹²	kɯ²⁴	kɯ⁵⁵	kɯ⁵⁵	kɯ⁵⁵ (thing); kɑ²¹ (weather, feeling)	kɯ³⁵ka²¹	kɯ³⁵	kɯ⁵⁵	194
1064	溫(水)	lukewarm	ʔuen¹	uen⁵⁵	uen²²	ʔuᴇ²⁴	ʔuɛ̃⁵⁵	uẽ²²	ʔuen⁵⁵	uen³⁵	uɛ³⁵	(men³³tʰen³³)	194
1068	容易	easy	ɣo⁴	(tsi⁵⁵o³³)	u²¹	u²¹	u⁴²	u⁴²	ɣou⁴²	ɣou⁴²	ou⁴²		194
1069	香	fragrant (smell)	ɕoŋ¹	ɕoŋ⁵⁵	ɕioŋ⁵⁵	ɕio²⁴	mɛ⁴⁴	ɕõ⁵⁵	ɕiõ⁵⁵	ɕoŋ³⁵	ɕou³⁵	ɕoŋ⁵⁵	194
1070	臭	stinking; smelly	tʰru³	tʰv²¹	tsʰu⁴²	(xæ²⁴)tʰiu⁴³	tɕʰu⁴²	ʈʰv⁴²	tsʰu³¹	tʂʰu³¹	tsʰu³¹	tsʰu²¹	194
1072	酸	sour	sʰuaŋ¹	soŋ⁵⁵	suaŋ⁵⁵	ɕyᴇ²⁴	sua⁵⁵	tɕã⁵⁵	suɑ̃⁵⁵	sʰuaŋ⁵⁵	sua⁵⁵	suaŋ⁵⁵	194
1074	苦	bitter	qʰu²	qʰo³³	qʰu²²	qʰu²²	qʰu²²	qʰu²²	kʰu³³	kʰu³¹	kʰu³³	kʰəɯ³³	194
1076	鹹	salty	tsʰoŋ³	tsʰoŋ²¹	tsʰoŋ⁴²	tsʰo⁴³	tsʰo⁴²	kʰu⁴²	tsʰõ³¹	tsʰoŋ⁴²	tsʰou³¹	kʰəɯ³³	194
1078	澀	astringent; like unripe	sri⁴	ʂi⁴²	tsua²⁴	sɿ⁵⁵	(kʰui⁴²/tsʰi⁴²)	ʂɚ⁵⁵	sa⁴⁴	ʂi⁴⁴	si⁵⁵	si⁴⁴	195
1083	富	rich	gɔ¹	gɔ³⁵	gao¹²	ko²¹	ko²¹	ko²¹	ko⁴²		ko²¹	ko²¹	195
1089	死	dead	sji²	ɕi³³	ɕi²²	si²²	si²²	ɕi²²	ɕi³³	ɕi³³	ɕi³³	ɕi³³	195
1094	響	loud	mæ¹ᵇ	ma³⁵	mæ¹²	mæ²¹	(do⁴²)	ma²¹	man²¹	mɚ²¹		mɚ̃²¹	195
1124	陡峭	cliffy; precipitous	pʰræ¹	tʂʰua⁵⁵	tʂʰuen⁵⁵	pʰiæ²⁴	tɕʰya⁵⁵	tɕʰya⁵⁵	pʰiɛ⁵⁵	pʰiɚ⁵⁵	pʰiɛ⁵⁵	[təɯ²¹]	195
1126	愛	love; like	gɔ¹	gɔ³⁵	gao¹²	ko²¹	ko²¹	ko²¹	kou²¹	ku²¹	ko²¹	ko²¹	195
1129	按	press (with palm of finger)	ja⁴	jɔ⁴²	ja²⁴	ja⁵⁵	o⁴⁴	(a⁵⁵)	jo⁴⁴(/ɑ̃⁴⁴)	ja⁴⁴	ja⁴⁴	ja⁴⁴	195
1131	拔(草)	pull up (weeds)	bræ⁴	ʐo⁴²	dʑua²¹	pia²¹	tɕia⁴⁴	tɕiõ⁵⁵	pio⁴²(/mɑ̃²¹)	(ma²¹)	(ma²¹)	[tsʰɛ⁴²]	195
1132	耙(田)	to rake (the fields)	bæ¹	ba³⁵	bæ¹²	pæ²¹	(to⁴²ɕyi²²)		pɑ⁴⁴	pɚ²¹	pɛ²¹	pɚ²¹	195
1141	綁	bind; tie up	bjo⁴	vɚ⁴²	bvu²¹	fo²¹	u⁴²	u²¹	fv⁴²	fv⁴²	v⁴²	pʰəɯ⁴²	195
1148	飽	have eaten one’s fill	pɯ²	pɯ³³	pu³³	pɯ²²	pɯ²²	pu²²	pu³³	pu³³	pu³³	pəɯ³³	195
1149	抱	hug	bɯ²/pɯ¹	bɯ³³	bu²²	bɯ²²	pɯ²²	bu²²	pu³³	pu³³	po⁵⁵	bɯ³³	195
1151	背	carry (a child) one the back	m-pa³	bo²¹	ba⁴²	bo⁴³	bo⁴²	bo⁴²	mɑ̃³¹	pa³⁵	(nɛ²¹)	pa²¹[/pi⁴⁴]	195
1151	背	carry (shoulder)	bjo²	vɚ³³			vɛ²²	ve²²	v³³	(jɚ³¹)	(jɛ⁴²)		195
1155	閉(口)	close (the mouth)	me¹ᵃ	mi⁵⁵	mi⁵⁵	mi²⁴	ȵyi⁵⁵	mi⁵⁵	me⁵⁵	me³⁵	me³⁵	mi⁵⁵	195
1156	編(辦子)	to plait	pren¹	tɕyen⁵⁵	tɕyen⁵⁵	tsuᴇ²⁴	tɕyi⁵⁵	tɕyẽ⁵⁵	pien⁵⁵	pi³⁵	pi³⁵	pien⁵⁵	195
1158	變化	change	prcn⁵	tɕyen²¹	tɕyen⁴²	pᴇ⁴³	(ka⁴²)pɛ⁴²	(ka⁴²)pe⁴²	pien⁴²	pien⁴²	pi⁴²	piɛ̃⁴²	195
1160	病	to be ill	bæn³	baŋ²¹	ban⁴²	bæ⁴³	(su⁴²)	(sõ⁴²)	pan³¹	pɚ̃³¹	pɛ²¹	pɚ̃²¹	195
1161	補(衣服)	patch (clothing)	pu²	pɯ³³	pu²²	pɯ²²	pɯ²²	pu²²	pu³³	pu³³	tse³³	pəɯ³³	196
1168	踩	step on; tread	da⁴	(uen²¹)	da²¹	ta²¹(/tsʰuᴇ⁴³)	ta⁴²	ta⁴²	tɑ⁴²	ta⁴²	ta⁴²	tʰa⁴²	196
1169	藏(東西)	hide	dzoŋ¹	zoŋ³⁵	dzoŋ¹²	tso²¹	tsu²¹	tsõ⁴²	tsõ²¹	tsoŋ²¹	tsou²¹	tsoŋ²¹	196
1171	插(牌子)	to poke; insert	bɛ⁴	(tɕʰia⁴²)	(tsʰa²⁴)	(tɕio⁴³)	pɛ⁴²	pe⁴²	pe⁴²	(tɕʰiɚ⁴⁴)	pe⁴²	pʰɛ⁴²	196
1172	插(秧)	transplant (rice seedling); insert	pʰjen¹	fɚ⁵⁵	pfu⁵⁵	fᴇ²⁴	(xue⁵⁵)	(tɕiõ⁴²)	fv⁵⁵	fv⁵⁵	fv⁵⁵	pʰien⁵⁵	196
1174	拆(衣服)	unseam (clothing)	tʰje⁴	tʰi⁴²	tʰua²⁴	(lo⁴³)	tʰo⁵⁵	ʈʰɚ⁵⁵	tʰe⁴⁴	tʰe³³	tʰe⁴⁴	tʰɛ⁴⁴	196
1186	炒	stir-fry, stir	tʰru²	tʰv³³	tɕyi²²	tʰiu²²	(ŋõ²¹)	(õ²¹)	tsʰu³³	tʂʰu³³	tsʰu³³	tsʰu³³	196
1188	稱(糧食)	weigh (food)	tsʰuen¹	tɕien⁵⁵	tɕʰyen⁵⁵	tsʰuᴇ²⁴	tsʰuɛ⁵⁵bɛ²²	tsʰuẽ⁵⁵	tɕʰyẽ⁵⁵	tɕʰyen⁵⁵	tɕʰiue⁵⁵	tsʰuen⁵⁵	196
1194	盛(飯)	fill (a bowl with rice)	qɯ¹	qɚ⁵⁵	qe⁵⁵	qɯ²⁴	qɯ⁵⁵	qɯ⁵⁵	kɯ⁵⁵	kɯ³⁵	kɯ³⁵	kə⁵⁵	196
1198	吃	eat	jɯ⁴	ju⁴²	ju²⁴	jɯ⁵⁵	ji⁴⁴	ji⁵⁵	jɯ⁴⁴	jɯ⁴⁴	jɯ⁴⁴	ji⁴⁴	196
1212	穿(鞋)	put on (the shoes)	tro⁴	tju⁴²	tsu²⁴	tju⁵⁵	tɕu⁴⁴	ʈo⁵⁵	tsou⁴⁴	tʂou³³	tsou⁴⁴	tso⁴⁴	196
1218	吹(喇叭)	blow (the trumpet)	pʰɯ¹	pʰɯ⁵⁵	pu⁵⁵	pʰɯ²⁴	pʰɯ⁵⁵	pʰɯ⁵⁵	pʰɯ⁵⁵	pʰu⁵⁵	pʰəɯ⁵⁵	pʰəɯ⁵⁵	196
1225	搓(繩)	twist (hemp fibers)	tsʰo⁴	tsʰu⁴²		tsʰu⁵⁵	tsʰo⁵⁵	tsʰo⁵⁵	tsʰou⁴⁴	tsʰou³³	tsʰo⁴⁴	tsʰo⁴⁴	196
1234	打架	fight	tæŋ⁴	tɔ⁴²	taŋ²⁴	(sa²⁴tsa⁵⁵)	(so⁵⁵qa²¹)	(so⁵⁵qã⁴²)	tan⁴⁴	tɚ̃⁴⁴	tɛ⁴⁴	tɚ̃⁴⁴	196
1240	打賭	to bet	tu²	tv³³	(ta⁵⁵)tu²²	(sa⁵⁵bo²⁴)	(so⁵⁵pu⁵⁵)	(so⁵⁵pu⁵⁵)	(tsʰi⁵⁵pɔ⁵⁵)	tu³³		[tɚ⁵⁵tv²¹]	196
1248	打雷	to thunder	sky+cry	xen⁵⁵ma³⁵	hen⁵⁵mæ¹²	xᴇ²⁴mæ²¹	xɛ̃⁵⁵ma²¹	xẽ⁵⁵ma²¹	xen⁵⁵man²¹	xen⁵⁵mɚ²¹	xe⁵⁵mɛ²¹	xen⁵mɚ²¹	196
1252	戴(帽子)	wear (a hat)	tjɯ⁵	tiɯ²¹	di²⁴	tə⁴³	tɯ⁴²	tẽ⁴²	tə̃⁴²	tən⁴²	tɯ⁴²	tɯ⁴²	197
1254	戴(手鐲)	wear (a bracelet)	tro⁴	tiu⁴²	tsu²⁴	tju⁵⁵	tɕu⁵⁵	ʈu⁵⁵	tsou⁴⁴	tʂou³³		tso⁴⁴	197
1256	擋(風)	to block (the wind)	be²	bi³³	bi²²	(ta²²tsuᴇ²⁴)	dʑyi²²	dʑyẽ²²	(tɑ̃³¹)	(tã⁴²)	(la⁵⁵)	pɛ²²	197
1263	得到	get; acquire	tɯ⁴	tɯ⁴²	ti²⁴	tə⁵⁵	tɯ⁴⁴	tɯ⁵⁵	tə⁴⁴	tjɯ⁴⁴	tɯ⁴⁴	təɯ⁴⁴	197
1264	等待	wait	djɯ²	diɯ³³	di²²	dijɯ²²	so⁵⁵tɕi²²	ʈɯ²²	tə³³	tɯ³³	tɯ³³	təɯ³³	197
1265	地震	earthquake	'earth'+'wag'	ʑi²¹ʐu²¹	dʑi²¹ju²⁴	da⁴³dʑi⁴³ju⁴³	do⁴²tɕi²¹ju⁴²	da⁴²tɕi²¹u⁴²	tɕi³¹ju³¹	tɕi²¹ju³¹		ti³¹ju³¹	197
1269	燃燒	to burn	ʂu¹(ᵃ)		ɕy⁵⁵					ʂu⁵⁵	su⁵⁵	sv⁵⁵	197
1269	燃燒	to burn	nji²(ᵇ)	jen³³		(xu²⁴)	(fi²²pɛ²²)	(fv⁵⁵ji⁵⁵)	jĩ³³		ȵiɯ³³		197
1274	掉(下)	to drop	dua⁴	(u⁴²?)	tɕɛ²⁴	dua²¹	tua⁴²	tua⁴²	tuɑ⁴²	(nɚ³¹)	tua⁴²	(dʑiaŋ²¹)	197
1287	讀	read	ʁɯ⁴	ɣɯ⁴²	ʁe²¹	ʁɯ²¹	ɣɯ⁴²	ɣɯ⁴²	ɣə⁴²	ɣɯ⁴²	ɣɯ⁴²	[tʰou⁴²]	197
1298	餓	be hungry	tɕɯ¹	tɕiɯ⁵⁵qʰɔ⁴²	tɕi²²qʰa⁵⁵	tɕiɯ²⁴qʰa⁵⁵	tɕʰi⁵⁵qʰo⁴⁴	tɕʰi⁵⁵qʰa⁴⁴	(ŋõ⁴²)	tɕi³⁵kʰa⁴⁴	(fu⁴⁴xua⁵⁵)	tɕi⁵⁵kʰa⁴⁴	197
1318	飛	fly	pje¹	fɚ⁵⁵	pfu⁵⁵	fᴇ²⁴	xuɛ⁵⁵	fi⁵⁵	fv⁵⁵	fv⁵⁵	fṽ³⁵	pi⁵⁵	197
1319	分(東西)	divide; share (things)	pjen¹	fɚ⁵⁵	pfũ⁵⁵	fᴇ²⁴	xuɛ⁵⁵	so⁵⁵fi⁵⁵	fṽ⁵⁵	fṽ³⁵	fṽ³⁵	pien⁵⁵	197
1332	蓋(被)	pull (a quilt) over oneself	tʰa⁴	tʰɔ⁴²	tʰa²⁴	tʰua⁵⁵	tʰo⁵⁵	tʰa⁵⁵	tʰɑ⁴⁴	tʰa⁴⁴	tʰa⁵⁵	(pɛ⁴²)	197
1339	割(肉)	cut (meat)	sʰræ⁴	ɕa⁴²	sæ²⁴	ɕiæ⁵⁵	ɕa⁴⁴	ɕa⁵⁵qa²¹	sa⁴⁴	ʂʰɚ⁴⁴	sɛ⁴⁴	sɚ⁴⁴	197
1343	隔(河)	be on the other side of (a river)	qæ⁴	qa⁴²	qæ²⁴	qæ⁵⁵	qa⁴²	qa⁵⁵	ka⁴⁴	kɚ⁴⁴	kɛ⁵⁵	kɚ⁴⁴	197
1345	給	give	zɯ³	zi²¹	zi⁴²	tsɿ⁴³	zi⁴²	zi⁴²	si³¹	zi²¹	zɯ⁴²	zəɯ²¹	197
1347	耕	plough; till	tso⁴	tsu⁴²	tsu²⁴	tsu⁵⁵		tso⁵⁵	tsou⁴⁴	tsou³³		tso⁴⁴	197
1348	鉤	to hook	qɯ¹	qɚ⁵⁵		qɯ²⁴	qɯ⁵⁵	qɯ⁵⁵	kɯ⁵⁵	kɯ³⁵	[kɯ⁵⁵]	kʰv⁵⁵	197
1357	關(羊)	to pen in (sheep)	noŋ⁵	noŋ²¹	noŋ⁴²	no⁴³	nõ⁴²	noŋ⁴²	nṽ⁴²	u³³	no⁴²	(kəɯ²¹)	197
1360	跪	kneel	groŋ³	ʐɚ̃²¹	tʂi⁴²	dzɿ⁴³	(tsɛ⁴⁴kʰo⁴⁴tsu²¹ko⁵⁵)	tɕi²¹	kv³¹	ko²¹	kv³¹	tɕu²¹	198
1370	喝	drink	ɣɯ²/ɯ̃²	ɯ̃³³	(oŋ²²)	ɯ²²	ɯ̃²²	ɯ̃²²	ə̃³³	ə̃³³	ɯ³³	oŋ³³	198
1383	換	to change	mɯ²	mɯ³³	sa⁵⁵mu²²	mɯ²²	mɯ²²	mɯ²²	xuan⁴⁴		mɯ³³	məɯ³³	198
1384	揮動	wave; wield	sreŋ¹	ʂɚ̃⁵⁵	ʂi⁵⁵	sɿ²⁴	sɛ⁵⁵	ʂɚ⁵⁵	san⁵⁵	ju³³			198
1385	回	return	ja⁴	jɔ⁴²	ja⁵⁵	ja⁵⁵	jo⁴⁴	ja⁵⁵	jɑ⁴⁴	ja⁴⁴	(jo³¹)	(xɚ³¹tiã⁵⁵)	198
1405	擠(奶)	squeeze (for milk)	tsuɛ⁴	tsue⁴²	tsuɛ²⁴	tsuᴇ⁵⁵	(nɛ⁵⁵)	(le⁵⁵)	tsui⁴⁴	[tɕi⁴⁴]	tsue⁴⁴	[tɕi³¹]	198
1412	系(腰帶)	pick up (food with chopstick)	qʰoŋ¹	kʰo⁵⁵	qʰao⁵⁵	kʰo²⁴	(tɕʰi⁵⁵)	(ʈʰɯ⁵⁵)	kʰõ⁵⁵	kʰoŋ⁵⁵	(tsʰɯ⁵⁵)	kʰo⁵⁵	198
1413	夾(菜)	pick up (food with chopstick)	ɢæ⁴	ʁa⁴²	ɢæ²¹	qæ²¹	qa⁴²	qa⁵⁵	ka⁴²	kɚ⁴²	kɛ⁴²	kʰɚ⁴²	198
1414	撿	pick up	dzri⁴	ʐɚ⁴²	dʐi²¹	tsɿ²¹	tsɛ⁴²	tʂɚ⁴²	tsa⁴²	tʂi⁴²	tsi⁴²	tsʰi⁴²	198
1416	剪	scissor	ɢæ⁴	ʁa⁴²	ɢæ²¹	qæ²¹	qa⁴²	qa⁵⁵	ka⁴²	kɚ⁴²	kɛ⁴²	tsʰɛ⁴²	198
1419	交換	exchange	mɯ²	mɯ³³	mu²²	mɯ²²				mɯ³³			198
1422	澆(水)	to water/ sprinkle/irrigate	ɔ⁴	o⁴²	(læ²⁴)	u⁵⁵	o⁵⁵(/xuɛ⁵⁵)	u⁵⁵	ou⁴⁴	ou⁴⁴	ou⁴⁴	o⁴⁴	198
1425	教	teach	qaŋ¹	qɔŋ⁵⁵	qaŋ⁵⁵	qa²⁴	qo⁵⁵	qã⁵⁵	kɑ̃⁵⁵	kã³⁵	ka³⁵	kaŋ⁵⁵	198
1432	叫(狗)	to bark	bræ⁴	ʐo⁴²	dʑua²¹	pia²¹	tɕya²¹	tɕua⁵³	pio⁴²	pia⁴²	pia⁴²	pʰia⁴²	198
1438	揭(蓋子)	lift (the lid)	la¹ᵃ	lɔ⁵⁵	lao¹²	lo²⁴	lo⁵⁵	lo⁵⁵	lɑ⁵⁵		la³⁵	(kʰə⁵⁵)	198
1442	借(錢)	to borrow (money)	tʰɯ̃⁴	tʰɯ⁴²	tʰæ²⁴	tʰɯ⁵⁵	[tɕia⁴⁴]	tʰɯ̃⁵⁵	[tɕia⁴⁴]	[tɕiɚ⁴⁴]	[tɕiɛ⁵⁵]	tʰɯ⁴⁴	198
1443	借(工具)	to borrow (tools)	tɕæ¹	(tʰɯ⁴²)	tsæ²⁴	tɕæ⁵⁵	tɕia⁴⁴	tɕia⁴⁴	tɕia⁴⁴	tɕiɚ⁴⁴	tɕiɛ⁵⁵	tɕɚ⁴⁴	198
1444	浸泡	soak; steep	dzi¹	zi³⁵	dzi¹²	tsi²¹	(ȵya⁵⁵)	(ȵiua⁵⁵)	(pʰɑ⁴⁴)	tsi²¹	si²¹(ɣɚ⁴⁴)		198
1452	居住	live; reside	ko⁵	kv²¹	kao⁴²	ku⁴³	kv⁴²	kv⁴²	kv⁴²	ko⁴²	kv⁴²	kv⁴²	199
1454	鋸	to saw	pjo⁵	fv²¹			(ɕa⁴⁴)fv⁴²	(ɕa⁴⁴)fv⁴²		(ʂʰɚ⁴⁴)	fv⁴²	fv⁴²	199
1461	開(門)	open	qʰɯ̃¹	qʰɚ̃⁵⁵	qʰe⁵⁵	qʰɯ²⁴	qʰɯ⁵⁵	qʰɯ̃⁵⁵	kʰɯ⁵⁵	kʰɯ⁵⁵	kʰɯ⁵⁵	kʰə⁵⁵	199
1462	開(水)	(water) be boiling	hua⁴	huɔ⁴²	xua²⁴	χua⁵⁵	xua⁴⁴	xua⁵⁵	xuɑ⁴⁴		xua⁴⁴	xua⁴⁴	199
1474	烤(火)	roast in fire	goŋ³	gv²¹		go⁴³			kõ³¹	koŋ⁴²	kʰoᵘ³¹	kõ²¹	199
1477	咳嗽	to cough	qʰɔ¹	qʰɔ⁵⁵	qʰao⁵⁵	qʰo²⁴	(pa²¹kv⁴²)	(pa²¹kv⁴²)	kʰou⁵⁵	kʰou⁵⁵	kʰo⁵⁵	kʰə⁵⁵	199
1478	渴	be thirsty	qʰa⁴	qʰɔ⁴²	qʰa²⁴	qʰa⁵⁵	qʰo⁴⁴	qʰa⁵⁵	kʰɑ⁴⁴	kʰa⁴⁴	kʰa⁴⁴	kʰɐ⁴⁴	199
1485	哭	cry	qʰɔ⁴	qʰo⁴²	qʰu²⁴	qʰu⁵⁵	qʰu⁴⁴	qʰo⁵⁵	kʰou⁴⁴	mɚ³¹	kʰo⁴⁴	kʰo⁴⁴	199
1487	拉	pull; tug	dʑi²	ʑi³³	dʑi²²	dʑi²²	(kʰɛ²²/tɕʰio⁵⁵)		tɕi³³	tɕi³³	tɕi³³	(kʰen⁵⁵)	199
1489	辣	peppery	tsʰjen¹	tɕʰien⁵⁵			tsʰɛ⁵⁵	tsẽ⁵⁵	tɕʰien⁵⁵	tɕʰien⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	199
1493	老的	old	ku²	kv³³	ku²²	ku²²	kv²²	kv²²	ku³³	ku³³	ku³³	kv³³	199
1502	流水	(water flow)	gɯ¹	gɯ³⁵	gɯ¹²	kɯ²¹	kɯ²¹	kɯ²¹	kɯ²¹	kɯ²¹	kɯ²¹	kəɯ²¹	199
1506	漏(水)	to leak	ɣɯ³	ɣɯ²¹	ɣɯ⁴²	ɯ⁴³	ɯ²¹	ɣɯ²¹	ɣə³¹	ɣɯ³¹	ɣɯ³¹	ɣɯ²¹	199
