Gahri	Part of speech	English gloss
toba	n.	haste, hurry
tok-	v. tr.	to recognize
tok-	v. tr.	to take off (clothes) (tr.)
tok-	v. mid.	to take off (clothes) (refl.)
tok-	v. tr.	to pluck
toka	adv.	only
tokna	adj.	correct, right
tokom	n.	saddlecloth, colorful sitting carpet
toks-	v. intr.	to be called
tol-	v. tr.	to pierce
tolmo	n.	crossbreed between bull and yak (female)
tolpo	n.	crossbreed between bull and yak (male)
ton-	v. tr.	to lift up
tondʑuksla	n.	11th month of the traditional calendar
tonpa	n.	teacher
tontʰok	n.	crops, harvest
toŋ	num.	thousand (Tibetan)
toŋpa	adj.	empty
torma	n.	idol of evil spirits
tot	n.	Tod valley
tot-	v. intr.	to be affected by
totpa	n.	person from Tod Valley
totsi	n.	turban
tottok	adv.	up the valley
tra-	v. mid.	to sunbathe
trak-	v. tr.	to scratch
tral-	v. tr.	to tear (tr.)
trap	n.	bridle (to ride)
tre	n.	fermenting agent
trinmo	n.	demon, specter (female)
trinpo	n.	demon, specter (male)
trok	n.	life
troks-	v. intr.	to become frightened
trons	n.	jewelry for the ear
tru-	v. tr.	to light, to kindle (electric light and fire)
tru-	v. mid.	to burn (intr.) (of electric light and fire)
truj	num.	six
truk-	v. tr.	to knead
trukna	adj.	together
truks	n.	sweat
trwa	n.	purse worn around your neck
trwan-	v. tr.	to hang (tr.), to hang up
tu-	v.	to light, to kindle (wood, candles)
tus-	v. mid.	to burn (of wood, candles)
tuk-	v. tr.	to sew
tuk	n.	parasitic worm living on sheep
tukak	n.	red stone
tukt-	v. mid.	to drip (from a full vessel)
tul	n.	dust
tul-	v. tr.	to tame, to teach manners
tum-	v. tr.	to sweep
tum-	v. tr.	to assemble
tumtsi	n.	berry
tun-	v. tr.	to inhale
tunik	adj.	short
tuŋ-	v. intr.	to drink
tuŋi	adj.	thick (flat things)
tup-	v. tr.	to cut
turt-	v. intr.	to shake, to tremble
twa-	v. intr.	to mow
twas	n.	harvest
twan-	v. tr.	to borrow, to lend
twaski sla	n.	month of harvest
tʰadzu	v. dem.	that
tʰadzuŋ	v. dem.	there
tʰaj	v. dem.	up there
tʰak-	v. tr.	to break (tr.)
tʰakɕa	n.	weaving comb
tʰakɕa kʰet-	v. tr.	to batten (loom)
tʰakpa	n.	rope
tʰaks-	v. intr.	to get ready
tʰaks	adj.	ready
tʰakʰap	n.	needle (big)
tʰalt-	v. mid.	to pass, to elapse
tʰamatʰome	adj.	careless
tʰami	v. dem.	down there
tʰan	adv.	today
tʰansuŋ	adv.	this year
tʰaŋ	adj.	plain
tʰaŋ	n.	(1) plain; (2) grazing grounds
tʰaŋ-	v. tr.	to see
tʰap	n.	fire-place, hearth
tʰapa	n.	Indian, person of Indo-Aryan origin
tʰaptsaŋ	n.	kitchen
tʰar-	v. tr.	to forge, to beat metal
tʰara	v. dem.	that other
tʰaraŋ	v. dem.	in that other place
tʰaskat	n.	Hindi language
tʰat-	v. intr.	to be happy
tʰat-	v. tr.	to drop, to take down, to fell (trees)
tʰats	n.	pleasure
tʰatɕa	n.	shepherd's camp in the high mountains (Indo-Aryan)
tʰatɕak	n.	seam
tʰatiŋ	n.	surrounding area
tʰe	v. dem.	this
tʰek-	v. tr.	to be able to carry, to be able to endure
tʰe=lek	v. dem.	as much as this
tʰempa	n.	stairs (made of stone)
tʰentsuk	v. dem.	this kind of, such
tʰep-	v. tr.	(1) to catch; (2) to check a herd of cattle for missing animals
tʰetsoms	n.	doubt
tʰi-	v. mid.	to melt, to dissolve
tʰiː	adj.	(1) liquid; (2) wet
tʰikma	n.	tie-dye
tʰiktsi	n.	crossbeam (small)
tʰil	n.	bottom, ground
tʰin-	v. tr.	to take, to accept
tʰip-	v. mid.	to fight, to quarrel
tʰipna	adj.	dedicated, devoted
tʰir-	v. tr.	to send (a person)
tʰjot-	v. intr.	to weep (pl.)
tʰohit	n.	notebook
tʰoj	adj.	high
tʰok	n.	ceiling
tʰok-	v. intr.	to leak, to drip
tʰok-	v. tr.	to announce
tʰoktset	n.	story (of a building)
tʰombu	n.	ladle (big & cylindric)
tʰon-	v. tr.	to finish, to complete
tʰoŋ	n.	room
tʰoŋ	adv.	inside
tʰopna	adj.	without giving thought
tʰopo	n.	cup
tʰoptʰop	adj.	mentally retarded
tʰor-	v. tr.	to pour into (big vessels)
tʰos-	v. intr.	to be high
tʰotpa	n.	skull
tʰruŋ-	v. tr.	to nourish
tʰu	n.	spittle
tʰuk-	v. tr.	to crash into, to bounce against
tʰukdʑe	n.	help, favor
tʰukpa	n.	noodle soup
tʰuktak	n.	hon. prophecy
tʰum-	v. tr.	to wrap
tʰums	n.	wrapping
tʰun	n.	meditation
tʰunt-	v. intr.	to agree, to become friends
tʰurgop	n.	headstall
tʰurtsʰes	n.	waning phase of the moon
tʰuru	n.	foal
tʰwa-	v. tr.	to beg
tʰwa	n.	hammer (big)
da-	v. tr.	to give
da	adv.	now
dagam	n.	arm's length (traditional length measure)
daka	n.	long and cylindric double-sided drum
dakpo	n.	husband
daksam	adv.	now
dakt-	v. mid.	to break (intr.)
dal	n.	slowness
daltok	adv.	slow, late
dam-	v. tr.	to choose
dampo	adj.	tight
dan	n.	belly, stomach
dana	n.	Manali
dangjaks	adv.	in six days
daŋ	n.	meadow
daŋra	n.	cow shed
daŋta	adv.	still
daps	n.	side
dar	n.	mountain ridge
darpotɕʰe	n.	big prayer flags
dart-	v. intr.	to emerge, to develop
dartɕok	n.	prayer flag on house roofs
dartsa	n.	pan
daru	n.	ladle (wooden)
daːstok	adv.	meanwhile
dat-	v. intr.	to fall down
datɕi	n.	pruning knife
datle	adv.	right now, just now
datpa	n.	belief, trust
dawa	n.	Monday
dej	adj.	beautiful, pleasant
demtsi	n.	bridge (small)
densa	n.	pity
deŋ- ~ deŋs-	v. intr.	to believe
deŋs	n.	belief
deŋme	n.	belief
depna	adj.	flat, plain (of land)
det-	v. intr.	to lead
dik	n.	vase-shaped pot
dikpa	n.	sin
dikparatsa	n.	scorpion
diksak	n.	sister-in-law
dilak	adv.	on the right side of a valley (when looking downstream)
diŋski	adv.	always
dip-	v. tr.	to tear down (roof)
dipt-	v. mid.	to collapse (of roofs) (intr.)
dir	n.	bolt, bar
dirt-	v. intr.	to thunder
djara	n.	season, period
djwak	adv.	two days ago
dok	n.	color
dok waŋs-	v. intr.	to become successful, to become healthy
dokmet	adj.	weak
doktsi	n.	handle (of agricultural instruments)
dolam	n.	pair of kettle drums
dole	n.	oval metal bowl
dolt-	v. intr.	to be torn, to be pierced
dolt-	v. mid.	to be torn, to be pierced
dom	n.	bear
dom-	v. mid.	to be busy
don-	v. intr.	hon. to eat
dontʰak	n.	skills of managing
doŋbo	n.	log
doŋmo	n.	churn
dopna	adj.	plain, pure, uncooked
dorok	adj.	free, for free
dot-	v. intr.	to meet, to touch
dralt-	v. mid.	to be torn
dran-	v. tr.	to miss
dras-	v. tr.	to chase away
dril-	v. tr.	to roll out
drilu	n.	bell (used for rituals)
du	n.	cloud, fog
du-	v. tr.	to collect, to gather
dubaŋ	n.	front leg (of animals)
duk	n.	poison
duk-	v. tr.	to touch, to put together
dukpo	n.	traditional dress of women
dumbu	n.	small pieces
dun	num.	seven (Tibetan)
duntɕu	num.	seventy (Tibetan)
duntsar	n.	small bowl used for ceremonies
dunʈʰak	n.	week
duɲam	adv.	simultaneously
duŋ	n.	pestle
duŋ	n.	conch shell
duŋal	n.	mourning
duŋrutsi	n.	vitiligo
dupa	n.	ancestor
dupdup	adj.	blunt, edgeless
dupna	adj.	blunt, edgeless
dur-	v. mid.	to compete, to take on
durek	adv.	earlier, before
durna	adj.	running (of nose)
dutɕi ~ dutɕumaŋ	adv.	in front of, before
dutpa	n.	knot
dwaŋ	adv.	two years ago
na	n.	oath
nak	n.	pus
naka	n.	kind, sort
nakɕa	n.	picture
nakj	adj.	flexible
naksa	n.	ink
nalma	n.	yarn
nam	n.	sky
nam	n.	daughter-in-law
namdo	n.	meteorite
namdʑuk	n.	future, time to come
namgaŋ	n.	new moon
namlaŋs	n.	ritual performed in the early morning on a wedding day by the ɖomba (Lohar)
nams-	v. intr.	to burn off
namtɕamtɕim	n.	dusk, twilight
nan-	v. tr.	to press
nan-	v. tr.	to bury stocks of food
nan-	v. tr.	to control, to seize control of
naŋ	n.	inside
naŋdʑin	adj.	like, similar
naŋrek	adv.	into, inside
naŋs	n.	thought, notice
naŋsmettok	adv.	suddenly
naŋtɕi	adv.	inside
naŋtsi	n.	bracelet
napti	n.	mucus
nas-	v. intr.	to be sick
naspati	n.	pear (Indo-Aryan)
natɕoŋma	n.	young woman
natpa	n.	sick person, patient
ne-	v. tr.	to rub in, to tan
nego	n.	pilgrimage in holy years
nej	adj.	thick (of liquids)
nek	adv.	last year
nekor	n.	pilgrimage
neme	adj.	tasty
nen	n.	relative
neneɲuŋne	n.	Buddhist fasting festival
nerpa	n.	manager of a monastery
ni	num.	two (Tibetan)
niɕu	num.	twenty (Tibetan)
nidza	num.	twenty
nidʑi	num.	seven
nil	n.	gums
nimapʰet	n.	noon
nimbu	n.	lemon (Indo-Aryan)
nin	n.	daytime
ninmun	adv.	day and night
niŋ-	v. tr.	to rub oil into hair (tr.)
niŋ-	v. tr.	to rub oil into hair (refl.)
niŋdʑes	n.	compassion, pity
niŋrus	n.	effort, industry
niŋs	n.	wish
nira	n.	afternoon
nirma	n.	wrinkle
nisdap	adj.	double
niskiŋ	num.	two
nispi	num.	two (for human beings)
nit-	v. mid.	to wither
nitsi	n.	sun
noj	quant.	(too) much, (too) many
nomo	n.	sister (younger)
noŋs-	v. intr.	to be spoilt, to be destroyed
nor	n.	jewelry
norbu	n.	jewel
nort-	v. intr.	to be confounded
noskjal	n.	harm
nospok	n.	truth
not-	v. intr.	to be harmful
notpa	n.	harm
nubiŋ	adv.	in two years
nuj	adj.	new
nu=lek	v. dem.	as much as that
num	n.	oil
num	adj.	greasy, oily
num-	v. tr.	to smell
numaŋ	n.	jade
nuntsuk	v. dem.	that kind of, such
nuŋ	v. dem.	there
nup	n.	west
nupar	n.	cream, milk skin
nusgjak	v. dem.	on that day
nwaːstok	adv.	at that time
pak-	v. tr.	to measure
pak-	v. tr.	to put cow dung on a wall
pakbu	n.	caterpillar
paksgormo	n.	big cup (used in ceremonies)
paldʑarak	n.	stones used to cover a roof
pan-	v. mid.	to fly
pan-	v. tr.	to scare away animals
pant-	v. intr.	to spin
paŋ	n.	spindle
paŋkreks	n.	(1) hook (of a spindle); (2) kneecap
paŋpo	n.	witness
paŋs	n.	meadow
papu	n.	sock
pardaŋ	n.	excitement
parget	n.	belt
pari	adj.	wide, broad
parindʑa	n.	bow-string
parka	n.	will power
paru	n.	small box
pat	n.	letter (Indo-Aryan)
paʈakna	adv.	immediately
pawla	n.	shoe
pe-	v. tr.	to pick up
peltsi	n.	milk
pera	n.	basket (carried with hands)
pes	n.	divination
petal	n.	plate (Indo-Aryan)
petɕa	n.	book
petɕuŋ	n.	father's sister's husband
petse	n.	twins
piː	num.	four
pil-	v. tr.	to sieve, to sift
piltsi	n.	sift
pimik	n.	hip, hip joint
pin-	v. tr.	to fill, to load, to stuff
pipili	n.	chilly (Indo-Aryan)
piri	n.	border of a field
pispis	n.	engorgement
pistok	n.	barter among relatives
pitaŋ	n.	door
piti	n.	Spiti
pitikat	n.	Tibetan variety of Spiti
pitsi	n.	rope (thin)
pjak-	v. tr.	(1) to hide (tr.); (2) to bury
pjar-	v. tr.	to attach, to fix, to glue
pjar-	v.	to winnow
pjatsi	n.	bird
pjoŋpjoŋtsi	n.	uvula
pju-	v. tr.	to see off, to drop (a person)
pju-	v. mid.	to see off, to drop (a person)
pjutsi	n.	mouse, rat
po-	v. tr.	to soak
polɖo	n.	ball
pon	n.	artist, painter
porotsi	n.	heap of grain in fields
portsi	n.	navel
pos	n.	incense
pra-	v. tr.	to say goodbye, to bid farewell
pra tɕek-	v. mid.	to be surprised
prak-	v. tr.	to cut, to divide
prakpʰuk	n.	cave
prantsi	n.	small twigs
praŋ-	v. tr.	to stretch out
praps	n.	worm living on the sheep of wool
prek-	v. tr.	to shovel snow
prektsi	n.	broom
preŋpreŋtsi	n.	spine
prim-	v. tr.	to swab (tr.)
prims-	v. mid.	to swab (refl.)
prin	n.	glue
pro	n.	anger
proks	n.	kick
pu	n.	(1) body hair; (2) fur
pu	n.	chaff
puɕa	n.	head
pujdak	adj.	beautiful (of objects), of good quality
puk	n.	roasted barley
puk-	v. tr.	to rub in (soap) (tr.)
puk-	v. tr.	to rub in (soap) (refl.)
pul-	v. tr.	to pull out, to tear out
pula	n.	traditional shoe made of grass
pumpa	n.	shoulder
punasla	n.	4rd month of the traditional calendar
puŋt-	v. intr.	to grow
pur-	v. tr.	to kill
pur	n.	hon. dead body
puri	n.	pipe of stove
purkjum	n.	soot on stove
pus	n.	knee
put	n.	teat
putuŋ	n.	penis
puʈukna	adv.	immediately
pʰa-	v. tr.	to spray, to scatter
pʰaɕu	n.	vagina
pʰak-	v. tr.	to fuck
pʰakpʰjas	n.	secret
pʰala	n.	ploughshare
pʰalaŋpjatsi	n.	bat
pʰam-	v. tr.	to defeat
pʰan-	v. intr.	to sew
pʰans	n.	seam
pʰan-	v. intr.	to be beneficial, to be effective
pʰandilbaʈi	n.	kind of pot
pʰanɖu	n.	arrowhead
pʰantɕipa	n.	tailor
pʰantʰoks	n.	benefit
pʰaŋpʰaŋ	adj.	light (of hollow things)
pʰaŋs	n.	sorrow
pʰaŋs-	v.	be sorry, be miser
pʰap-	v.	take down
pʰardut	n.	knot
pʰasna	adv.	suddenly
pʰasta	adv.	by chance
pʰat	n.	bag
pʰat-	v. tr.	to undo, to free from a chain
pʰatilbaʈi	n.	pot
pʰel-	v. tr.	to increase, to multiply
pʰen-	v. tr.	to pour out, to empty, to spill
pʰet	n.	half
pʰet-	v. tr.	to make a path in the snow
pʰetarak	n.	(1) forehead; (2) luck
pʰetse ama	n.	aunt (mother's 2nd youngest sister)
pʰetse awa	n.	uncle (father's 2nd youngest brother)
pʰetsetsi	adj.	young (babies and small children)
pʰetʈel	adj.	half-done, half-finished
pʰi	n.	outside, surface
pʰiː	adv.	late
pʰik-	v. tr.	to fuck
pʰilak	adv.	outside
pʰimpa	n.	felt
pʰinaŋ	adv.	inside and outside
pʰirek	adv.	abroad, outside
pʰiro	n.	night
pʰisa	n.	feces
pʰitok	n.	evening
pʰitokdʑuŋ	n.	late evening
pʰja-	v. intr.	to speak
pʰjas	n.	talk
pʰja	n.	marmot
pʰjar-	v. tr.	to raise, to lift up
pʰjormo	adj.	pretty
pʰjorpo	adj.	handsome
pʰju	n.	fart
pʰjukpo	adj.	rich
pʰoj	adj.	moist
pʰok-	v. intr.	to be hurt
pʰokara	n.	donkey (male)
pʰokʰju	n.	dog (male)
pʰon-	v. tr.	to twist, to take out
pʰot	n.	dried stuff
pʰot-	v. tr.	to dress (with a shirt) (tr.)
pʰot-	v. mid.	to dress (with a shirt) (refl.)
pʰots	n.	clothes
pʰotɕomo	n.	hermaphrodite
pʰotsi	n.	idol made of flour
pʰra	n.	rosary
pʰrak-	v. tr.	to dismantle partially
pʰral-	v. tr.	to separate
pʰran-	v. tr.	to turn over
pʰrek-	v. tr.	to cause to slide down in small portions (of hay, earth, etc.)
pʰremalik	n.	butterfly
pʰreŋna	adj.	standing in a row
pʰreŋpʰreŋ	adj.	lying in a row
pʰrettok	adv.	horizontal
pʰri-	v. tr.	to take away, to diminish
pʰrin	n.	message
pʰrips	n.	sneezing
pʰu	n.	puff of air
pʰu-	v. tr.	to push
pʰu	n.	big pot used for the distillation of liquor
pʰu lot-	v. tr.	to blow (out)
pʰuk	n.	cave, hole in surfaces
pʰuk	adj.	narrow
pʰul-	v. tr.	hon. to present, to offer
pʰulgobi	n.	cauliflower (Indo-Aryan)
pʰuli	n.	nose piercing
pʰundʑi	adj.	hot (burning)
pʰunʈi	n.	water (hot)
pʰuŋ	n.	bundle of wool (not rolled up)
pʰuŋpo	n.	hon. dead body
pʰup	n.	shield
pʰur-	v. tr.	to shake
pʰurpa	n.	dagger for ceremonies
pʰus	n.	stroke, blow
pʰut-	v. intr.	to be frostbitten
pʰwa	n.	stomach
ba	n.	wall
baɕi	n.	mixed breed of cow and yak
bajaks	adv.	in three days
bak	n.	mask
bakɕatsi	n.	deep-fried bread
baklok	n.	party held one year after the wedding ceremony and organized by the bride's family
bakma	n.	bride
baksken	n.	first night of the bridal couple
bakston	n.	wedding
bakta	n.	period, time (Indo-Aryan)
baktʰuk	n.	glue
bakʈʰitpa	n.	best man
bala	n.	rose
balbo	n.	Nepal
balpa	n.	frog
baltɕoŋ	n.	lizard
balʈi	n.	bucket (Indo-Aryan)
bamt-	v. mid.	to become insane
ban-	v. tr.	to construct
banɖe	n.	cow that does not give milk (because of pregnancy or sickness)
banʈʰa	n.	share of heritage
baŋ	n.	foot
baŋbotsi	n.	toe
baŋga	n.	marihuana
baŋgjap	n.	dorsum of the foot
baŋtʰil	n.	sole
bap-	v. intr.	to be forced to do
baps-	v. intr.	to come down
baps-	v. mid.	to come down
baptsa	n.	socks (short)
bar-	v. intr.	(1) to bloom; (2) to flame (up)
bar	adv.	often, sometimes
barawa	n.	uncle (father's middle brother)
barbarguŋ	adv.	often, sometimes
bardo	n.	trouble, hardship
barlak	n.	gap
barlakkuŋ	adv.	sometimes
bart-	v. mid.	to come undone
bartsa	n.	spear
bat	n.	bark
batak	n.	root
batsi	n.	(1) skin; (2) leather
baʈi	n.	pot
baʈo	n.	goat (male)
bawa	n.	goiter
be	n.	rock
bema	n.	sand
bent-	v. intr.	to be spilled
bent-	v. mid.	to be spilled
beŋbeŋ	adj.	unconscious
beŋna	adj.	unconscious
berbu	n.	trousers
berka	n.	stick, threshing flail
berkjak	n.	excrements of birds
bertsot	n.	naughty child, rascal
bes	n.	mutual help
bes-	v. mid.	to help one another
bet	n.	brother (younger)
bet-	v. tr.	to add
bete	n.	child, baby
beʈa	n.	Mon, traditional musicians and petty-traders travelling in around in North India
bidʑil	n.	electricity (Indo-Aryan)
bik	adj.	full
bila	n.	cat (Indo-Aryan)
biŋ-	v. intr.	to become full
biŋ	n.	years (of age)
bitsi	n.	thread
bjaj	adj.	thin (of flat things), light (of alcohol)
bjak-	v. intr.	to hide oneself
bjanmo	n.	wife
bjantɕa	n.	piece of wood used in the distillation of arak
bjart-	v. mid.	to be attached to, to stick to
bjoŋbjoŋ	adj.	dangling
bjoŋna	adj.	dangling
bohik	n.	Tibetan script
boj	adj.	thick (of long things), fat
bok	n.	undulating part of a path
bokbok	adj.	undulating (long distance)
bokna	adj.	undulating (short distance)
bolɲotsi	n.	excrements of goats and sheep
bolok	n.	cow dung
bont-	v. mid.	to become twisted
bont-	v. mid.	to start going
bor	n.	shrub
bora	n.	bag
bortsa	n.	shrub
boskat	n.	Tibetan language
bospa	adj.	vain
bot	n.	Tibet
boti	n.	whey
botkjuŋ	n.	Tibet
botsi	n.	finger
botsibi	n.	index finger's breadth (traditional length measure)
boʈul	n.	kind of pot
boʈʰak	n.	index finger's breadth (traditional length measure)
brak	n.	(1) rock; (2) wall
brak-	v. tr.	to arrange, to tie up
brakna	adj.	shining (sun)
braktɕʰal	n.	echo
bralt-	v. mid.	to break off and fall down
brant-	v. mid.	to fall
braŋbraŋ	adj.	full, satisfied
braŋɕikpa	n.	tick-like insect
braŋsa	n.	apartment, dwelling place
braŋsi	n.	honey
braŋsibujaŋ	n.	honey bee
braŋsibupa	n.	bee-keeper
braŋsitsʰaŋ	n.	bee hive
bras	n.	rice
bras-	v. mid.	to disperse, to separate
braw	n.	buckwheat
brawmjosla	n.	7th month of the traditional calendar
brekt-	v. mid.	to slide, to slip
brel-	v. tr.	to join together, to intertwine
bret-	v. intr.	to slip
bril-	v. tr.	to include
brilbril	adj.	shapeless
bris-	v. tr.	to write
bro-	v. tr.	to mix
bro-	v. mid.	to interact
broks-	v. intr.	to rise (of water level)
bromolalatsi	n.	rainbow
broŋ-	v.	make fun of
broŋs-	v. intr.	to prance, to romp
broŋs-	v. mid.	to banter, to tease one another
bru-	v. tr.	to rub, to clean
bruk	n.	dragon
bruk-	v. intr.	to overflow, to boil over
brut-	v. intr.	to wipe off
bu	n.	insect
bu juk-	v. mid.	to become foggy
bubu	n.	owl
bujaŋ	n.	fly
bul	n.	log, firewood (big pieces)
bulon	n.	loan, debts
bulʈʰuk	n.	stripes of dough put into soup
bumpa	n.	cup for religious offerings
bumskʰor	n.	annual ceremony in Keylong for a good harvest
buŋ	n.	ankle
buŋs-	v. intr.	to inflate due to chilblain
bup-	v. intr.	to stumble
bur	n.	ear of grain
buras	n.	silk
but-	v. tr.	to put, to place, to leave
butsa	n.	boy, son
buʈa	n.	tree
bwa	n.	bubble
ma	n.	boil, ulcer
mabap	n.	bad talk
mak	n.	fog
makpa	n.	bridegroom, son-in-law
makʰa	n.	wound (healing)
mal	n.	place
malams	n.	laziness
mama	n.	breast (female)
mamo	n.	sheep (female)
mamoj	adj.	wild growing
man	n.	medicine
mane	n.	stone carved with mantras
maneduŋgjur	n.	payer mill (big)
manelakkʰor	n.	prayer mill (small)
mankʰaŋ	n.	hospital
manpʰot	n.	spices
mantɕi	n.	medical plants
maŋbala	n.	wild rose (red)
maŋbuj	adj.	dark red
maŋdu	n.	red sky at morning, afterglow
maŋi	adj.	red
maŋs	n.	dream
mapdʑa	n.	peacock
mar	n.	butter
maraj	adj.	bad
marap	adj.	bad
marbotsi	n.	index finger
marɕik	adj.	different
mardej	adj.	ugly
mardʑwa	n.	tsampa dish made from tsampa, butter and tea
marektsi	n.	tick-like insect
masa	n.	bed
mat	n.	lower valley
mataj	adj.	poor
matʰem	n.	threshold
me	n.	fire
meɕiŋ	n.	firewood
melaps	n.	flame
melok	n.	Pattan Valley
melokkat	n.	Pattani language
melokpa	n.	person from Pattan Valley
meluŋ	n.	hearth
meme	n.	monk
mentok	n.	flower
mentsi	n.	lump of dough
mert-	v. intr.	to become bright
metɕi	adv.	lower (in a seating arrangement), a little downwards
metɕuŋ	n.	mother's brother's wife
metsaksa	n.	vessel for hot ash
mewa	n.	mole, birthmark
mi-	v. mid.	to think about, to reflect
mijul	n.	earth
mik	n.	eye
mik-	v. tr.	to count
mik tsʰaps-	v. mid.	to wink (eyes)
mikbur	n.	painful infection of the eye
mikkʰa	n.	evil eye
mikpa	n.	horseshoe
mikpʰokj	n.	evil eye
mikra	n.	glasses
mikrutsʰam	n.	eyebrow
miks	n.	story
mikspu	n.	eyelash
mikti	n.	tear
miktsi	n.	(1) eye of a needle; (2) eye of a millstone
min	n.	name
mint-	v. intr.	to ripen
mintɕan	n.	famous
miŋgjaks	adv.	in two days
mir	n.	milk skin
mirkja	n.	lay-man
mitsʰe	n.	life
mjaj	adj.	low
mjaŋ-	v. tr.	to taste
mjo-	v. intr.	to plough
mjonba	n.	shaman, medium
mjoŋ	adv.	downstairs
mjosla	n.	6th month of the traditional calendar
mjuŋ	n.	brother
mo-	v. tr.	to roast
munɕi	n.	teacher (Indo-Aryan)
mok-	v. tr.	to cut hair (tr.)
mok-	v. mid.	to cut hair (refl.)
mokali	n.	turnip
mokara	n.	donkey (female)
mokɕa	n.	mushroom
moktsi	n.	boil
mokʈa	n.	bowl used to make momok
mokʰju	n.	bitch
molam	n.	prayer
momok	n.	dumplings
moms	n.	satisfaction
moms-	v. intr.	to become full, to become satiated (from drinking)
mot	n.	face
moʈor	n.	car, truck (English)
mu	n.	snow
mudarsa	n.	school
mudjwak	adv.	three days ago
mudwaŋ	adv.	three years ago
muk	n.	desire
mukpa	n.	fog
mukpoj	adj.	dark blue, brown
mul	n.	silver
muli	adj.	dark in color, greyish
mulmul	adj.	lukewarm (liquids)
mulna	adj.	lukewarm (liquids)
munɖak	n.	darkness
munɲa	n.	in dark night
munpʰet	n.	midnight
munt-	v. intr.	to get unconscious
muntsi	n.	field (small)
mur murs-	v. mid.	to grumble
murt-	v. intr.	to snore
musulɖu	n.	big pestle (used to separate grain and husk)
mutik	n.	flea
mutik	n.	pearl
mutsʰa	n.	moustache
tsak-	v. tr.	to put inside
tsakatsoke	adj.	in small pieces
tsalatsele	adj.	fuzzy
tsani	adj.	(1) pointed; (2) burning hot
tsanisla	n.	3rd month of the traditional calendar
tsap-	v. tr.	to cut into pieces, to work on wood (of a carpenter)
tsaps	n.	yeast
tsaptsap	adv.	sometimes
tsar-	v. tr.	to lay down, to lay out
tsarkʰa	n.	spinning wheel
tseɕu	n.	religious festival, “Devil Dance”
tseltsel	adj.	round
tsemet	n.	girl
tsikŋan	n.	swearing
tsimʈa	n.	tongs
tsir-	v. tr.	to squeeze out
tsirtsir	n.	drizzle
tsitsi	n.	child
tsok-	v. tr.	to pick, to carve
tsokbotsi	n.	index finger
tsokna	adj.	cross-legged
tsokse	adj.	alike, similar (for animates)
tsokskjoj	n.	span from the thumb to the index finger (traditional length measure)
tsoms	n.	courtyard
tsoŋ	n.	onion
tsoŋna	adj.	upright
tsoŋtsoŋ	adj.	upright
tsopna	adj.	slight
tsuk-	v. tr.	to begin, to plant, to educate
tsuk-	v. tr.	to dress (with trouses) (tr.)
tsuk-	v. mid.	to dress (with trouses) (refl.)
tsukna	adv.	straight, directly
tsukskisla	n.	1st month of the traditional calendar
tsukʈʰuk	n.	sitting carpet (thin)
tsum-	v. tr.	(1) to seize, to hold, to catch; (2) to chase
tsums	n.	handle
tsuna	quant.	few, little (solid objects)
tswar-	v. tr.	to strew, to scatter
tsʰa	n.	salt
tsʰak	n.	sieve
tsʰak-	v. tr.	to filter
tsʰakj	adj.	useless
tsʰaks	n.	trouble
tsʰaks el-	v. intr.	to be disarticulated, to be dislocated
tsʰal-	v. tr.	to split, to saw
tsʰale	n.	glaze
tsʰam	n.	(1) fur of goats and sheep; (2) wool
tsʰamik	n.	chilly
tsʰamo	n.	sister-in-law
tsʰams	n.	retreat
tsʰan	n.	resin
tsʰaŋ-	v. tr.	to throw away, to drop
tsʰaŋ	n.	nest, burrow, den, cobweb
tsʰaŋi	adj.	all
tsʰaps	n.	aim, goal
tsʰaps	n.	substitute
tsʰas	n.	garden
tsʰaskaŋ	n.	flower bed
tsʰat	n.	fever
tsʰat	n.	limit
tsʰatpa	n.	heat
tsʰattsʰattok	adv.	from time to time
tsʰaw	n.	brother-in-law, nephew
tsʰe	n.	life
tsʰek	adj.	filthy, dirty
tsʰengjaks	adv.	in five days
tsʰepa	n.	calendar's day
tsʰer	n.	sadness
tsʰer-	v. intr.	to be sad
tsʰeril	n.	tsampa pills
tsʰikpa	n.	anger
tsʰikspa	n.	joint
tsʰims-	v. intr.	to become full, to become satiated (from eating)
tsʰir	n.	turn
tsʰo	n.	lake, sea
tsʰok	n.	accumulation (of merit)
tsʰoks	n.	ritual performed by a whole village
tsʰoks	n.	consecrated food
tsʰol-	v. tr.	to search, to look for
tsʰoma	n.	vegetables
tsʰon	n.	color
tsʰor-	v. tr.	to feel
tsʰos	n.	fat (solid)
tsʰu	n.	handle
tsʰuks-	v. intr.	to settle down
tsʰuks-	v. mid.	to settle down
tsʰwa-	v. tr.	to share, to distribute
tsʰwak	n.	thorn
tsʰwakbur	n.	thornbush
tsʰwaktumtsi	n.	seabuckthorn
tsʰwar-	v. tr.	to scatter
dza-	v. intr.	to eat
dzakdzak	n.	backache
dzaktsi	n.	coiling
dzakʰaŋ	n.	storeroom for food
dzambuliŋ	n.	universe
dzamenliksa	n.	kitchen
dzampa	n.	bridge
dzanare	quant.	very many, very much
dzaŋdzaŋ	n.	insincere refusal
dzaŋi	adj.	(1) sharp; (2) holy
dzaŋpo	adj.	clear, good
dzaŋs-	v. intr.	to get dark
dzaŋsma	n.	copper
dzaŋstar	n.	tripod (made of iron)
dzaradzore	n.	stumps (of cut off branches), tree trunk
