Chinese gloss	English gloss	Language	Word	Source	Page no.
布	cloth	Longjia	po³³	Guizhou (1984)	
席	mat	Longjia	ʑa⁵⁵tsɿ³³	Guizhou (1984)	
席子	mat	Caijia	tsho⁵⁵tsa²⁴	Bo (2004)	79
席子	mat	Longjia	ʑa⁵⁵tsɿ³³	Guizhou (1984)	
帽	hat	Caijia (Shuicheng)	谋豆 moudou	Liupanshui Gazetteer (2003)	184
干净	clean	Longjia	kei³³tɕaŋ⁵⁵	Guizhou (1984)	
干枯	dried, shriveled	Caijia	ɣuŋ³¹	Bo (2004)	79
平	flat, even	Longjia	pu⁵⁵	Guizhou (1984)	
年	year	Caijia	nen³¹	Bo (2004)	77
年	year	Waxianghua (Guzhang)	lai⁵⁵	Wu & Shen (2010)	
年	year	Waxianghua (Yuanling)	lɛ⁵⁵	Yang (1999)	
年	year	Longjia	ȵe⁵⁵	Guizhou (1984)	
庄稼	crops (on farm)	Longjia (Dafang)	tsuaŋ³³tɕa³³	Guizhou (1982)	28
床	bed	Caijia	tha⁵⁵	Bo (2004)	79
床	bed	Longjia	ntaŋ⁵⁵	Guizhou (1984)	
弟弟	brother, younger	Caijia	he³³	Bo (2004)	79
张		Longjia (Anshun)	kha⁴²	Caiguan Gazetteer (2004)	494
强盗	robber	Longjia	nta⁵⁵ȵi²¹	Guizhou (1984)	
录	to record	Longjia	suŋ⁵⁵kɛ⁵⁵	Guizhou (1984)	
很	very	Longjia	tɕe³³	Guizhou (1984)	
得到	to get, obtain	Caijia	tu³³	Bo (2004)	80
心	heart	Caijia	san³³	Bo (2004)	78
心	heart	Luren	li¹¹	Guizhou Ethnic Gazetteer (2002)	888
心	heart	Longjia	ɕuŋ³³	Guizhou (1984)	
忘了	to have forgotten	Waxianghua (Guzhang)	ɤ⁴¹mɤŋ³³iɛ⁴¹	Wu & Shen (2010)	
快	fast	Caijia	tɕuo³³	Bo (2004)	81
怎么	how	Waxianghua (Guzhang)	mi⁴¹tɕi¹³	Wu & Shen (2010)	
怕	to fear	Caijia	tshɿ³³	Bo (2004)	80
怕	to fear	Waxianghua (Guzhang)	tɕhyɛ⁴¹	Wu & Shen (2010)	
怕	to fear	Longjia	ɣei⁵⁵	Guizhou (1984)	
想	to think	Caijia	dɯ³¹	Bo (2004)	80
想	to think	Longjia	li⁵⁵	Guizhou (1984)	
慢	slow	Caijia	li²⁴	Bo (2004)	81
懂	understand	Caijia	tiu³³	Bo (2004)	80
懂了	to have known	Waxianghua (Guzhang)	mi⁵⁵tɤ tau³³	Wu & Shen (2010)	
懒	lazy	Caijia	tsuŋ³¹	Bo (2004)	81
成长	to grow	Caijia	tu³³	Bo (2004)	79
我	1s., I	Caijia	ŋuo³³	Bo (2004)	81
我	1s., I	Waxianghua (Guzhang)	u²⁵	Wu & Shen (2010)	
我	1s., I	Longjia	ŋu²¹	Guizhou (1984)	
我	1s., I	Longjia	ʑa⁵⁵	Guizhou (1984)	
我们	1p., we	Waxianghua (Guzhang)	ɑ¹³	Wu & Shen (2010)	
戴	to wear (a hat)	Caijia	tɯ³³	Bo (2004)	80
戴	to wear (a hat)	Longjia	tau⁵⁵	Guizhou (1984)	
房	house	Caijia (Shuicheng)	窝 wo	Liupanshui Gazetteer (2003)	184
房	house	Longjia	au³³	Guizhou (1984)	
房子	house	Caijia	o⁵⁵	Bo (2004)	79
房子	house	Luren	sɿ³³	Guizhou Ethnic Gazetteer (2002)	888
房子	house	Longjia	au³³	Guizhou (1984)	
房间	room	Longjia	faŋ³³tɕhue³³	Guizhou (1984)	
手	hand	Caijia	suo⁵⁵	Bo (2004)	78
手	hand	Caijia (Shuicheng)	书 shu	Liupanshui Gazetteer (2003)	184
扑（老虎朴食）	catch (tiger catch food)	Caijia	do³¹	Bo (2004)	79
打	to hit	Caijia	na³¹	Bo (2004)	80
打	to hit	Longjia (Anshun)	ŋe³¹	Caiguan Gazetteer (2004)	495
打	to hit	Longjia (Anshun)	ne⁴²	Caiguan Gazetteer (2004)	495
打	to hit	Longjia (Dafang)	ŋɛ³³	Guizhou (1982)	30
打	to hit	Waxianghua (Guzhang)	khuɑ²⁵	Wu & Shen (2010)	
打	to hit	Longjia	ŋz³³	Guizhou (1984)	
打	to hit	Longjia	ŋɛ³³	Guizhou (1984)	
打架	to fight	Waxianghua (Guzhang)	khuɑ²⁵tsai²⁵	Wu & Shen (2010)	
扔	throw	Caijia	pie⁵⁵	Bo (2004)	80
扔	to throw	Waxianghua (Guzhang)	vu²⁵; toŋ⁵⁵	Wu & Shen (2010)	
扫	to sweep	Longjia	sau²¹	Guizhou (1984)	
找	to search, find	Waxianghua (Guzhang)	lu²⁵	Wu & Shen (2010)	
找	to search, find	Longjia	ɕa³³	Guizhou (1984)	
把（量）		Longjia	na³³	Guizhou (1984)	
抛	to throw	Longjia	a³³ti⁵⁵	Guizhou (1984)	
抢	to rob	Caijia	ti³¹	Bo (2004)	80
抢	to rob	Longjia	na³³tau⁵⁵	Guizhou (1984)	
抬头	look up	Caijia	ta⁵⁵	Bo (2004)	80
抱	to hug; wrap up	Longjia	mpau⁵⁵	Guizhou (1984)	
抽	to take out	Longjia	tshɯ⁵⁵	Guizhou (1984)	
拉	pull	Caijia	kien⁵⁵	Bo (2004)	80
拐棍	walking stick	Longjia	mpu³³ntau³³	Guizhou (1984)	
拔	to pull up	Longjia	tshɛ²¹	Guizhou (1984)	
拖	to drag, pull	Caijia	le³¹	Bo (2004)	80
拳头	fist	Longjia	a³³la²¹tsɿ³³	Guizhou (1984)	
拴	to tie up	Longjia	kɛ⁵⁵	Guizhou (1984)	
拾	to pick up	Longjia	nku⁵⁵	Guizhou (1984)	
拿	to hold (in hand)	Caijia	ma³¹, a³³	Bo (2004)	80
拿	to hold (in hand)	Waxianghua (Guzhang)	to⁵⁵	Wu & Shen (2010)	
拿	to hold (in hand)	Longjia	a⁵⁵	Guizhou (1984)	
挑选	to choose, select	Caijia	lɯ³¹	Bo (2004)	80
挖	to dig	Caijia	li⁵⁵, mei⁵⁵	Bo (2004)	80
挖	to dig	Longjia	ʈu⁵⁵	Guizhou (1984)	
挖地	to dig earth	Caijia (Shuicheng)	敏束 minshu	Liupanshui Gazetteer (2003)	184
捉	catch	Caijia	ka⁵⁵	Bo (2004)	80
换	to exchange	Caijia	lɯ³¹	Bo (2004)	80
换	to exchange	Longjia (Dafang)	tso⁵⁵	Guizhou (1982)	30
换	to exchange	Longjia	ɬuŋ³³	Guizhou (1984)	
掀起	set off	Caijia	ba³¹	Bo (2004)	80
掉	to drop, fall	Longjia (Dafang)	a³³ti⁵⁵	Guizhou (1982)	29
掉	to fall	Caijia	ɣa³³	Bo (2004)	79
接生	birth	Caijia	dzan³³	Bo (2004)	80
推	push	Caijia	lu³¹	Bo (2004)	80
推（车）	to push (a cart)	Waxianghua (Guzhang)	ɕyɛ³³	Wu & Shen (2010)	
揉	to rub, massage	Longjia	zu⁵⁵	Guizhou (1984)	
提	to lift	Longjia	ta³³	Guizhou (1984)	
提	to lift	Longjia	ʑi³³	Guizhou (1984)	
搬	to move (objects)	Caijia	ta³³	Bo (2004)	80
搬迁	to move, relocate	Longjia (Dafang)	pan⁵⁵	Guizhou (1982)	29
摔丢	to throw on ground	Longjia	tsei⁵⁵	Guizhou (1984)	
摘	to pick, harvest	Longjia	ha⁵⁵	Guizhou (1984)	
摘（摘果子）	to pick, harvest (fruit)	Caijia	li³¹	Bo (2004)	80
撮箕	dustpan	Longjia	lu⁵⁵kho⁵⁵	Guizhou (1984)	
收	to collect	Longjia	tɯ²¹	Guizhou (1984)	
收拾	to collect	Caijia	dzan³³	Bo (2004)	80
放	to put, place	Longjia	paŋ⁵⁵	Guizhou (1984)	
放（放开）	to release	Caijia	pu³³	Bo (2004)	80
放置	to put	Longjia	khua⁵⁵	Guizhou (1984)	
教	to teach	Caijia	ko³³	Bo (2004)	80
斗	to fight	Longjia	tɯ³³	Guizhou (1984)	
斧	axe	Longjia	pau²¹	Guizhou (1984)	
斧子	axe	Caijia	pəu⁵⁵	Bo (2004)	79
斧子	axe	Longjia	pau²¹	Guizhou (1984)	
断	to break	Caijia	kui⁵⁵	Bo (2004)	79
断	to break	Longjia	nkui⁵⁵	Guizhou (1984)	
断（线）	to break (of string)	Longjia (Dafang)	nkui⁵⁵	Guizhou (1982)	26
断（绳子）	to break (of rope)	Longjia	nkui³³	Guizhou (1984)	
新	new	Caijia	ɕin³³	Bo (2004)	81
新	new	Longjia	ɕi⁵⁵	Guizhou (1984)	
旁边	side	Caijia	ba³³min³¹	Bo (2004)	77
旋转	to swirl, rotate	Longjia	nkuɛ³³	Guizhou (1984)	
日	day	Caijia	koŋ⁵⁵	Bo (2004)	77
旧	old (of object)	Caijia	ku³³	Bo (2004)	81
早	early	Caijia	tɕin³¹	Bo (2004)	81
早	early	Longjia	ʑi⁵⁵	Guizhou (1984)	
早饭	breakfast	Caijia	tsha³³	Bo (2004)	79
早饭	breakfast	Longjia (Dafang)	lu²¹ku⁵⁵	Guizhou (1982)	28
旱地	dry soil	Caijia	le³¹	Bo (2004)	77
明年	next year	Longjia	sɛ⁵⁵vu²¹ȵe⁵⁵	Guizhou (1984)	
星星	star	Caijia	ɕi⁵⁵su³¹	Bo (2004)	77
星星	star	Waxianghua (Guzhang)	ɕi⁵⁵	Wu & Shen (2010)	
星星	star	Waxianghua (Yuanling)	sẽ⁵⁵	Yang (1999)	
是	to be (copula)	Caijia	so³³	Bo (2004)	79
晒	to dry (in sun)	Caijia	ka⁵⁵	Bo (2004)	79
晒	to dry (in sun)	Longjia	kha⁵⁵	Guizhou (1984)	
晚	night	Caijia	na³¹	Bo (2004)	81
晚饭	dinner	Caijia	pu³³	Bo (2004)	79
晚饭	dinner	Luren	po³³	Guizhou (1984)	50
晚饭	dinner	Longjia (Dafang)	po⁵⁵	Guizhou (1982)	23
晚饭	dinner	Longjia (Dafang)	po⁵⁵	Guizhou (1982)	26
晚饭	dinner	Waxianghua (Yuanling)	kheʔ⁵³mõ⁵⁵	Yang (1999)	
晚饭	dinner	Longjia	po⁵⁵	Guizhou (1984)	
晴	clear	Caijia	da³³	Bo (2004)	81
暗	dark	Caijia	khɯ⁵⁵	Bo (2004)	81
月	month	Caijia	ŋun³³	Bo (2004)	77
月	month	Caijia (Shuicheng)	月 yue	Liupanshui Gazetteer (2003)	184
月	month	Longjia	ŋuɛ³³	Guizhou (1984)	
月亮	moon	Caijia	ko⁵⁵pei⁵⁵ja³³	Bo (2004)	77
有	to have (existential)	Caijia	ɣan³¹	Bo (2004)	79
有	to have (existential)	Longjia (Anshun)	en⁵⁵	Caiguan Gazetteer (2004)	495
有	to have (existential)	Caijia (Shuicheng)	航 hang	Liupanshui Gazetteer (2003)	184
有	to have (existential)	Longjia	ŋuŋ⁵⁵	Guizhou (1984)	
有良心的	to have a good heart	Caijia (Shuicheng)	航良人的 hangliang rende	Liupanshui Gazetteer (2003)	185
木	wood	Waxianghua (Guzhang)	ɤŋ⁴¹	Wu & Shen (2010)	
本	source, origin	Longjia	pen⁵⁵	Guizhou (1984)	
杀	to kill	Caijia	ɕi³³	Bo (2004)	80
杀	to kill	Longjia	su⁵⁵	Guizhou (1984)	
杀（杀人）	to kill (person)	Caijia	ɕi³³	Bo (2004)	80
杉树	cedar tree	Caijia	dza³³so⁵⁵	Bo (2004)	78
杏	apricot	Caijia	hen²⁴	Bo (2004)	78
条（量）	strip (classifier)	Longjia	tsei³³	Guizhou (1984)	
来	to come	Caijia	ɣɯ³¹	Bo (2004)	80
来	to come	Longjia (Anshun)	zeu³³	Caiguan Gazetteer (2004)	494
来	to come	Longjia (Dafang)	zɯ⁵⁵	Guizhou (1982)	30
来	to come	Luren	han⁵⁴	Guizhou Ethnic Gazetteer (2002)	888
来	to come	Longjia	zɯ⁵⁵	Guizhou (1984)	
杵	pestle	Caijia	tʅ³³	Bo (2004)	79
松	loose	Caijia	nu³¹	Bo (2004)	81
松树	pine tree	Caijia	tsoŋ³¹so⁵⁵	Bo (2004)	78
枋子		Longjia	faŋ⁵⁵ntsɿ³³	Guizhou (1984)	
枪	gun	Caijia (Shuicheng)	枪 qiang	Liupanshui Gazetteer (2003)	185
柱子	pillar	Longjia	nʈu⁵⁵	Guizhou (1984)	
柳树	willow tree	Caijia	zu²⁴so⁵⁵	Bo (2004)	78
柴	firewood	Caijia	so⁵⁵	Bo (2004)	79
柴	firewood	Longjia (Anshun)	ɬu³³	Caiguan Gazetteer (2004)	494
柴刀	wood-chopping axe	Longjia	nʈɛ²¹	Guizhou (1984)	
树	tree	Caijia	so⁵⁵	Bo (2004)	78
树	tree	Luren	təu³³	Guizhou (1984)	51
树	tree	Caijia (Shuicheng)	梭 suo	Liupanshui Gazetteer (2003)	184
树	tree	Longjia	nʈu⁵⁵	Guizhou (1984)	
树杈	branch (tree)	Caijia	ȵe³¹	Bo (2004)	78
核桃	walnut	Longjia	ɕi³³mie³³	Guizhou (1984)	
根	root	Caijia	tsu³³	Bo (2004)	78
根（量）	stick (classifier)	Longjia	ntau³³	Guizhou (1984)	
栽种	to harvest seeds	Longjia	phei⁵⁵	Guizhou (1984)	
桃子	peach	Longjia	a³³la⁵⁵pu³³	Guizhou (1984)	
桌子	table	Caijia	tu³¹	Bo (2004)	79
桥	bridge	Caijia	go³¹	Bo (2004)	79
桥·	bridge	Longjia	kɯ⁵⁵	Guizhou (1984)	
梨	pear	Caijia	hɯ³³tsɿ³³	Bo (2004)	78
梭	shuttle, loom	Longjia	piau⁵⁵	Guizhou (1984)	
梯子	stairs	Longjia (Dafang)	nta⁵⁵ʑu⁵⁵	Guizhou (1982)	29
梯子	stairs	Longjia	nta⁵⁵ʑu⁵⁵	Guizhou (1984)	
棕	palm tree	Longjia	se³³	Guizhou (1984)	
棵（量）	classifier for fruits	Longjia	ʈau³³	Guizhou (1984)	
棺材	coffin	Waxianghua (Guzhang)	lau²⁵tɕi⁴¹; ɤŋ⁴¹	Wu & Shen (2010)	
椑子	and gather them	Caijia	ten⁵⁵	Bo (2004)	79
楼	floor, level	Caijia	vu³³	Bo (2004)	79
楼	house (multiple stories)	Longjia (Dafang)	mpiaŋ⁵⁵	Guizhou (1982)	29
楼	house (multiple stories)	Longjia	mpiaŋ³³	Guizhou (1984)	
横	horizontal	Waxianghua (Guzhang)	du¹³	Wu & Shen (2010)	
歇	to rest	Longjia (Dafang)	sɯ⁵⁵	Guizhou (1982)	23
歌	song	Caijia	ko³³	Bo (2004)	79
歌	song	Longjia (Dafang)	khau³³	Guizhou (1982)	22
歪	bent, crooked	Longjia	kuɛ³³	Guizhou (1984)	
死	to die	Caijia	sɿ⁵⁵	Bo (2004)	80
死	to die	Longjia (Anshun)	ɕi⁴²	Caiguan Gazetteer (2004)	494
母	mother	Caijia (Shuicheng)	衣 yi	Liupanshui Gazetteer (2003)	184
母亲	mother	Caijia	ji³³	Bo (2004)	79
母亲	mother	Longjia (Dafang)	a⁵⁵ma³³	Guizhou (1982)	29
母亲	mother	Longjia	a³³ma³³	Guizhou (1984)	
比	comparative particle ('-er')	Longjia	pi⁵⁵	Guizhou (1984)	
毛	fur, feather, body hair	Longjia	ma⁵⁵	Guizhou (1984)	
毡子	felt	Caijia	dza³³	Bo (2004)	79
气	air, gas	Longjia	mpiŋ⁵⁵	Guizhou (1984)	
水	water	Caijia	sɿ⁵⁵	Bo (2004)	77
水	water	Luren	ʑi²⁴	Guizhou (1984)	51
水	water	Luren	mei²¹	Guizhou Ethnic Gazetteer (2002)	888
水	water	Longjia	ɕi²¹	Guizhou (1984)	
水	water	Longjia	ɕaŋ⁵⁵	Guizhou (1984)	
水壶	kettle	Caijia	an²⁴	Bo (2004)	79
水牛	water buffalo	Caijia	nai³¹	Bo (2004)	78
水牛	water buffalo	Longjia (Dafang)	sau⁵⁵ŋau⁵⁵	Guizhou (1982)	28
水田	paddy, wet field	Caijia	len³¹	Bo (2004)	77
汉族	Han Chinese	Caijia	lai³¹lai²⁴	Bo (2004)	79
汗	sweat	Longjia	ɣan⁵⁵	Guizhou (1984)	
池塘	pond	Caijia	da³¹	Bo (2004)	77
汤	soup, stew	Longjia	tsu³³	Guizhou (1984)	
汤（有盐）	soup, stew	Longjia	tsu³³	Guizhou (1984)	
沙子	sand	Caijia	sa³³	Bo (2004)	77
没有	do not have	Caijia (Shuicheng)	不航 buhang	Liupanshui Gazetteer (2003)	184
河	river	Waxianghua (Guzhang)	vu¹³	Wu & Shen (2010)	
河	river	Waxianghua (Yuanling)	uæ¹³	Yang (1999)	
沸腾	boiling	Caijia	biau³³	Bo (2004)	79
油	oil	Caijia	tsɿ³³	Bo (2004)	79
油	oil	Longjia (Dafang)	tsɛ⁵⁵	Guizhou (1982)	23
油	oil	Longjia	tsɛ⁵⁵	Guizhou (1984)	
泥土	mud	Waxianghua (Guzhang)	bi¹³ɳiaŋ³³	Wu & Shen (2010)	
泥土	mud	Waxianghua (Yuanling)	bi¹³ȵi⁵⁵	Yang (1999)	
泥土	mud	Longjia	tho³³	Guizhou (1984)	
洋芋	yam, potato	Longjia (Dafang)	ʑaŋ²¹ʑy⁵⁵	Guizhou (1982)	28
洋芋	yam, potato	Longjia	ʑaŋ²¹y⁵⁵pu³³	Guizhou (1984)	
洗	to wash	Caijia	ja³³	Bo (2004)	80
洗	to wash	Longjia	sɛ²¹	Guizhou (1984)	
洗（脸）	to wash (face)	Longjia (Dafang)	sɛ²¹	Guizhou (1982)	30
洞	cave	Longjia	khei⁵⁵	Guizhou (1984)	
活	alive	Longjia	ŋuŋ²¹	Guizhou (1984)	
流	to flow	Longjia (Dafang)	a³³lei⁵⁵	Guizhou (1982)	22
浅	shallow	Caijia	tɕhin⁵⁵	Bo (2004)	81
浇	to irrigate, water	Longjia	zau⁵⁵	Guizhou (1984)	
浇（水）	to irrigate, water	Caijia	lan³³	Bo (2004)	80
涎	saliva	Longjia	a³³tha³³	Guizhou (1984)	
涕	mucus	Longjia	mpɛ⁵⁵	Guizhou (1984)	
涩	astringent	Caijia	san⁵⁵	Bo (2004)	81
深	deep	Caijia	san³³	Bo (2004)	81
溃烂	to fester (of ulcer)	Longjia (Dafang)	tsha⁵⁵	Guizhou (1982)	26
溪	creek	Longjia	ke³³	Guizhou (1984)	
滑	slippery	Caijia	gui³³	Bo (2004)	81
滑	slippery	Longjia	ɬa⁵⁵	Guizhou (1984)	
滚	to roll	Caijia	lien³³	Bo (2004)	79
满	full	Longjia	ti⁵⁵	Guizhou (1984)	
漂流	to drift	Longjia	phiau²¹	Guizhou (1984)	
漏	leak	Caijia	wuo³¹	Bo (2004)	79
漏	to leak	Waxianghua (Guzhang)	za³³	Wu & Shen (2010)	
火	fire	Caijia	fai⁵⁵	Bo (2004)	77
火	fire	Caijia (Shuicheng)	费 fei	Liupanshui Gazetteer (2003)	184
火	fire	Waxianghua (Guzhang)	fɑ²⁵	Wu & Shen (2010)	
火	fire	Waxianghua (Yuanling)	fo⁵³	Yang (1999)	
火	fire	Longjia	he²¹	Guizhou (1984)	
火	fire	Longjia	hei²¹	Guizhou (1984)	
火塘	fireplace	Caijia	fai⁵⁵kha³³	Bo (2004)	79
灶	hearth, fireplace	Luren	tso²¹	Guizhou (1984)	51
灶	hearth, fireplace	Longjia	tsau⁵⁵	Guizhou (1984)	
炒	stir-fry	Longjia (Dafang)	ŋau⁵⁵	Guizhou (1982)	27
炒	stir-fry	Longjia	ŋau⁵⁵	Guizhou (1984)	
炒	to fry	Caijia	ŋo³³	Bo (2004)	80
炭	charcoal	Caijia	thu⁵⁵	Bo (2004)	77
点（火）	to light (fire)	Longjia	ȵi⁵⁵	Guizhou (1984)	
点（灯）	to light (lamp)	Caijia	ŋɯ³¹	Bo (2004)	80
点亮	to light (a fire)	Luren	ɐn⁵⁵tsau⁴⁵	Guizhou Ethnic Gazetteer (2002)	888
炼（炼铁）	refining (iron)	Caijia	bei³³	Bo (2004)	80
烂	rotten	Longjia	tsha⁵⁵	Guizhou (1984)	
烂熟	rotten, ripe	Longjia	nau⁵⁵	Guizhou (1984)	
烟	smoke	Caijia	in²⁴	Bo (2004)	77
烟	smoke	Longjia	ʑen³³	Guizhou (1984)	
烟雾	smoke	Waxianghua (Guzhang)	ləɯ⁴¹ta³³mai¹³	Wu & Shen (2010)	
烤	to burn, roast	Longjia	tsa⁵⁵	Guizhou (1984)	
烤火	to burn (of fire)	Waxianghua (Guzhang)	tso⁴¹fɑ²⁵	Wu & Shen (2010)	
烧	to burn, roast	Longjia (Anshun)	maii³³	Caiguan Gazetteer (2004)	495
烧	to burn, roast	Longjia	mpɛ³³	Guizhou (1984)	
烧火	to burn (of fire)	Longjia	tshei⁵⁵hei²¹	Guizhou (1984)	
烫	hot (of surface)	Caijia	thu³³	Bo (2004)	80
烫	hot (of surface)	Waxianghua (Guzhang)	po⁵⁵	Wu & Shen (2010)	
热	hot	Caijia	pei³¹	Bo (2004)	81
热	hot	Longjia (Dafang)	pɛ⁵⁵	Guizhou (1982)	26
焦	burnt, scorched	Waxianghua (Guzhang)	ɳi⁵⁵	Wu & Shen (2010)	
煤	coal	Longjia (Anshun)	tho⁵⁵	Caiguan Gazetteer (2004)	494
煮	to cook, boil	Caijia	tsu³³	Bo (2004)	80
煮	to cook, boil	Longjia	to⁵⁵	Guizhou (1984)	
熄（灯）	put out (light)	Caijia	mi³³	Bo (2004)	80
熊	bear	Caijia	bi³³	Bo (2004)	78
熊	bear	Luren	ʑo¹¹	Guizhou Ethnic Gazetteer (2002)	888
熊	bear	Waxianghua (Guzhang)	vɤ¹³	Wu & Shen (2010)	
熟	ripe	Caijia	dzuo³³	Bo (2004)	81
熟	ripe	Longjia	nʈo³³	Guizhou (1984)	
熬（药）	to boil (medicine)	Longjia	pɯ²¹	Guizhou (1984)	
燕子	swallow (bird)	Longjia	sen³³en³³ntsɿ³³	Guizhou (1984)	
爪子	claw	Caijia	tsau³¹	Bo (2004)	78
爬	to climb	Longjia (Anshun)	en³³	Caiguan Gazetteer (2004)	495
爬	to climb	Longjia	a³³nʈuŋ⁵⁵	Guizhou (1984)	
爬（树）	to climb (tree)	Longjia	nʈuŋ⁵⁵	Guizhou (1984)	
爱	to love	Caijia	do³¹	Bo (2004)	80
父	father	Caijia (Shuicheng)	巴 ba	Liupanshui Gazetteer (2003)	184
父	father	Longjia	a⁵⁵pa⁵⁵	Guizhou (1984)	
父亲	father	Caijia	pa⁵⁵	Bo (2004)	79
父亲	father	Luren	pa³³	Guizhou (1984)	50
父亲	father	Longjia (Anshun)	ka³³	Caiguan Gazetteer (2004)	494
父亲	father	Longjia	pa⁵⁵	Guizhou (1984)	
片	piece (flat)	Longjia	ɕe⁵⁵	Guizhou (1984)	
牙	tooth	Longjia	tshɿ²¹	Guizhou (1984)	
牙齿	tooth	Caijia	tshei⁵⁵pei⁵⁵	Bo (2004)	78
牛	cattle	Caijia (Shuicheng)	弓 gong	Liupanshui Gazetteer (2003)	184
牛	cattle	Luren	ʔɐn³³	Guizhou Ethnic Gazetteer (2002)	888
牛	cattle	Waxianghua (Guzhang)	ŋəɯ⁵⁵	Wu & Shen (2010)	
牛	cattle	Waxianghua (Yuanling)	ŋəɯ⁵⁵	Yang (1999)	
牛	cattle	Longjia	ŋau⁵⁵	Guizhou (1984)	
牲口圈	corral	Caijia	ɣo³¹	Bo (2004)	79
犁	to plow	Caijia	ɣuŋ³¹	Bo (2004)	79
犁	to plow	Caijia	di³¹	Bo (2004)	80
犁	to plow	Caijia (Shuicheng)	犁 li	Liupanshui Gazetteer (2003)	184
犁	to plow	Longjia	ɣuŋ³³	Guizhou (1984)	
犁头	plow	Longjia	ɣuŋ³³	Guizhou (1984)	
犁牛	to plow (using cattle)	Longjia (Anshun)	ta⁴²sɿ⁴²nau³¹	Caiguan Gazetteer (2004)	496
犁田	to plow (field)	Longjia (Dafang)	lɛ⁵⁵	Guizhou (1982)	30
狗	dog	Caijia	khui⁵⁵	Bo (2004)	78
狗	dog	Luren	khɛ²¹	Guizhou (1984)	51
狗	dog	Caijia (Shuicheng)	鬼 gui	Liupanshui Gazetteer (2003)	184
狗	dog	Longjia (Dafang)	khuɛ⁵⁵	Guizhou (1982)	26
狗	dog	Waxianghua (Guzhang)	khuai²⁵	Wu & Shen (2010)	
狗	dog	Waxianghua (Yuanling)	khuæ⁵³	Yang (1999)	
狗	dog	Longjia	khuɛ³³	Guizhou (1984)	
狼	wolf	Caijia (Shuicheng)	羊播 yangbo	Liupanshui Gazetteer (2003)	184
猪	pig	Caijia	li³¹	Bo (2004)	78
猪	pig	Luren	li²¹	Guizhou (1984)	50
猪	pig	Caijia (Shuicheng)	立 li	Liupanshui Gazetteer (2003)	184
猪	pig	Longjia (Dafang)	lɛ⁵⁵	Guizhou (1982)	26
猪	pig	Luren	li⁴⁵	Guizhou Ethnic Gazetteer (2002)	888
猪	pig	Waxianghua (Guzhang)	tiəɯ⁵⁵	Wu & Shen (2010)	
猪	pig	Waxianghua (Yuanling)	tiəɯ⁵⁵	Yang (1999)	
猪	pig	Longjia	lɛ⁵⁵	Guizhou (1984)	
猫	cat	Caijia	mi²⁴	Bo (2004)	78
猴子	monkey	Caijia	ku²⁴	Bo (2004)	78
猴子	monkey	Waxianghua (Guzhang)	vu¹³suai³³	Wu & Shen (2010)	
玉米	corn	Caijia	khen²⁴pa³³mi³³	Bo (2004)	78
玩耍	to play, fool around	Longjia	tsa⁵⁵lau²¹kau⁵⁵	Guizhou (1984)	
现在	now, currently	Longjia	tsɿ³³tsa⁵⁵	Guizhou (1984)	
瓜	melon	Caijia	luo³¹	Bo (2004)	78
瓜	melon	Longjia (Dafang)	kuɛ⁵⁵	Guizhou (1982)	28
瓜	melon	Longjia	kuɛ⁵⁵	Guizhou (1984)	
瓢	ladle, dipper	Longjia	pia⁵⁵ka³³	Guizhou (1984)	
瓦	tile	Caijia	ŋa³³	Bo (2004)	79
瓶子	bottle	Caijia	tɕin³¹	Bo (2004)	79
甑子	large pot, cauldron	Longjia	ŋuɛ⁵⁵	Guizhou (1984)	
甜	sweet	Caijia	tɕan³¹	Bo (2004)	81
甜味	sweet flavor	Longjia	na²⁴tuŋ⁵⁵	Guizhou (1984)	
生气	angry	Caijia	noŋ³³	Bo (2004)	80
生疮	to grow a boil	Longjia	suŋ⁵⁵than³³	Guizhou (1984)	
生的	raw	Caijia	xa³³	Bo (2004)	81
用	to use	Caijia	di³¹	Bo (2004)	80
用	to use	Longjia (Dafang)	tɕi⁵⁵	Guizhou (1982)	26
田	field	Luren	li⁵⁵	Guizhou (1984)	50
田	field	Waxianghua (Guzhang)	lai¹³	Wu & Shen (2010)	
田	field	Waxianghua (Yuanling)	lɛ¹³	Yang (1999)	
田	field	Longjia	li⁵⁵	Guizhou (1984)	
男	male	Caijia (Shuicheng)	男 nan	Liupanshui Gazetteer (2003)	184
留	to remain	Waxianghua (Guzhang)	tɕiəɯ³³	Wu & Shen (2010)	
疯	crazy, insane	Longjia	vu³³	Guizhou (1984)	
疼	pain	Caijia	suŋ³¹	Bo (2004)	80
疼病	pain, illness	Waxianghua (Guzhang)	sau³³	Wu & Shen (2010)	
病	disease	Caijia	suŋ³¹	Bo (2004)	79
病	sick, ill	Longjia (Dafang)	suŋ⁵⁵	Guizhou (1982)	22
病	sick, ill	Longjia	suŋ⁵⁵	Guizhou (1984)	
痒	itch	Caijia	zu³³	Bo (2004)	81
痛	pain	Caijia	soŋ³³	Bo (2004)	81
瘦	thin	Caijia	tsɿ³³	Bo (2004)	81
瘦	thin (of person)	Waxianghua (Guzhang)	ua⁵⁵	Wu & Shen (2010)	
白	white	Caijia	bia³³	Bo (2004)	80
白	white	Caijia (Shuicheng)	白 bai	Liupanshui Gazetteer (2003)	184
白	white	Longjia	mpe³³	Guizhou (1984)	
