No.	Gloss	Monpa (Tawang Monastery)	Monpa (Zimithang)	Monpa (Changprong)	Monpa (Kalaktang)	Monpa (Balemu)	Monpa (Tomko)	Monpa (Namsu)	Monpa (Tembang)	Monpa (Dirang Dum)	Monpa (Sangti)	Monpa (Dirang)
196	to forget	ŋatu	ŋatu	ŋatgegosu	ŋatʃham	ŋat̪ka	ŋatpan	grandʒamekhen	graŋgimekhen	ŋataɲdʒi	ŋat̪akan	ŋatla
197	to sleep	ŋejo	ɲema	ŋeigosu	iptʃham	ipka	ipan	iho; ipkhen	ipkhen	ʔiwo	ʔiwo	ʔipʃu
198	to dream	mibrin	mibrin	milbintoŋgosu	muŋʃi	moŋʃit̪hoŋla	moŋtʃot̪oŋla	moŋʃu	moŋʃuthoŋkhen	moŋtʃot̪oŋla	moŋʃo	moŋʃo
199	to do/make	jagu	jad̪u	jakgosu	ăntʃam; tʃotʃam	alo	–	alo	akhen	–	ʔalo	ʔanzu
200	to work	leka	jad̪u	leikojak gosu	lekaăntʃham	lekaalo	ɲakalaŋ	lekaalo	leikaakhen	ălo	lekaʔalo	lekaʔanzu
201	to play	ʃano	tʃand̪ini	ʃijangosu	ɲepăntʃham	ɲipla	ɲepan	ɲexo	ɲepakhen	ŋjewo	ŋjewo	ɲepʃu
202	to dance	tʃambrogo	phɾod̪u	brokgosu	tʃhamdʒomtʃham	bɾudʒoŋla	dʒoŋman	lembo	tʃamlemakhen	tʃamlembo	lembo	lem
203	to throw	h̥athoŋo	ot̪huk	watgosu	gemtʃham	gemo	kaman	phirpok	phirakhen	phirpho	phertʃu	phir
204	to lift	jigu	thurni	jikgosu	phuntʃham	phulo	phulan	ukhen	phuakhen	phulo	phuʃu	phulo
205	to push	togo	tokteni	thowatgosu	thogtʃham	t̪okgemo	tokpan	bekhen	brekakhen	bɾako	bɾako	bɾaw
206	to pull	tjaŋo	teŋnini	teŋgosu	dʒaŋtʃham	dʒakphalo	dʒaŋpan	dʒaŋpo	dʒaŋakhen	dʒaŋpo	tʃaŋku	dʒaŋku
207	to tie	gɾago	tʃiŋnini	damgosu	thigtʃham	tʃheŋla; tʃhikpo	thikpan	gɾaho	damakhen	thikbo	t̪amtʃu	thiu; t̪amtʃu
208	to wipe	sot̪u	sot̪ini	saŋwatgosu	jaitʃham	jajbo	tʃospan	phakhen	phaakhen	phakpo	ʃeʃu	phakpo; ʃeʃu
209	to weave (on loom)	tjego	gentur	thekgosu	kamuŋnamtʃham	namla	thikpan	namkhan	namkhen	naŋbo	namkhan	khawnamzu
210	to sew	tjego	ŋɾopt̪ur	kɾopgosu	tʃhogtʃham	tʃokla	tʃokpo	tʃokpo	tʃokhen	tʃokpo	tʃokan	soksu
211	to wash	tʃjo	tʃelu	tʃaŋmotʃoigosu	zigtʃham	zipla	zigpan	zeikhen	zeikhen	tʃŭlo	tʃhukan	dʒiksu
212	to take bath	luiptʃju	tʃhulu	tʃuigosu	luʃpuzigtʃham	zipo	zigpan	luspuzigpo	luspuzikhen	ɕeɾaŋtʃŭlo	zikan	luspuzigtʃu
213	to cut something	ŋramo	zeid̪u	tupgosu	tʃagtʃham	d̪oŋla; tʃala	zaman	zambo	doŋkhen	d̪oŋba; zambo	d̪oŋkan	d̪oŋba
214	to burn	tʃigo	t̪ot̪ini	totgosu	goktʃham	gokpo	gokpan	gokpo	gokhen	gokpo	goku	goktʃu; antʃux
215	to buy	ŋeso	ɲet̪ur	ɲegosu	ŋontʃham	ŋolo	ŋokisaspola	leŋbo	leŋkhen	lejaŋbo	lejaŋbo	leŋtsu
216	to sell	mujo	moilini	muigosu	tʃhomtʃham	tʃoŋo	kholo	tʃoŋalo	tʃoŋakhen	tʃoŋalo	khod̪ilo	bitʃu
217	to steal	kŭso	kunma	kunmajgosu	drobenantʃham	dhuben	droganpa	gɾowan	guranakhen	gɾonalo	gɾogan	gɾowan
218	to lie, fib	sotʃatu	zo	pæŋgosu	sodaektʃham	zohand̪am	zogjakbo	zokjakhen	zokjakhen	zogjakbo	zogjakbo	phatʃa
219	to take	khuɾo	ɾot̪ini	wadgosu	phantʃham	phalo	phalo	phakhen	phakhen	phawo	phaji	doktʃu
220	to give	biʒu	beɾini	biugosu	bintʃham	bilo	bilo	bilo	bikhen	bilo	bi	bintʃu
221	to kill	soto	sot̪ini	sotgosu	ʃentʃham; syʔ	seŋemo	ʃengimkholo	ʃekhen	ʃekhen	ʃijewo	ʃeʃu	ʃeʃu
222	to die	ʃiʃu	ʃikhen; ʃirni	ʃigosu	ʃintʃham	ʃika	ʃeljan	ʃikan	ʃikhen	ʃilo	ʃikan	ʃindʒi; ʃinsu
223	to love	sinu	siŋdur	siŋdiagosu	sempheka; sinu	phakla	semphelan	gɾakhen	gɾakhen	geɾalo	grakan	gɾantʃu
224	to hate	miʃinu	khoŋtʃirni	misinu	semmapheka	gotkilamomala	prakpan	saraŋgoŋkhen	magrakhen	zapɾekatinla	magɾakan	magɾakan; bortʃu
225	one	thi	thi	thi	thur	thur	thur	thur	thur	thur	thur	thur
226	two	nei	nei	nei	nitʃiŋ	nitʃiŋ	nitʃiŋ	nitʃiŋ	nitʃiŋ	nitʃiŋ	nitʃiŋ	nitʃiŋ
227	three	sum	sum	sum	san	tsam	tsam	sam	sam	sum	sam	sam
228	four	bli	plih̥	bli	psi	pʃi	pʃi	psi	psi	bə̆si	pʃi	pʃi
229	five	leŋa	leŋa	leŋa	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa
230	six	gro	gro	gro	khum	khuŋ	khuŋ	khuŋ	khuŋ	khuŋ	khuŋ	khuŋ
231	seven	ŋis	nis	nis	zum	zum	zum	zum	zum	zum	zum	zum
232	eight	get	gen	get	jen	jen	jen	jen	jen	jen	jen	jen
233	nine	d̪ŭgu	d̪ŭgu	d̪ŭgu	gu	gu	ŋu	gu	gu	gu	gu	gu
234	ten	tʃih̥	tʃih̥	tʃih̥	se	se	se	se	se	sje	se	se
235	eleven	tʃithi	lenuŋ	tʃithi	soŋthur	soŋthur	soŋthur	soŋthur	soŋthur	soŋthur	soŋthur	soŋthur
236	twelve	tʃiŋnei	tʃide	tʃiŋnei	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ	soŋnitʃiŋ
237	twenty	khăli	khăli	khăli	khaithur	khaithur	khaidur	khethuɾ	khethuɾ	khethuɾ	khethuɾ	khethuɾ
238	hundred	gja	gjadi	gja	dʒathur	dʒathur	dʒathur	dʒathur	dʒathur	dʒathur	gjathur	gjathur
239	thousand	toŋtra	toŋta	toŋta	toŋtra	toŋta	toŋta	toŋta	toŋta; toŋthur	toŋtathuɾ	toŋtathuɾ	toŋtathuɾ
240	few	tʃaluthi	halamd̪i	halamd̪i	anithur; tit̪aŋ	aniŋthur	aŋthur	tʃathur	tʃathur	tʃjamtuɾta	saŋthur	tʃjamtuɾta
241	some	jerothi	dʒi	bakthi	anithur	naka	haŋginu	otʃan	tʃat	tʃhatʃhatʃhona	haŋanu	tʃjaŋ
242	many	dertʃamunu	jol; hokje	jor	otpa; ʃama	otpa	jor	tʃhatʃha	tʃatʃi	tʃhatʃha	tespe	tʃhatʃha; zagpu
243	all	gaŋpo	tʃaŋma	gaŋpu	gaŋpu	kaŋpo	gaŋa	gaŋpu	gaŋpu	gaŋpu	kaŋpu	gaŋpu
244	big	thenbu	thenbu	them; khoŋtʃigu	taŋpu; tʃhilu	taŋpu	taŋphu	taŋpu	taŋpu	taŋpu	taŋpu	taŋpu
245	small	pru	plju	priu; pru	zimu	zimu	aɲiŋtsa	zembu	zimbu	zimbu	̃ai za	zimbu
246	long	ɹiŋku	ɾiŋbu	ɹiŋku	rinbu	ɾiŋmu	rinbu	ɾiŋbu	ɾiŋbu	rinbu	ɾiŋbu	ɾiŋbu
247	short (length)	t̪ompu	tombo	t̪ompu	khanti	khandi	khanda	khanda	khanthur	inza	khanda	khanda
248	heavy	lju	lupo	liu	tʃitpu	tʃitpu	tʃhipu	tʃitpu	dʒirtʃen	tʃhipu	tʃitpu	tʃhipu
249	light (not heavy)	jaŋpo	jaŋbu	jaŋphu	jaŋphu	jaŋphu	jaŋbu	aruŋdu; jaŋbu	jaŋbu	jaŋpuza	jaŋbu	jaŋbu
250	fat	phiak	kijaʔpa	giakpa	toktumaŋ	thaŋpu	thaŋpu	toptʃen	biŋtʃen	biŋtʃen	biŋtʃen	biŋtʃen
251	thin	kempo	tʃakɾeŋ	kempa	tokzimu	temtem	tʃampu	pirkoŋ	dukpudʒa	zembuza	kɾemʃipːa	kɾemʃipːa
252	wide, broad	gjad̪hen	ɾiŋbu	riŋthuŋ	taŋpu; tʃhilu	tʃaitaŋpu	saptʃataŋpu	tʃei	belaktaŋ	biŋtʃhen	koɾgoɾ	ʃoŋ
253	narrow	gjabru	toŋbu	tʃei	zimu	tʃaizimbu	saptʃaniŋtsa	–; dʒembu	tʃoŋdʒoŋ	–	tʃupɾak	ʃoŋzimbu
254	deep	gaŋ	toŋtʃen	thiŋriŋku	tiŋpu	tiŋpu	waŋtiŋɾimbu	toŋtʃen	toŋtʃen	t̪oŋkaŋ	toŋtʃen	toŋtʃen
255	shallow	tʃĕge	ɲoŋbo; tʃiroptiu	tʃiroptiu	lema	lema	ɾid̪iŋpumala	toŋme	–	t̪oŋkaŋmala	̃ai za	lemlem; ŋeŋe
256	full	dăkja	tempke	tempba	phuŋka	phuŋka	ɾid̪impula	phuŋbe	phuŋbe	phuŋbe	phuŋbe	phuŋbe
257	empty	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa	toŋpa
258	hungry	bremnesu	bɾem	bremnesu	binaŋkhuka	binaŋ	binaŋkhulːa	binaŋ	binaŋkhukhen	binaŋkhulːa	binaŋkhulːa	binaŋkhulːa
259	thirsty	bekemo	pekemt̪i	pekemu	ɾinaŋsopka	ɾinaŋ	ɾinaŋsopla	ɾinaŋ	ɾinaŋsopkhen	ɾinaŋsopla	ɾinaŋsopla	ɾinaŋsopla
260	sweet	ɲokpo	ɲokpo	ɲokpo	tʃhertʃher	juŋmu; tʃhertʃher	juŋbu	joŋjoŋ	joŋjoŋ	juŋbu	juŋbu	juŋbu
261	sour	tʃhu	tʃju	tʃju	tʃhurpu	tʃhurpu	tʃhurpu	tʃurtʃur	tʃurtʃur	tʃhurpu	tʃhurpu	tʃhurpu
262	bitter	khau	kho	kho	khalu	khalu	khalu	khakhen	khaliŋkhaliŋ	khawan	khawan	khawan
263	spicy, hot	khaudʒikpo	khaudʒikpo	khaudʒikpo	ʃokpu	hasok1a	khaso	tʃikhen	tʃikhen	tʃhinla	tʃhinla	tʃherbu
264	ripe	tʃoʃu	tʃoʃu	tʃoʃu	mĭnka	mĭnka	thulan	dʒoŋkhen	miŋkhen	minla	thunmala	minpan
265	rotten (fruit)	–	rigjaga	rygijo	–	ɕitkala	dʒipan	dʒidpæn	zitkhen	–	ʃikan	dʒipan
266	fast	ʃet	ʃetpo	dodʒo	dʒokpu	dʒokpu	dʒokpu	dʒokpu	dʒokpu	dʒokpu	dʒokpu	dʒokpu
267	slow	ŋăɾaŋja	kole	ŋanaŋ	tʃhapten	tʃhapten	tʃaptʃe	jampe	tʃaptʃi	tʃaptʃe	tʃaptʃe	tʃaptʃe
268	same	pluiraŋ	ŋot̪o	pluiraŋ	dolu	d̪ulula	puspu	ŋonbu	ŋonbu	ɾitʃikpu	ɾitʃikpu	ɾitʃikpu
269	different	nakanaka	soso	soe	soso	soso	soso	soso	sŭsu	soso	soso	ɾigmatʃikpan
270	dry	kempa	kempa	kempa	saŋka	saŋka	saŋbu	saŋbu	saŋbu	saŋbola	saŋbu	saŋbu
271	wet	ʃerpa	ʃerpa	dʒasu; ruipa	jenlu	d̪amkala	let̪a	ʃira	ʃira	dʒiŋzaŋ; ʃirila	bet̪ar	ʃiɾi; pet̪ar
272	hot	tʃu	tʃherpa	tʃu	tʃhabu	tʃhabula	tʃo	tʃotʃo	tʃotʃo	sopla	tʃotʃo	tʃotʃo
273	cold	nakpa	ŋakpa	ŋakpa	kurban; tʃhaŋpu	tʃaŋpu	tʃaŋpu	tʃaŋpu	tʃaŋpu	khurla	khurla	tʃhaŋpu
274	good	dju	t̪ego	namda	lekpu	ljakpu	jakpu	phelo	phelula	phelula	phelo	phelula
275	bad	duktsa	harkhja	duktsa	dukpu	maljaka	dukpu	dukpu	dukpu	d̪uphula	dukpu	dukpu
276	new	sarpa	seru	sarpa	siŋma	siŋma	siŋba	siŋba	siŋba	siŋba	siŋba	siŋba
277	old	ɲĩŋ pah̥	ɲiŋma	ɲĩŋ pah̥	manma	manma	manba	manba	manba	manpa	manba	manba
278	broken	botu	photpan	bodgiu	phoʔd̪ilan	photka	potpan	photkan	phutkhen	phot̪iɲdʒi	photkan	photpan
279	above	takpa	jur	jur	thuŋga	thuŋa	kate	thuŋga	thuŋga	teka	thuŋga	thuŋga
280	below	maŋa	ŋur	mur	phaŋa	dʒupka; ɾadjan	toŋte	toŋte	phɾaŋga	phɾaŋga	phɾaŋga	phɾaŋga; jola
281	far	thora	thariŋbu	thariŋph	thariŋbu	thariŋbu	thariŋbu	thăɾiŋbu	thariŋbu	thăɾiŋbu	dʒaŋlimbu	dʒaŋɾiŋbu
282	near	ɾeka	ɾeka	maŋa	kepka; ɾaga	ɾemnaŋ	kepka	tepka	tepka	t̪hepza	tepka	t̪hepza
283	right	jeipa	ewa	jeipa	jas; lajoŋ	jas	jas	phelutʃok	pheltʃoʔ	jomlok	phelutʃok	phelutʃok
284	left	jonpa	joŋba	jonpa	jon; mijoŋ	jon	jon	jomlokpatsok	jomlokpatsok	phelitʃok	joŋlakpa	jomlokpatsok
285	black	mleŋpo	mleŋban	mlemph	tʃhaŋlu	tʃhaŋloŋ	tʃhaŋluŋ	tʃhaŋluŋ	tʃhaŋluŋ	tʃhaŋlu; gju	tʃhaŋluŋ	tʃhaŋlu
286	white	kher	keɾu	kher	balimin	balaŋbu	balaŋbu	balaŋbu	balaŋbu	baluŋbo	baluŋbo	baluŋbo
287	red	liu	liu	liu	tʃhalo	tʃalu	tʃhalu	tʃalu	tʃalu	tʃhalu	tʃhalu	tʃhalu
288	green	ŋ̆au	ŋ̆au	ŋ̆au	jeŋnoŋ	dʒaŋku	jaŋluŋ	jaŋlu	jaŋluŋ	jaŋlu	jaŋluŋ	jaŋlu
289	yellow	sirpo	siɾu	sirph	serbu	tʃerbu	serbu	seru	seru	serbu	serbu	serbu
290	when (near future)	gailo	gurku	geiʃ	giti	git̪ija	giti	giti	giti	giti	giti	giti
291	where	kătʃe	kale	gadʒe	waga	waga	jakpan	waga	waga	băga	waga	băga
292	who	suh̥	suh̥	sulo	si	si	si	si	si	si	sija	sija
293	what	zi	zilo	zilo	hăŋ	hăŋ	hăŋ	hăŋ	hăŋ	hăŋ	haŋja	haŋja
294	how many	go	katʃem	golo	hămthur	gesaŋ	kezaŋ	gedʒaŋ	gedʒaŋ	gest̪uja	gest̪ur	gedʒaŋja
295	this thing	ʔutʃ	ʔŭtʃhi	uthdʒilo	uthu	utu	atha	oɲu	utnotʃan	uthu	uturɲatsaŋ	uthu
296	that thing	ʔot	udu	hordʒilo	uɲu	uɲu	ola	othu	oinotsaŋ	–	uɲu	uɲumo
297	these things	ʔutbatso	utʃu	umgoŋph	utba	utu	athagaŋa	othugaŋpu	utgambu	uthuhaŋlja	utugampu	uthubagmo
298	those things	ʔotbatho	od̪o	gaŋpo	uɲuba	uɲu	jorla	othugaŋpu	oigaŋpu	ujohaŋlja	ʔoɲugampu	uɲubagmo
299	1st sg. (I)	ŋei	ŋei	ɲeh	dʒaŋ	dʒaŋ	dʒaŋ	dʒaŋ	dʒaŋ	dʒaŋ	dʒaŋ	dʒaŋ
300	2nd sg. (familiar)	inaŋ	ih	ih	nan	nan	nan	nan	nan	nan	nan	nan
301	2nd sg. (honorific)	inaŋ	ih	ih	nan	nan	nan	nan	nan	nan	nan	nan
302	3rd sg. (generic/male)	be	be	um	nan	d̪an	nunuzimbu	nan	–	d̪an	d̪an	digi
303	3rd sg. (female)	be	moi	umraŋ	nan	d̪an	zaminzimbu	nan	–	zamiŋ	zamin	digi
304	1st pl.	ŋataŋ	ɲi	ŋadaŋ	aiba	dʒam	dʒaŋ	aʃi	aʃi	aɕigaŋpo	dʒaŋ	aʃi
305	2nd pl. (familiar)	itaŋbanaŋ	jira	irbanaŋ	naiba	naiba	naʃibak	naʃi	naʃtiba	nangam	naʃi	naʃibak
306	2nd pl. (honorific)	itaŋbanaŋ	jiɾa	irbanaŋ	naiba	naiba	naʃibak	naʃi	naʃtiba	nangam	naʃibak	naʃibak
307	3rd pl.	ʔot; bad̪o	beɾa	bhirbanaŋ	d̪aiba	d̪aiba	d̪aʃibak	oɲaba	daʃi	naʃehane	d̪aʃibak	d̪aʃibak
