Gloss	Mey of Shergaon	Mey of Rupa	Sartang of Jergaon	Sartang of Rahung	Khispi	Duhumbi	Bugun	Comment
wildfowl		ʤaŋse bʧa		pʧe			fre, əbʋ	
nest		kok	kɔ̌k	hu kɔ̌k			fùə́ ɾúŋ	
pigeon		praw		prow			fùə́ gtaw	
insect					pʰu	kʰroŋʧuŋ	pʃɔ	
ant		sanʤok	sànʤòk	sanʤok	kʰeʧʰo	kʰinʧʰoʔ		
bee		bʧemu	ʧì	ʧaŋ kə ɯ̌n			dʧaw	
ʧimun (large)								
beeswax, honeycomb		ʧi kʰo			ʧiʔʧʰwama	ʧʰuʧʰu		
butterfly		ʧampiŋ		ʧampɔr			ʧaŋ nuŋ	
caterpillar				klaŋ riprɯ				
centipede								
cockroach					ʧʰiʔduŋ	zulu		
earthworm				tɔhɔ			datìí	
firefly								
honey		ʧi		ʧii			kʰo dʧaw	
housefly		bciŋ		ʧapǐm	pʰu	pʰu		
leech				pùɛ́ʔ				
mosquito		kroŋʧuŋ		ʧapǐn ʤɔŋ	koŋʧuŋ	kroŋʧu	ʧimun	
spider		presuŋ		naŋtiri ʃǒŋʃǒŋ	saŋkopa	pʰusaŋgumbu		
snake		bcam	pʰʧɛ̀n	pʰʧǎm	pʰulu	pʰulu		
frog		rigutu	rɛ̀ktù	riktùú	duŋta	duŋdaʔ		
lizard		ʧam ʧi pala		lalahuŋ				
gecko						donʧikʧikpa		
tortoise				baʧirĩĩ́ pɯ				
turtle								
crab					duli	ʧadaŋ		
fish		ɲuu	nǔ					
name					biŋ	biŋ		
life								
death								
crime								
peace								
soul								
art		zoo						
joking		miɲan						
depth		egi						
war		mak						
place		atʰõ						
work		blad						
I, me		gu	gòó	gǔ	ga	ga	gòó	
you		noŋ	nà, nàŋ	naaŋ	naŋ	ni	nɔ̀ɔ́	
he, she, it		wa, yaa	ʋɛ̀	ɛ̌	ʔuʸ	hoʸ	ʋay	
she						naŋ		
we		ga	gìtík	kte	galu ganga	gaɾkaŋpu	gatɯə	
you pl.		na	nàtík	natě	naɾugaŋga	naɾgaŋpu	natɯə	
they		war	wàtìk	atə̌n	walu	waɾbaʔ	ətɯə	
my		guŋ						
my own		gu ʤi uŋ						
our		ga uŋ						
this		tagi			ʔuʧʰi	oʧima		
these		tʰitʰik			ʔuʧʰigaŋga	uʧimagaŋpu		
that					teʸta	otʰiyaʔma		
those		tʰaŋtʰik			teʸtagaŋga	otʰaʸmagaŋpu		
How many?		ɲipãy			ʔapʰin	abehiŋ		
How much?		ɲipãy						
What?		muwa			ʔaza	abe		
When?		adũa						
Which?		ɲa						
Who?		ɲi	nì		mi	mi		
Why?		murara						murarau market u na ba? why did you go to the market?
some		alaŋay			azalisi	abelisa		
anyone		ɲaraŋ						
all		zebdaŋ			galugaŋga	kaŋpu		
all		gaŋpu						
whoever								
whatever								
many, much		zebdaŋ, maʧaŋ			meka	yur		
nothing		ɲiruŋbɛ						
a little, few								
one	hǎn	han	hèn	hân	hin	hin	ʤyɔ	
two	ɲǐt	ɲik	nìk	ně	ɲes	niʃ	ɲɛ̌ŋ	
three	ùŋ	uŋ	ùŋ	ùún	ʔum	om	ɨ̀m	
four	pʰʃì	bsi	sì	psì	pʰəhi	psi	bvì	
five	kʰù	kʰu	kʰù	kʰu	kʰa	kʰa	uwə̌	
six	ʧùk	kit	ʧìk	ʨěy	ʧʰuʔ	ʧyk	ràp	
seven	ʃìt	sit	sìk	sǐ, sě	ʃis	his	mlyə	
eight	sàʤát	sarʤat	sàrgè	sàrʤɛ́	saɾgeʔ	saɾgeʔ	mla	
nine	tʰkʰí	dʰikʰi	tʰkʰì	tɛ̀kʰɯ́	ṱʰikʰu	ṱʰikʰu	dge	
ten	sɔ̃̀	sõ	sã̀	sɔ	ʃan	ʃan	sùŋá	
eleven	sàhán	sahan		sɔ lɔ han	ʃamʃi hin	ʃamʃi hin	sna ʤyɔ	
twelve	ʃìɲík	siɲik		sɔ lɔ ně	ʃamsinɲes	ʃamʃnis	sna ɲɛ̌ŋ	
thirteen	sùúŋ	su uŋ		sɔ lɔ ùún			sna ɨ̀m	
fourteen	sàm bsí	sam bsi		sɔ lɔ psì			sna bvì	
fifteen	sàŋ kʰù	saŋ kʰu		sɔ lɔ kʰu			sna gua	
sixteen	sàn ʧúk	sai kit		sɔ lɔ ʨěy			sna rap	
seventeen	sàn sít	sai sit		sɔ lɔ sě			sna mlya	
eighteen	sòn sàʤát	sa sarʤat		sɔ lɔ sàrʤɛ́			sna mla	
nineteen	sàn tʰkʰí	sa dʰikʰi		sɔ lɔ tɛ̀kʰɯ́			sna dge	
twenty	nì sɔ̃̀	kay, ɲi sɔ̃		kããn	kʰaʸ hin	kʰeʸ hin	aʧak	
twenty-one		kay la han						
twenty-two		kay la ɲi						
thirty		kay la sɔ̃		kã̀ lɔ̀ sɔ̃̌			aʧak nɛ ʤyɔ	
forty		kʰa ɲi		kã̀ lɔ̀			sna bvi	
fifty		kʰa ɲik la sɔ̃		kã̀ ɲìk ə̀ sɔ̃̌			sna gua	
sixty		kʰa uŋ		kʰà ùún				
seventy		kʰa uŋ la sɔ̃		kʰà ùún ə̀ sɔ̃̌				
eighty		kʰa bsi		kʰà bsì				
ninety		kʰa bsi la sɔ̃		kʰà bsì ə̀ sɔ̃̌				
hundred		ʤo ay		ʤò àn	ʤa hin	ʤe hin	yem ʤa	
two hundred		ʤo ɲik						
thousand		haza			toŋta	traŋ ta hin	haʤə re ʤa	< Hindi
first		go pu sa						
first		akʰoŋ sa						
first		kʰruk sa						‘head’
second		ʤa li kʰiŋ ga						
last		li kʰiŋ sa						
once		ʤora						
once upon a time		akʰuŋ akʰuŋ						introducer phrase for folktales
twice		kor ɲik						
thrice		kor uŋ						
single		handa						
single		acɔ̃						
double		aɲi						
double		adukmu						
full		pʰiŋdi						
half		likʰe						
pair		cɔ̃						
two pairs		cɔ̃ ɲik						
alive		ahaŋ						cf. ‘healthy, alive, brave’
alone		handa						
bad		bʤabkʰan			nakpapaŋ	uʤan	avia	
bare legged		terkʰoŋ						
barren, infertile		kamu						suffix
beautiful, charming		aledu						
big, wide, broad, thick		adok	àdók		ʔelaŋ	adoʔ		
bitter			ʧápkìn		ʧakde	ʧaʔdeʔ		
brave		ahaŋ						cf. also ‘alive’
broad								
broken					geʤuʸde	geɾloŋ		
can, be able								
cheap		aʤa						
clean		asam						
clear		saŋsaŋ						
cold		aʧʰan	àʧʰɛ̀n	aʧhan	uʧen	uʧen	ʨay	
comfortable		akit						
cruel		aɲu						
daily		kepɔ						
dangerous		huŋmi						
dark		pʰuŋsaŋ						
dark		pʰuŋsipʰu						
dead		ikʰan						
deaf		beŋa						
deep		agi			howdeʔ	dogaŋ		
different		abẽ						
different		susu			susu	sosoʔ		
different		yuŋdaŋ						
difficult		adik						
difficult		adik						
dirty		zapmi						
dry		ɔʔɔ			war	aɹloŋ		
dull, faded, bleached		zapmi						
dumb		ʤuʔum						
dusty, sandy		blaso						
dutiful								
easy		akitdu						
empty					toŋpa	toŋpabe		
exact, true, correct		kʰrikduŋ						
expensive		goŋdok						
expensive, dear		runji						
false		ste						
famous		azeŋdok						
far					humauliŋ	tʰaoriŋ		
fast					ʃeʃara	pasa		
fat		adok			elaŋ	ʧayakpa		also large, important
fat		bokpɔk						
ferocious		huŋmi						
foolish		ʤuʔum						also ‘dumb’
fresh		oho						
friendly		roksi						
full (basket)		asaw			ʃiŋde	psiŋdeʔ		
generous								
good		aʤab			nakpa	uʤo	via	blad aʤab good work
good-looking, attractive		aɲudu						
great, distinguished (man)		ʤiriŋ akʰaw						
guilty								
hard		aʧu						
haughty								
healthy		ahaŋ						cf. ‘strong, alive’
heavy		ali			uli	uli		
high		aʤo						
hollow		hoŋdor						
honest		daŋbu						
hot		aʧik	àʧìk	gurot	uʧi	uʧi	ʨɛk	
humble		aʤam						
hungry					kʰamde	kʰamde		
ill, sick		natpu						
important		gakdok						
impossible		bloŋma						
intelligent		rikpu aʤap						
invisible		boʧikʰan						
jolly, smiling		saŋledu						
kind		aʤab						
late		yekʰan						
lay down		hinkʰan						
lay down		lekʰan						
lean		azoŋdu						
least		alaŋay						
left		bikʰe			ɲimlakpa	ʧoyta		
light in weight		aruŋdu			yaŋʃo	yaŋpu		
lonely								
long		areŋ			uliŋ	uriŋ	pʰyaŋ	
lukewarm		gamogimi						kʰoo gamogimi ba ‘the water is lukewarm’
magical								
main								
many, more, very		seʧoŋ						
married (man)		ayu lu kʰan						
miserable	aduk	adik						
modest								
muddy		guʧũ						
naked		kʰakʰlĩ						
narrow		aʤom			ʃada	pʰaɾakati		
native		gaʤi						
native		rũʤi						
near					hantaŋ	teapkʰo		
new					ʔohan	okʰon		
next		li kʰiŋga						
Northern		ʤaŋta						
old (persons)		azek			omen	omen		
old (thing)		aman						
old man		ʤiman						
old woman		ʤuhumat						
only								
open (place)		saŋsaŋ						nimi saŋsaŋ ba the sky is clear
pitiable		hemitʰeŋ						
plain, lowland		hi						
poisonous		dikpɔ, dikʧɔ						
polite								
poor		azɔ̃ɔ̃, azoŋ						
private		ruŋʤi, gaʤi, warʤi						
ready		sarkan						
rich		ʧikpu						
right side		aʧota			huʃu	tʰita		
right, correct		asaw						
ripe		yuŋkʰan			ʤomde	hiyaʔdeʔ		
robust		asey						
rocky		siŋsiŋ(ba)						
rotten						ɲaŋoǹloŋ		
rough		asey						
round (face)		gormu						
round (object)		braw lili						
sacred		asam						
safe		atɔ̃						
same		atu			mahinden	ʧikdabe		
shallow					huʔpan	tatabe		
sharp		aʧaw						
sharp		aʧaw						
short		atuŋdu					dɯm	
shy		wankʰan						
sick								
silent		zizi						
sincere		aroŋ						
sinful		dikpu ʧoŋ						
slippery		kʰley stan						
slow					hasta	hasta		
small		aʧandu	àdə̀dù		ʃadaʔ	kati		
smooth		aɲidu						
soft		aduŋdu						
sour			ʧànkèn		ʧumpa	ʧumteʔ		
spicy					yeʸdeʔ	yeʸdeʔ		
steep		lɔ						
straight								
strong		ahaŋ						cf. ‘healthy, alive’
stumblingly		dakuduku						
sweating		gʧik						
sweet		aʧi	àʧìŋ		ʔobida	ʧiri		
tall		aʤo						
tasty		ablo						
thick		atʰak						
thin		aʧab			ʃaladin	kempa		
thin, lean		reŋkoŋ						
thirsty					yaŋde	ʧʰoŋ		
tired		kor rakpa						
true		asaw						
ugly (body)		azɔ̃						
ugly (face)		smu azɔ̃						
uncleared (field)		asey						
useful		fan tok kʰan						
useless		fan btok kʰan						
valuable		gaktok						cf. ‘important’
weak		ahaŋ bo						i.e. ‘not healthy’ ki ahaŋ bo ‘body healthy not’
well		aʤab						
western		nobta, nobʧok						
wet		asiŋ			uʃiŋ	uʃiŋ		yo asiŋ ba my clothes are wet
whole		zebdaŋ						
wicked		tabsi kʰan			elaŋ	pʰaɾa		
wide								
wild								
wise		yonta						
wise, prophetic		kepʰo						
worst		bʤapsaw						
wrong		bʧik						lumu bʧikba romo la I took the wrong road
yearly		tuŋgəram						
zigzag		ʧilokʧilik						
black		aʧuŋ			uʧʰam	uʧʰam	atʰay	
blue							ɛɹɛ	
brown		pʰekar						
green		oho			yaŋ	↓iyaŋ	ɛpʰìí	
red		ehek			oɾkʰeyaʔ	ʔeheʔ	ɛʃɛk	
white		azɔ̃, azoŋ			yaŋkar	yaŋkar	amǔŋ	
yellow		aha			serbu	ʤuŋ	ɛʤǒy	
abandon, leave		ʧoŋ muba						
absent, to be		bramba						
abuse		riba						
ache		nuŋba						
acquit								
act		propa						
admire								
advise			dèlèn					
afraid, to be		huŋba						
agree			nùkèn					
allow			nùkèn					
always, do s.t.		menerba						
angry, to be		zlikba						
answer								
arise			yǒkèn					
arrange								
arrest			fòkèǹ					
arrive			fèrìkèn					
ashamed, to be		wanba						
ask for		kimɔ	vìkèn					wan kimɔ ask for [for s.t.]
assault								
assemble								
assure								
attack		ʧomba						
attain								
bad, harmful, to be		bjabba						
bake, cook		ha rapa						
bathe		kʰruk ʧeba		ʨǐnbɔ	dusput ʃʰurde	ʃʰima		
bathe		kʰruk ʧẽmba						
be, is, are		ba						
be ill		nuba						
beat (person)		mokpa						
beat		sitpa		nɛ̌nbɔ				
become useless		bʤabba						
beg		lamba						
begin, start		ʧuba	dòkèn	dǔbɔ				
believe								
belong		gu rapa						
bend		kuŋba						
bet								
bind		hokpa	hàkìn					
bite		kuba	gàkìn		zaʔdeʔ	zegde		
bite		remba						
bitter, to be		ʧakba						
blame		riba						
blaze		wotpa						ba wotpa the fire is blazing
block, obstruct		daŋba						
blow		mikpa						
boil		ʧawba			ʧʰoʷde	ʧʰeʔde		
borrow		kʰiba						
break (cup)		ʧamuba						
break, snap		gatpa						
breathe in		keŋba						
breathe		bik						
bright, to be		wotba						
bring		naaba						
broadcast seeds								
build		zeŋba						yam zeŋba house is being constructed
burn		haaba			dede	dima		
bury		yiŋba						
buy		ʧaba, ʧamɔ			ʃeʸde	ʃeʸde		
call								gui Roger anba I am called Roger
call		kʰan ba						
carry		kʰon kemba		kʰà úŋbɔ				
catch		zomba						
cheat, lie		wotpa						
chew		ʧapa	nùkèn					
clean (pot)		ʧeymɔ						
clean field		zaŋmɔ						also ʤaŋmɔ
clear jungle		zaymɔ						
climb up		ʤaŋmɔ						
close		hanmɔ		hǎnbɔ́				
Don’t close		dahan, bahan						
closed, to be		hanba						
cold, become		canba						ʤo ʧanbɔ the tea is getting cold
collect (money)		dikmɔ						
collect		kʰrokʰpa						
comb		kimɔ						no kimɔ you comb [your hair]
come back		keramba						
come		əgɔ		ɔŋnibɔ́	luŋdeʔ	ʤa	taguə	
command, order								wai andukpa I told him [to go]
complete		ʤooŋba						
condole, offer condolence		duŋam						
contribute								
cook					ʧodma	ʧakma		
correct								
cough		ʧikʰan						
count		gekpa						
cover		teŋma						
crack		ʧaŋpa						skʰan ʧaŋpa the plate cracked
cross (river)		ʧanba						
cross path, meet		padʰikʰan						
crush stone		liŋ ʧaaba						
cut		ʧekpa		tabunabɔ	dapde	dapde		
cut down		ʧek dokpa						
damage		bʤabba						simʧa na rekba bʤabba ramne animals destroyed the field
dance		suba		sǔbɔ	lindeʔ	limda		
decide								
defeat		punkʰan						
defend		gopkʰan						
dehusk								
deliver (child)		keba						
deliver (goods)		ʧiba						
deny		mnuba						
descend		kuta yiba						
desire		ʧepa						
detest s.t. dirty		zappa						
detritus		sapsu						
dibble								
die		iba		ǐbɔ	iloŋ	ʔide	iʃa	
dig		ʧokpa		ʨɔ̀ʔbɔ́				
dirty things		zapmi						
disappoint								
discuss in a group		ʤuŋba						
dishonest, spoiled, worn out		bʤabba						
dislike		bigiba						
disobey		mnuba						cf. ‘deny’
distribute		yiba						
disturb		daŋba						wa gui daŋbo he is disturbing me
divorce		gadipa						
do		propa			ledeʔ			
drag		keŋba						
dream		baan			deŋ kʰaŋ aʸdeʔ	beŋ kʰaŋ aida		
dress		yoʧi						nini yoʧipa [I] dress the child
drink	liŋmɔ	liŋba	lìŋkèn	lǐŋbɔ	ɲiʷŋdeʔ	ɲuŋma	naŋ	
Don’t drink		dliŋ, bliŋ						
drive		kipa						
drunk, to be		liŋba						
earn		sakma						
eat		ʧuma	ʧùkèn	ʧubɔ̌	ʧʰadiʔ	ʧaba	mʧiə	
eat meat		kuba		kubɔ̌				
eat soft food		ʧuba						
elect		ʧeeba						
embrace		yokdipa						
encircle		kiimpa						
end		zokpa						
enquire		zikpa						
enter		ɲanba		nɛɲigɔ́	naŋkʰo wama	humaʒa		
envy								
escape		tɔndoy						
escape		tomupa						
evaporate		lɔŋpo sapo						the water dried up
exhibit, show		ɲuba						
expect		moma, momtinba						
explain		soʧiba						
extinguish		omɔ						ba omɔ extinguish the fire!
fall (tree)		gromdupa						buyuk a gromdupa
fall down (object)		hĩmupa						ʧaluk hĩmupa the orange fell down
fall down (person)		hĩdipa						
fall down (person)		yawdipa						
fear		kuŋba						guŋi kuŋba I am afraid
feel joyful		saŋ ledu						
feel		moma						
fell (tree)		gromdupa						
fill (solid)		ʧokpa						
fill liquid		likpa						
find		sawba						
finish		tomba		ʥɔ̌ŋbɔ				as in ‘the road ends here’
finish, run out		ʤoŋkpa						as substance in a container
float		hawba						
flow		hawba						kʰo hawba the river is flowing
fly		canba		ʧɛ̌nbɔ́	ʃeroŋde	ʃerbaʔ		
follow		tintenba						
forget		pla uŋpa			ŋaʔdade	kaɲʤipʰa		
free s.o.		cɔuŋpa						
fry								
furious		zlikba						cf. ‘angry’
gain, profit								
gather								
gather together		kʰrokmɔ						
get free, escape		tɔuŋpa						
get loose		tɔndoy						
give		ʧiba		ʧibɔ̌	ʃima	ʃima	pʰii	
glitter		wotpa						
go, go away		uŋmɔ		ɔŋbɔ́	uŋdeʔ	uŋdeʔ	guaʃa	
go along with, accompany		zi tẽmba						
go down far		(la)buta						i.e. where the river is going
go down		kuta						
go down		yiba						
go out				sɛʔ ɔŋbɔ				
go up far		laŋta						i.e. towards the head of the river
go up		kiŋta						
grant		ʧiba						
grow		siŋba						
guard		lanba						
guide		yõcipa						as in explain, tell
halt		ʤawba						
hang		zẽmba						
harvest								
hatch (egg)								
hate		blaɲuba			duyaŋbaŋ	?		
have		ba						
hear		yopa			hama	ham		
help		romba						
hide		ukpa						both tr. and intr.
hit		mokpa						
hit		sitpa						
hold		zomba						
hope		tinba						
hungry		hakʰuŋba						
hunt		loba						
imitate		pedakpa						
imprison		zomba						
inform		amba						
inhale		keŋba						
intend		tinba						
intermix		za umpa						things mixed inextricably
intoxicate		tikpa						
irrigate								
join into a group		tokpa						
join two things together		ʤorba						
journey		kẽmba						
jump		ʧawba		ʨǒbɔ́				
keep inside bag		ʧoba						
keep		ruba						
kick		la ki rapa			toŋmoŋtama	litomda		
kill		odukpa		ɔʔmɔ	ʔide	aʔdama	ua	
kiss		ʧup rapa						
kneel								
knock		rumba						kow bə rumba knock on the door
know		danba			iʧeʔ	denma		
laugh		zaaba			ʤyadeʔ	zeʸda		
lay egg		keba						bʧa ayuŋ keba the hen laid an egg
learn								
learn		kʰrukʰpa						
lend		kʰiʧiba						
lick		nepa						
lie, tell					zaʔlede	haɾʤa		
lie down		kʰinba						
lift					kʰaŋde	ʤuŋma		
light s.t.		dakba						ba dakma light the fire
listen		nuba						
live		ʤawba		ahaŋ ʤubɔ́				
look after		lanba						
look		lanba						
lost, to be		ʤumuba						
love					gadi	gade		
mad, to be		rawba						
make a circle		kʰorhinba						
make mistake								
make too much noise		ziŋba						
make		zeŋba		ʧɛʔbɔ́				
manure								
marry		aʧam zoŋba						
measure		ʧoba						
meet		siba		ʃìíbɔ́				way sima I met him
melt		ziba						
milk		ɲiŋ						
mingle		bo umpa						
misplaced		ʤũ dõy						
mistake		bʧikpa rampa						wa bʧikpa rampa he has made a mistake
mix, blend		bopa						
move		zeeba						
need		ʧeʔmba						
obey		nuba						
occupy forcefully, snatch		kʰawba						
occupy, be resident		goŋba						
omit		pla uŋpa						
open		doŋmo						
Don’t open		dodoŋ, bodoŋ						
open (door)		dɔ̃ dɔ̃mɔ		hŋbɔ́				
pack down		dammɔ						
palpitate		dukduk rapɔ						
peel		hɔ̃mɔ						
persuade		ʤipa						
pity		hẽkʰan						
play		loba			leʸde	leʸde		
plough		woma						
pluck		ʧiŋmɔ						
point		yɔndaʧi						
pour		likmɔ						
praise		tɔpa						
praise		totpɔ						
pray		sɔn tapa						
prefer		giba						
press down		dammɔ						
prevent s.o. from doing s.t.		gokpa						
print		par mokpa						par are Tibetan-style scriptures, this expression refers to printing on cloths that hand outside the house
profit								
promise		ʧũʧukpa						
pull		kʰeŋ, keŋba			kʰeŋde	kʰeŋma		
Don’t pull		dkʰeŋ, bkʰeŋ						
punish								
purchase		ʧaaba						
push		riba			dudeʔ	dʷama		
quake (as earthquake)		kipa						
quake		kʰikʰan						
quarrel		ya dʰikʰan						
question		zikʰan						
rain n.		nimi kʰo						
raise		kaŋdukpa						
reach		waŋba						
read		kʰropa						
reap								
recognise		ẽpa						
regret								
remember		granʤi rapa						
repair								
repay								
report		sodokpa						
resemble		handa						
rest					ʃiʃoʔlama	ʧoʔlama		
return		keramba						
ride		ẽmba						
ripe, to be		yuŋba						
rise		sappa						
roam around		kẽmba						
roast		riba						
rotten, to be		humuba						
rub		niŋba						
run		ʧaaba						ko tʰiba ʧamo run to that side
sad, to be		zooba						
satisfied, to be		saŋba						
save		tɔndoy						
saw		seda						
say		amɔ						
scatter		hẽmɔ						
search		samɔ						
see		lanmɔ		lɛ̌mbɔ	daʸma	duʸma		
sell		ʧɔŋram			ʧoŋiede	ʔoŋtʰama		
send		ʧɔŋmɔ						
sew		ʧakmɔ			ʃiŋde	ʃiŋdi		
shake		yẽmɔ						
shame		wanba						
sharpen		zimɔ						
shine		wotmɔ						
shoot		rekmɔ						
shout		homɔ						
show		ɲumɔ						
shut		hanmɔ						
sick, to be		nuba						
sing		tamɔ			teʸdeʔ	teʸdeʔ		
sit down		diŋmɔ			duŋʤuma	ʤuma		
Don’t sit		didiŋ, bidiŋ						
slander n.		ʧarku						
slap		ʧapər						
sleep		ʤiŋmɔ		ʤǐŋbɔ	mindeʔ	minma		
slip		kʰlendipa						
smell		ɲiŋba						
smoke (cigarette)		keŋmɔ						
smoke (meat)		liŋba						
snatch		kawba						
sneeze								
snore								
snow n.		niyi						
sow		loba						
sow		pikpa						
speak					poŋpoŋlede	ʔinma		
spirit, soul		ayuk						
spit		kepa						
stand up		kiba			kʰiŋgide	kʰiŋma		
stand up		ziŋba						
steal		yawba			bigulede	uma		
store		ruba						
swallow			gùkèn					
suck			ʧèŋkèn					
suffer		adik ga						
surprise		hoʧoba						
surrender								
surround		kʰorhinba						
swear		ʧuŋba						
sweep house, to ‘broom’		zemɔ						
sweep		zepa						
swim		boŋ pʰiŋ rapa			gaŋpaliʒa			kʰo boŋ pʰiŋ loba play in the water
take		kaŋba			haɲi	laba	ɾia	
take		ʧuuma		ʧubɔ				
take away		temo						
taste		ʧaamɔ						
teach		yomba						
teach		yoŋba						
teach		yõʧiba, yɔ̃ba						
tear		do dokpa						
tear		ze dukpa						
tell					indeʔ	ʔinsma		
thank		aɲo ay ray						
thief		diyaw						
think		kinba						
throw					tosadeʔ	tosama		
thunder		nimi hukpa						‘sky thunders’
tie					waʔdeʔ	duŋma		
travel		kẽmba						
travel		ɲɛkɔr						
trust		lo depa						
try		ruŋɔ						
turn on light								ba waŋ ray turn on the light
twist		kipa						
understand		gawba						
undress		tikpa						
unmatching, be		bkʰrikʰpa						
untie		sɔ̃ dɔ̃mɔ						
untie		sɔ̃ dukpa						
urinate		zi tɔnba						
vomit		yokpa						
wail		kepa						
wait		ʧɔpa, zɔpa			ʤaʔma	laŋma		
wake up				yo ni bɔ				
walk		ropa			wama	maɲu		
want		ʧepa						
wash s.t.		ʧẽmba		yɔʔ ʨǐnbɔ	ʧʰide	ʧʰide		
watch over		lanba						
water v.		kʰo likpa						
weave					pʰadeʔ	dagdeʔ		
wear		yokpa						
wed		aʧam zoŋba						
weed					kʰikma	kʰibʔde		
weep								
whistle		hiiba						
wipe					biʔdeʔ	zuhama		
wish								
work		ropa			leʸ kʰa ledeʔ	leka		
worship		kʰuriŋ						
wrestle								
write		zooba						
yawn								
here		tʰ(u)gʰɔ						
there		otaŋgʰə						
where		ɲakʰa			ʔawa	hata		
above, on top		taŋga						
under, below		praŋgʰɔ			kʰya	beʸta		
within, inside		eliŋgʰɔ						
in front		keeŋgʰɔ						
behind		likʰiŋgʰɔ						
up		kanjaŋ						
down		gʧẽ						
outside		uhũŋgʰɔ						
put around		kʰoba						
circle		girgir						
up there		laŋta						
down there		buta						
on this side		kɔttɔ						
on that side		taŋta						
everywhere		gaŋ pugʰɔ						
North		ʤaŋ	ʤàŋ					
South		lɔ	lò					
West		nɔp	nè					
East		sal	sə̀l					
after		likʰiŋgʰɔ						
afternoon			nìyɔ̀tén					
again		ʧora						
always		ʧemoʧegaŋ						‘complex language’
always		kepə						
anytime		adũ lati						
at present		ʤisido						
autumn								
dawn								
day			nìnì [=sun]	nikrẽ̀ĩ́	nemi	namka	ha nay	
day after tomorrow		linlo						
day before yesterday		ski niyaw, tulu niyaw						
evening		ɲaw	nìyɔ́		nami	nami	ha mʤɔŋ	
forenoon		ɲiru						
formerly		akʰoŋga						
formerly		goga						
in a moment		skiya						
long ago		akʰoŋkʰoŋ						
mid-day			hàtá					
midnight		nukuʧuŋ					habio ʧaw	
month			námblù		namba	namlahin		
month, last day		toŋʧin						
month, last ten days		nsi						
morning		ɲiru	sùrù sìrì		namsaŋ	namsaŋ	ha mryɔŋ	
next year		minlu						
night								
noon, mid-day			hátà		namka	bəʧan		
now		ski						
rarely		adũ ayʧa						
summer		zaal					ha lə daw	
then		ʤolaa						
today		tulu			tʰala	tʰala		
tomorrow		bsaŋ			muŋkʰa	muŋkʰa		
tomorrow morning		bsaŋ ɲiru						
tonight								
two days after tomorrow								
week					dun kʰahin			
when		adũ			ʧetoŋ	adaŋ		
year		tuŋ	tùùn	tùgún			staw	
year, last		yibutʰibu						
year, this		taŋ butu						
yesterday		diyaw			duyu	duyu		
yet		lannu dɔ			tom	tomhin		
