No.	Form	Language	Gloss (1)	Gloss (2)
N101.A	*prɛ̤ə̯	Proto-Mon	coconut: Cocos nucifera, Linn.	
N102	*cmpiir	Proto-Monic	pumpkin: Cucurbita sp.	pumpkin: Cucurbita sp.
N102.B	*cəmpi̱ir	Proto-Nyah Kur	pumpkin: Cucurbita sp.	
N102.A	*həpi̱	Proto-Mon	pumpkin: Cucurbita sp.	
N103	*[k]ʔiil	Proto-Monic	hog-plum: Spondias mangifera, Willdenow etc.	hog-plum: Spondias pinnata, Kurz.
N103.B	*[kh]əʔi̱il	Proto-Nyah Kur	hog-plum: Spondias pinnata, Kurz.	
N103.A	*ʔi̱	Proto-Mon	hog-plum: Spondias mangifera, Willdenow etc.	
N104	*kʔɯl	Proto-Monic	cucumber	common cucumber: Cucumis sativus, Linn.
N104.B	*keʔɯ̱l	Proto-Nyah Kur	common cucumber: Cucumis sativus, Linn.	
N104.A	*həʔi̱	Proto-Mon	cucumber	
N105	*tɔɔl	Proto-Monic	cotton, cotton plant, cotton thread	cotton, cotton plant, cotton thread
N105.B	*tu̱al	Proto-Nyah Kur	cotton, cotton plant, cotton thread	
N105.A	*to̱	Proto-Mon	cotton, cotton plant, cotton thread	
N106	*lul	Proto-Monic	gourd	gourd: Lagenaria siceraria, Standl. (= L. vulgaris, Ser.)
N106.B	*lṳl	Proto-Nyah Kur	gourd: Lagenaria siceraria, Standl. (= L. vulgaris, Ser.)	
N106.A	*lə̤	Proto-Mon	gourd	
N107	*kwaaj	Proto-Monic	yam: Dioscorea hispida; in compounds: cassava and other edible tubers	sweet potato: Ipomea batatas, Lamk.
N107.B	*khwa̱aj	Proto-Nyah Kur	sweet potato: Ipomea batatas, Lamk.	
N107.A	*kwa̱i̯	Proto-Mon	yam: Dioscorea hispida; in compounds: cassava and other edible tubers	
N108	*ɟrəj	Proto-Monic	pipal, Bo-tree: Ficus religiosa, Linn.	banyan tree: Ficus bengalensis, Linn.
N108.B	*chrə̤j	Proto-Nyah Kur	banyan tree: Ficus bengalensis, Linn.	
N108.A	*sɔ̤e̯	Proto-Mon	pipal, Bo-tree: Ficus religiosa, Linn.	
N109	*trluuj	Proto-Monic	emblic myrobolan tree: Phyllanthus emblica, Linn.	tamarind: Tamarindus indica, Linn.
N109.B	*təlu̱uj	Proto-Nyah Kur	tamarind: Tamarindus indica, Linn.	
N109.A	*kəlu̱i̯	Proto-Mon	emblic myrobolan tree: Phyllanthus emblica, Linn.	
N110	*kɔɔʔ	Proto-Monic	neck	neck; the narrowed part of a long object (e.g. wrist, ankle, neck of a gourd)
N110.B	*kɔ̱ɔʔ	Proto-Nyah Kur	neck; the narrowed part of a long object (e.g. wrist, ankle, neck of a gourd)	
N110.A	*kɔ̱ʔ	Proto-Mon	neck	
N111	*prtaaʔ	Proto-Monic	tail of animal or reptile	tail, including fish-tail, tail of birds, snakes ...; end of loin-cloth; /pəta̱aʔ khla̱aŋ/ triangular part of a roof
N111.B	*pəta̱aʔ	Proto-Nyah Kur	tail, including fish-tail, tail of birds, snakes ...; end of loin-cloth; /pəta̱aʔ khla̱aŋ/ triangular part of a roof	
N111.A	*həta̱ʔ	Proto-Mon	tail of animal or reptile	
N112	*cɗaaʔ	Proto-Monic	hand-span, a unit of length	hand-span, a unit of length
N112.B	*cəda̱aʔ	Proto-Nyah Kur	hand-span, a unit of length	
N112.A	*ɗa̱ʔ	Proto-Mon	hand-span, a unit of length	
N113	*ɟwaaʔ	Proto-Monic	corpse, human or animal	corpse, human or animal
N113.B	*chəwa̤aʔ	Proto-Nyah Kur	corpse, human or animal	
N113.A	*khwɛ̤ə̯ʔ	Proto-Mon	corpse, human or animal	
N114	*ŋiək	Proto-Monic	tooth, weaver's reed	tooth, animal or human; tooth of a saw
N114.B	*ŋi̤ak	Proto-Nyah Kur	tooth, animal or human; tooth of a saw	
N114.A	*ŋi̤ə̯k	Proto-Mon	tooth, weaver's reed	
N115	*kintaak	Proto-Monic	tongue	tongue (animal, human); reed (of oboe)
N115.B	*kənta̱ak	Proto-Nyah Kur	tongue (animal, human); reed (of oboe)	
N115.A	*kənta̱i̯c	Proto-Mon	tongue	
N116	*kmak	Proto-Monic	male (animal, bird, etc.)	male, only for animals
N116.B	*khma̱k	Proto-Nyah Kur	male, only for animals	
N116.A	*[]hma̱k	Proto-Mon	male (animal, bird, etc.)	
N117	*knlak	Proto-Monic	popliteal space; /pa̱iŋ nɛ̱k/ armpit etc.	armpit
N117.B	*kənla̱k	Proto-Nyah Kur	armpit	
N117.A	*(kə)na̱k	Proto-Mon	popliteal space; /pa̱iŋ nɛ̱k/ armpit etc.	
N118	*sɔɔk	Proto-Monic	head hair, body hair	hair; /ɲchṳuɁ chɔ̱ɔk/ caterpillar etc.
N118.B	*ɕɔ̱ɔk	Proto-Nyah Kur	hair; /ɲchṳuɁ chɔ̱ɔk/ caterpillar etc.	
N118.A	*so̱k	Proto-Mon	head hair, body hair	
N119	*sɔk-sɔɔk	Proto-Monic	body hair, hair of animals, fur, porcupine quills, feathers; /Ɂəma̱Ɂ kəso̱k/ caterpillar	human body hair, animal fur, porcupine quills, hair of corn or beans
N119.B	*ɕɔk-ɕɔ̱ɔk	Proto-Nyah Kur	human body hair, animal fur, porcupine quills, hair of corn or beans	
N119.A	*kəso̱k	Proto-Mon	body hair, hair of animals, fur, porcupine quills, feathers; /Ɂəma̱Ɂ kəso̱k/ caterpillar	
N120	*ɟuŋ	Proto-Monic	lower limb, leg, foot; edge, vicinity	foot, not including the leg or the lower leg; foot of mushroom, i.e. the lower part of the stem; foot of a hill, of furniture....
N120.B	*cṳŋ	Proto-Nyah Kur	foot, not including the leg or the lower leg; foot of mushroom, i.e. the lower part of the stem; foot of a hill, of furniture....	
N120.A	*ca̤ɨ̯ŋ	Proto-Mon	lower limb, leg, foot; edge, vicinity	
N121	*s/cniəŋ	Proto-Monic	wing, feather, fin	wing, fin
N121.B	*chəni̱aŋ	Proto-Nyah Kur	wing, fin	
N121.A	*hni̱ə̯ŋ	Proto-Mon	wing, feather, fin	
N122	*paaŋ	Proto-Monic	mouth, mouthful, quantifier for speech	mouth (human, animal); opening (of a jar, a basket, a snail-shell...); entrance (to a cave, a dense forest...); doorway
N122.B	*pa̱aŋ	Proto-Nyah Kur	mouth (human, animal); opening (of a jar, a basket, a snail-shell...); entrance (to a cave, a dense forest...); doorway	
N122.A	*pa̱i̯ɲ	Proto-Mon	mouth, mouthful, quantifier for speech	
N123	*bu[u]ŋ	Proto-Monic	belly, abdomen, central cavity	belly (of humans, animals, jars, baskets, boats...; pouch-shaped internal organ
N123.B	*pṳŋ	Proto-Nyah Kur	belly (of humans, animals, jars, baskets, boats...; pouch-shaped internal organ	
N123.A	*pə̤ɨ̯ŋ	Proto-Mon	belly, abdomen, central cavity	
N124	*kɓɔŋ	Proto-Monic	knee	knee; joint of grasshopper's hind leg
N124.B	*khbɔ̱ŋ	Proto-Nyah Kur	knee; joint of grasshopper's hind leg	
N124.A	*ɓɔ̱ŋ	Proto-Mon	knee	
N125	*draŋ	Proto-Monic	horn, tusk of elephant, summit	horn (of mammals, snails, of a certain caterpillar called /ɲchṳuɁ pa̱ẙ/ 'barking deer worm')
N125.B	*thra̤ŋ	Proto-Nyah Kur	horn (of mammals, snails, of a certain caterpillar called /ɲchṳuɁ pa̱ẙ/ 'barking deer worm')	
N125.A	*krɛ̤a̯ŋ	Proto-Mon	horn, tusk of elephant, summit	
N126	*ʔic	Proto-Monic	excrement; rubbish; interest on investment	excrement; useless and unpleasant byproduct (e.g. ear-wax, eye-matter, dandruff, smegma, sawdust); /ʔi̱c rṳuy/ freckles
N126.B	*ʔi̱c	Proto-Nyah Kur	excrement; useless and unpleasant byproduct (e.g. ear-wax, eye-matter, dandruff, smegma, sawdust); /ʔi̱c rṳuy/ freckles	
N126.A	*ʔɤ̱i̯c	Proto-Mon	excrement; rubbish; interest on investment	
N127	*ktɔɔc	Proto-Monic	wart	wart
N127.B	*kətu̱ac	Proto-Nyah Kur	wart	
N127.A	*kəto̱t	Proto-Mon	wart	
N128	*kruuc	Proto-Monic	intestine, inner portion, heart, core, heartwood, pith	intestine, innards of animals
N128.B	*kru̱uc	Proto-Nyah Kur	intestine, innards of animals	
N128.A	*kru̱t	Proto-Mon	intestine, inner portion, heart, core, heartwood, pith	
N129	*t[r]mɓaɲ	Proto-Monic	rim, edge; /həmo̱n pa̱iŋ/ lips	lips
N129.B	*tərmbɛ̱ɲ	Proto-Nyah Kur	lips	
N129.A	*həmo̱n	Proto-Mon	rim, edge; /həmo̱n pa̱iŋ/ lips	
N130	*mat	Proto-Monic	eye; precious stone; cutting edge	eye; source (of river, of day-light, i.e. the sun, of rain, i.e. dark clouds as a sign of coming rain); head (of abscess); small roundish depression (at bamboo node, on coconuts); cutting edge of tool
N130.B	*ma̤t	Proto-Nyah Kur	eye; source (of river, of day-light, i.e. the sun, of rain, i.e. dark clouds as a sign of coming rain); head (of abscess); small roundish depression (at bamboo node, on coconuts); cutting edge of tool	
N130.A	*mo̤t	Proto-Mon	eye; precious stone; cutting edge	
N131	*prmat	Proto-Monic	gall	gall bladder
N131.B	*pərma̱t	Proto-Nyah Kur	gall bladder	
N131.A	*kəmo̱t	Proto-Mon	gall	
N132	*ɟ[l]uut	Proto-Monic	bone; main stem of plant, spine of palm frond	bone (of humans, animals, fishes)
N132.B	*chəlṳut	Proto-Nyah Kur	bone (of humans, animals, fishes)	
N132.A	*cṳt	Proto-Mon	bone; main stem of plant, spine of palm frond	
N133	*k[r]liən	Proto-Monic	to form a growth	lymph glands (in neck, armpits, groin)
N133.B	*kəli̱an	Proto-Nyah Kur	lymph glands (in neck, armpits, groin)	
N133.A	*kəle̱n	Proto-Mon	to form a growth	
N134	*kɗəp	Proto-Monic	head, upper end, summit, forehead	head
N134.B	*khdə̱p	Proto-Nyah Kur	head	
N134.A	*[kə]ɗa̱ə̯p	Proto-Mon	head, upper end, summit, forehead	
N135	*cnaam	Proto-Monic	skin; (human, animal) fur	skin (of animals except pigs, of humans on palms and soles only)
N135.B	*ɕhna̱am	Proto-Nyah Kur	skin (of animals except pigs, of humans on palms and soles only)	
N135.A	*hna̱m	Proto-Mon	skin; (human, animal) fur	
N136	*[c/s]nliəm	Proto-Monic	nail, claw; metal binding round handle of tool	fingernail, claw
N136.B	*khənli̱am	Proto-Nyah Kur	fingernail, claw	
N136.A	*hənə̱m	Proto-Mon	nail, claw; metal binding round handle of tool	
N137	*chi̱m	Proto-Monic	chim	blood
N137.B	*chi̱m	Proto-Nyah Kur	blood	
N137.A	*chi̱m	Proto-Mon	chim	
N138	*kmɓaw	Proto-Monic	beak, bill, muzzle	beak, snout, muzzle, any animal's mouth if elongated: e.g. of most kinds of dogs, rats, shrimps...
N138.B	*kəmba̱w	Proto-Nyah Kur	beak, snout, muzzle, any animal's mouth if elongated: e.g. of most kinds of dogs, rats, shrimps...	
N138.A	*həma̱o̯	Proto-Mon	beak, bill, muzzle	
N139	*ktɔɔr	Proto-Monic	ear	ear
N139.B	*kətu̱ar	Proto-Nyah Kur	ear	
N139.A	*kəto̱	Proto-Mon	ear	
N140	*kntaal	Proto-Monic	underpart, bottom (e.g. of a boat)	sole, palm (no metaphoric extensions)
N140.B	*kənta̱al	Proto-Nyah Kur	sole, palm (no metaphoric extensions)	
N140.A	*həta̱	Proto-Mon	underpart, bottom (e.g. of a boat)	
N141	*dɯl	Proto-Monic	thigh	thigh
N141.B	*tɯ̤l	Proto-Nyah Kur	thigh	
N141.A	*ti̤	Proto-Mon	thigh	
N142	*gnis	Proto-Monic	canine tooth	canine tooth (e.g. of man, pig, snake, barking deer, but not sambar deer)
N142.B	*khəni̤h	Proto-Nyah Kur	canine tooth (e.g. of man, pig, snake, barking deer, but not sambar deer)	
N142.A	*[]ne̤h	Proto-Mon	canine tooth	
N143	*p[r/m]nus	Proto-Monic		navel
N143.B	*pərnɯ̱j̊	Proto-Nyah Kur	navel	
N144	*krmpuus	Proto-Monic	breadth of finger	finger, toe
N144.B	*kəmpu̱uj̊	Proto-Nyah Kur	finger, toe	
N144.A	*[k]əpu̱h	Proto-Mon	breadth of finger	
N145	*gris	Proto-Monic	liver, heart, central part	liver
N145.B	*khri̤h	Proto-Nyah Kur	liver	
N145.A	*krə̤h	Proto-Mon	liver, heart, central part	
N146	*crɯs	Proto-Monic	chest, front part of body	front part of chest
N146.B	*crɯ̱j̊	Proto-Nyah Kur	front part of chest	
N146.A	*sɒ̱ɨ̯h	Proto-Mon	chest, front part of body	
N147	*phɯɯs	Proto-Monic	reach of both arms as measure of length, fathom, sometimes reckoned as four cubits	arm-span: measure of length of both arms stretched
N147.B	*phɯ̱ɯj̊	Proto-Nyah Kur	arm-span: measure of length of both arms stretched	
N147.A	*phi̱h	Proto-Mon	reach of both arms as measure of length, fathom, sometimes reckoned as four cubits	
N148	*təj	Proto-Monic	hand, upper limb, arm, foreleg, tributary, dependency; railway carriage	hand (of humans, apes, monkeys); tendrils (of gourd, cucumber...)
N148.B	*tə̱j	Proto-Nyah Kur	hand (of humans, apes, monkeys); tendrils (of gourd, cucumber...)	
N148.A	*tɒ̱ɛ̯	Proto-Mon	hand, upper limb, arm, foreleg, tributary, dependency; railway carriage	
N149	*tɔh	Proto-Monic	breast, udder	breast
N149.B	*tɔ̱h	Proto-Nyah Kur	breast	
N149.A	*tɔ̱h	Proto-Mon	breast, udder	
N150	*ptuh	Proto-Monic	fungus, mildew, pus	pus
N150.B	*pətu̱h	Proto-Nyah Kur	pus	
N150.A	*pətɒ̱ɨ̯h	Proto-Mon	fungus, mildew, pus	
N151	*pnah	Proto-Monic	shoulder (human, animal)	shoulder (human, animal)
N151.B	*phna̱h	Proto-Nyah Kur	shoulder (human, animal)	
N151.A	*phna̱h	Proto-Mon	shoulder (human, animal)	
N153	*[cə]-mɔh	Proto-Monic	nose	nose
N153.B	*ɕə-mɔ̱h	Proto-Nyah Kur	nose	
N153.A	*-mṳh	Proto-Mon	nose	
N154	*kmciiʔ	Proto-Monic		younger sibling
N154.B	*kəmci̱iʔ	Proto-Nyah Kur	younger sibling	
N155	*ɟuuʔ	Proto-Monic	great-grandmother	elder sister of mother; wife of elder brother of parent
N155.B	*cṳuʔ	Proto-Nyah Kur	elder sister of mother; wife of elder brother of parent	
N155.A	*cṳʔ	Proto-Mon	great-grandmother	
N155a	*p-ɟuuʔ	Proto-Monic	old person	old person (appearance is the criterion, not actual age)
N155a.B	*pəcṳuʔ	Proto-Nyah Kur	old person (appearance is the criterion, not actual age)	
N155a.A	*pjṳʔ	Proto-Mon	old person	
N156	*mbaaʔ	Proto-Monic	father	father
N156.B	*pa̤aʔ	Proto-Nyah Kur	father	
N156.A	*mɛ̤ə̯ʔ	Proto-Mon	father	
N157	*m[ɛɛ/ee]ʔ	Proto-Monic	mother, especially in formal contexts; Mrs.; first or second person feminine pronoun	mother (only human)
N157.B	*mɛ̤ɛʔ	Proto-Nyah Kur	mother (only human)	
N157.A	*mi̤ʔ	Proto-Mon	mother, especially in formal contexts; Mrs.; first or second person feminine pronoun	
N158	*lwaaʔ	Proto-Monic	Wa, Lawa, pagan hillman practicing slash-and-burn cultivation	Lawa
N158.B	*ləwa̤aʔ	Proto-Nyah Kur	Lawa	
N158.A	*wɛ̤ə̯ʔ	Proto-Mon	Wa, Lawa, pagan hillman practicing slash-and-burn cultivation	
N159	*trlaaʔ	Proto-Monic	owner, lord	owner, lord
N159.B	*təla̱aʔ	Proto-Nyah Kur	owner, lord	
N159.A	*təla̱ʔ	Proto-Mon	owner, lord	
N160	*(g-)luuʔ	Proto-Monic	eldest child	elder sister
N160.B	*lṳuʔ	Proto-Nyah Kur	elder sister	
N160.A	*klṳʔ	Proto-Mon	eldest child	
N161	*kndɔɔk	Proto-Monic	spirit, demon, nat, especially a nat attached to a family or to a group of families related in the male line, which inhabits the south-east post of the senior member's house	dead human body, ghost, spirit
N161.B	*kəntɔ̤ɔk	Proto-Nyah Kur	dead human body, ghost, spirit	
N161.A	*kəlo̱k	Proto-Mon	spirit, demon, nat, especially a nat attached to a family or to a group of families related in the male line, which inhabits the south-east post of the senior member's house	
N162	*ɗiik	Proto-Monic	slave, temple servant, debt-slave, unpaid servant	slave
N162.B	*di̱ik	Proto-Nyah Kur	slave	
N162.A	*ɗɤ̱i̯c	Proto-Mon	slave, temple servant, debt-slave, unpaid servant	
N163	*kjaak	Proto-Monic	sacred being or thing, Buddha, Buddha image	rainbow
N163.B	*khja̱ak	Proto-Nyah Kur	rainbow	
N163.A	*cja̱i̯c	Proto-Mon	sacred being or thing, Buddha, Buddha image	
N164	*maaŋ	Proto-Monic		husband
N164.B	*ma̤aŋ	Proto-Nyah Kur	husband	
N165	*ceec	Proto-Monic	great-grandchild	great-great-grandchild
N165.B	*ce̱ec	Proto-Nyah Kur	great-great-grandchild	
N165.A	*cʌ̱i̯c	Proto-Mon	great-grandchild	
N166	*peeɲ	Proto-Monic		grandfather; term of address to older men
N166.B	*pe̱eɲ	Proto-Nyah Kur	grandfather; term of address to older men	
N167	*l[h/w]uut	Proto-Monic	unmarried girl past age of puberty, spinster, virgin	young woman, usually unmarried; a married woman, even with children, will usually be called this so long as she remains young-looking
N167.B	*l(əh)u̱ut	Proto-Nyah Kur	young woman, usually unmarried; a married woman, even with children, will usually be called this so long as she remains young-looking	
N167.A	*wṳt	Proto-Mon	unmarried girl past age of puberty, spinster, virgin	
N168	*kɔɔn	Proto-Monic	child, offspring, young person, young of animals; member of social group; minor component of complex system	(one's own) child; young of animals
N168.B	*ku̱an	Proto-Nyah Kur	(one's own) child; young of animals	
N168.A	*ko̱n	Proto-Mon	child, offspring, young person, young of animals; member of social group; minor component of complex system	
N169	*g()maan	Proto-Monic	son-in-law; /həma̱n te̤Ɂ/ younger sister's husband	husband of younger sister, of cousin younger than Ego, of daughter, of niece
N169.B	*khəma̤an	Proto-Nyah Kur	husband of younger sister, of cousin younger than Ego, of daughter, of niece	
N169.A	*həma̤n	Proto-Mon	son-in-law; /həma̱n te̤Ɂ/ younger sister's husband	
N170	*k()muun	Proto-Monic	nephew, niece	nephew, niece
N170.B	*khəmu̱un	Proto-Nyah Kur	nephew, niece	
N170.A	*(k)hmi̱n	Proto-Mon	nephew, niece	
N171	*k()ɲoom	Proto-Monic		young child
N171.B	*khəɲo̱om	Proto-Nyah Kur	young child	
N172	*maam	Proto-Monic	prefix to men's proper names, to laymen's names (by monks)	younger brother of father, of husband
N172.B	*ma̤am	Proto-Nyah Kur	younger brother of father, of husband	
N172.A	*ma̤m	Proto-Mon	prefix to men's proper names, to laymen's names (by monks)	
N173	*caw	Proto-Monic	grandchild	grandchild; spouse of grandchild
N173.B	*ca̱w	Proto-Nyah Kur	grandchild; spouse of grandchild	
N173.A	*ca̱o̯	Proto-Mon	grandchild	
N174	*braw	Proto-Monic	woman, wife	wife
N174.B	*phra̤w	Proto-Nyah Kur	wife	
N174.A	*prɛ̤ə̯	Proto-Mon	woman, wife	
N175	*jaw	Proto-Monic	elder brother of spouse; husband of elder sister	elder brother of spouse; husband of elder sister, of cousin older than Ego
N175.B	*ja̤w	Proto-Nyah Kur	elder brother of spouse; husband of elder sister, of cousin older than Ego	
N175.A	*jɛ̤ə̯	Proto-Mon	elder brother of spouse; husband of elder sister	
N176	*kmdar	Proto-Monic		husband-and-wife
N176.B	*kəmta̤r	Proto-Nyah Kur	husband-and-wife	
N177	*kmsiir	Proto-Monic	parent-in-law	parent-in-law; usually with 'mother' or 'father' prefixed
N177.B	*kəmɕi̱ir	Proto-Nyah Kur	parent-in-law; usually with 'mother' or 'father' prefixed	
N177.A	*k(h)msi̱	Proto-Mon	parent-in-law	
N178	*knʔ[ɔɔ]s	Proto-Monic	daughter-in-law; /həʔɔ̱h te̤Ɂ/ younger brother's wife	wife of son, of nephew, of cousin younger than Ego
N178.B	*ku̱an-ʔu̱aj̊ ~ nʔu̱aj̊	Proto-Nyah Kur	wife of son, of nephew, of cousin younger than Ego	
N178.A	*həʔ[ɔ̱]h	Proto-Mon	daughter-in-law; /həʔɔ̱h te̤Ɂ/ younger brother's wife	
N179	*mnus	Proto-Monic	human being	human being
N179.B	*[m/ph]ənɯ̤j̊	Proto-Nyah Kur	human being	
N179.A	*[mə/ɦ]ni̤h	Proto-Mon	human being	
N180	*-truus	Proto-Monic	boy, man	boy, man
N180.B	*(tu̱j̊-)tru̱uj̊	Proto-Nyah Kur	boy, man	
N180.A	*krɒ̱u̯h	Proto-Mon	boy, man	
N181	*k()maaj	Proto-Monic	widow	widow
N181.B	*khəma̱aj	Proto-Nyah Kur	widow	
N181.A	*hma̱i̯	Proto-Mon	widow	
N182	*blaaj	Proto-Monic	bachelor, unmarried male past age of puberty	marriageable boy
N182.B	*phla̤aj	Proto-Nyah Kur	marriageable boy	
N182.A	*pla̤i̯	Proto-Mon	bachelor, unmarried male past age of puberty	
N183	*cah	Proto-Monic	descendants	great-grandchild
N183.B	*ca̱h	Proto-Nyah Kur	great-grandchild	
N183.A	*ca̱h	Proto-Mon	descendants	
N184	*ɲah	Proto-Monic	person (who), people, they, others; especially respectful: he, she, they	numeral classifier for humans; prefix in ethnonym Nyah Kur
N184.B	*ɲa̤h	Proto-Nyah Kur	numeral classifier for humans; prefix in ethnonym Nyah Kur	
N184.A	*ɲe̤ə̯h	Proto-Mon	person (who), people, they, others; especially respectful: he, she, they	
N185	*cʔooʔ	Proto-Monic	rafter	small rafter, thatch support
N185.B	*chəʔo̱oʔ	Proto-Nyah Kur	small rafter, thatch support	
N185.A	*həʔɒ̱ɨ̯ʔ	Proto-Mon	rafter	
N186	*tŋkooʔ	Proto-Monic	cylindrical container of wood or bamboo	bamboo container (usually for water)
N186.B	*[]ŋko̱oʔ	Proto-Nyah Kur	bamboo container (usually for water)	
N186.A	*həkɒ̱ɨ̯ʔ	Proto-Mon	cylindrical container of wood or bamboo	
N187	*sŋiiʔ	Proto-Monic	house of wood, bamboo, or thatch	house
N187.B	*ɕhŋi̱iʔ	Proto-Nyah Kur	house	
N187.A	*hɒ̱̃i̯ʔ	Proto-Mon	house of wood, bamboo, or thatch	
N188	*tŋaaʔ	Proto-Monic	bow, crossbow	crossbow
N188.B	*thŋa̱aʔ	Proto-Nyah Kur	crossbow	
N188.A	*hŋa̱ʔ	Proto-Mon	bow, crossbow	
N189	*bŋaaʔ	Proto-Monic	rice-land, rice-field	hill-field
N189.B	*ŋa̤aʔ	Proto-Nyah Kur	hill-field	
N189.A	*ɦŋɛ̤ə̯ʔ	Proto-Mon	rice-land, rice-field	
N189a	*g()maaʔ	Proto-Monic	rice-field (irrigated)	hill-field
N189a.B	*khəma̤aʔ	Proto-Nyah Kur	hill-field	
N189a.A	*həmɛ̤ə̯ʔ	Proto-Mon	rice-field (irrigated)	
N190	*gnriiʔ	Proto-Monic	long cylindrical wooden object; /ri̤ʔ ba̱k/ pestle	rice-pestle
N190.B	*khənri̤iʔ	Proto-Nyah Kur	rice-pestle	
N190.A	*ri̤ʔ	Proto-Mon	long cylindrical wooden object; /ri̤ʔ ba̱k/ pestle	
N191	*mraaʔ	Proto-Monic	machete-like knife used as cutting tool, dah	machete
N191.B	*mra̤aʔ	Proto-Nyah Kur	machete	
N191.A	*pərɛ̤ə̯ʔ	Proto-Mon	machete-like knife used as cutting tool, dah	
N192	*knlɔɔʔ	Proto-Monic	ant-hill	ant-hill, termite nest
N192.B	*kənlɔ̱ɔʔ	Proto-Nyah Kur	ant-hill, termite nest	
N192.A	*kənɔ̱ʔ	Proto-Mon	ant-hill	
N193	*[k/t][l]nɗək	Proto-Monic		rice-bran (given to pigs), millet-bran
N193.B	*kləndə̱k	Proto-Nyah Kur	rice-bran (given to pigs), millet-bran	
N194	*ɟəŋ-ɟuŋ	Proto-Monic	pole, pillar	house-pole
N194.B	*kəncṳŋ	Proto-Nyah Kur	house-pole	
N194.A	*həja̤ɨ̯ŋ	Proto-Mon	pole, pillar	
N195	*ɗiŋ	Proto-Monic	cup made from bamboo joint, used for collecting sap of toddy palm and for carrying water or other drink	bamboo tube (used as water-container)
N195.B	*di̱ɲ	Proto-Nyah Kur	bamboo tube (used as water-container)	
N195.A	*ɗʌ̱i̯ɲ	Proto-Mon	cup made from bamboo joint, used for collecting sap of toddy palm and for carrying water or other drink	
N196	*[t/k]iŋ-ɗiŋ	Proto-Monic	tinkle-bell, large bell	small bell, buffalo-bell
N196.B	*ti̱ŋ-di̱ŋ	Proto-Nyah Kur	small bell, buffalo-bell	
N196.A	*hənɤ̱i̯ŋ	Proto-Mon	tinkle-bell, large bell	
N197	*ɗooŋ	Proto-Monic	city, province, country	village
N197.B	*do̱oŋ	Proto-Nyah Kur	village	
N197.A	*ɗʌ̱ɨ̯ŋ	Proto-Mon	city, province, country	
N198	*pooŋ	Proto-Monic	cooked rice; /cɛ̱Ɂ pə̱ŋ/ eat food	cooked rice; /ca̱aɁ po̱oŋ/ eat food
N198.B	*po̱oŋ	Proto-Nyah Kur	cooked rice; /ca̱aɁ po̱oŋ/ eat food	
N198.A	*pʌ̱ɨ̯ŋ	Proto-Mon	cooked rice; /cɛ̱Ɂ pə̱ŋ/ eat food	
N199	*snriəŋ	Proto-Monic	cloth sling suspended from ceiling, used as cradle; hammock slung from pole, litter; howdah	child's hammock, suspended cradle
N199.B	*ɕhənri̱aŋ	Proto-Nyah Kur	child's hammock, suspended cradle	
N199.A	*həri̱ə̯ŋ	Proto-Mon	cloth sling suspended from ceiling, used as cradle; hammock slung from pole, litter; howdah	
N200	*glɔɔŋ	Proto-Monic	road, track, way, direction	
N200.A	*klɔ̤ŋ	Proto-Mon	road, track, way, direction	
N200a	*g-n-lɔɔŋ	Proto-Monic		habitual path (of porcupine); /trɔ̱w ŋlɔ̤ɔŋ/ path
N200a.B	*()nlɔ̤ɔŋ	Proto-Nyah Kur	habitual path (of porcupine); /trɔ̱w ŋlɔ̤ɔŋ/ path	
N201	*kliŋ	Proto-Monic	oil, fat (vegetal or animal)	vegetal fat; /chɛ̤c khəya̤aŋ khli̱ɲ/ tree name
N201.B	*khli̱ɲ	Proto-Nyah Kur	vegetal fat; /chɛ̤c khəya̤aŋ khli̱ɲ/ tree name	
N201.A	*klʌ̱i̯ɲ	Proto-Mon	oil, fat (vegetal or animal)	
N201a	*k-[r]-liŋ	Proto-Monic		vegetal or animal fat
N201a.B	*kəli̱ɲ	Proto-Nyah Kur	vegetal or animal fat	
N202	*jaat	Proto-Monic	cloth; clothes, (upper) garments	clothes; /nə̤əc ya̤at/ cloth
N202.B	*ja̤at	Proto-Nyah Kur	clothes; /nə̤əc ya̤at/ cloth	
N202.A	*ja̤t	Proto-Mon	cloth; clothes, (upper) garments	
N283	*ɗaan	Proto-Monic	path	elephant track
N283.B	*da̱an	Proto-Nyah Kur	elephant track	
N283.A	*ɗa̱n	Proto-Mon	path	
N204	*gnuun	Proto-Monic	woman's waistcloth	women's lower garment
N204.B	*khənṳun	Proto-Nyah Kur	women's lower garment	
N204.A	*[]ɦni̤n	Proto-Mon	woman's waistcloth	
N205	*ɓuun	Proto-Monic	knife	knife
N205.B	*bu̱un	Proto-Nyah Kur	knife	
N205.A	*ɓu̱n	Proto-Mon	knife	
N206	*pran	Proto-Monic		bait (usually thrown in the water at fishing place)
N206.B	*pra̱n	Proto-Nyah Kur	bait (usually thrown in the water at fishing place)	
N206a	*p-[n]-ran	Proto-Monic	bait	
N206a.A	*pərɔ̱n	Proto-Mon	bait	
N207	*kam	Proto-Monic	bullet, cartridge	arrow, (porcupine) quill
N207.B	*ka̱m	Proto-Nyah Kur	arrow, (porcupine) quill	
N207.A	*ka̱m	Proto-Mon	bullet, cartridge	
N208	*k(r)nləm	Proto-Monic	ridge of roof	roof
N208.B	*kənlə̱m	Proto-Nyah Kur	roof	
